round,train_loss,mean_reward,success_rate,policy_entropy,cpu_usage,gpu_usage,network_mb,train_time,total_latency
1,0.0,1.5,1.0,0.0011,27.92,0.0,12.86,12.59,192.6
2,0.0,1.5,1.0,0.0007,14.17,0.0,1.696,11.89,11.92
3,0.0,1.5,1.0,0.0006,24.59,0.0,2.065,12.02,12.05
4,-1.499928,1.5,1.0,0.0005,19.58,0.0,5.912,11.93,11.96
5,-1.499956,1.5,1.0,0.0003,11.67,0.0,1.412,11.64,11.67
6,-1.499956,1.5,1.0,0.0003,20.42,0.0,2.531,11.9,11.93
7,-1.499968,1.5,1.0,0.0002,12.08,0.0,2.257,11.83,11.86
8,-1.499977,1.5,1.0,0.0002,20.0,0.0,2.269,12.43,12.46
9,-1.499977,1.5,1.0,0.0002,23.75,0.0,2.342,12.09,12.12
10,-1.49998,1.5,1.0,0.0001,11.67,0.0,1.342,12.1,12.13
11,-1.49998,1.5,1.0,0.0001,19.59,0.0,31.615,23.53,23.56
12,-1.499986,1.5,1.0,0.0001,16.25,0.0,36.109,34.79,34.82
13,-1.499989,1.5,1.0,0.0001,22.92,0.0,35.215,24.89,24.92
14,-1.499989,1.5,1.0,0.0001,15.0,0.0,36.091,29.46,29.49
15,-1.499988,1.5,1.0,0.0001,16.67,0.0,31.569,32.03,32.06
16,-1.499992,1.5,1.0,0.0001,14.58,0.0,34.244,25.3,25.33
17,-1.499992,1.5,1.0,0.0001,22.91,0.0,34.249,28.63,28.66
18,-1.499994,1.5,1.0,0.0001,20.84,0.0,32.739,32.08,32.11
19,-1.499994,1.5,1.0,0.0001,27.92,0.0,32.399,25.1,25.13
20,-1.499994,1.5,1.0,0.0001,15.83,0.0,32.442,28.01,28.04
21,-1.499995,1.5,1.0,0.0,8.33,0.0,38.796,30.64,30.67
22,-1.499995,1.5,1.0,0.0001,12.08,0.0,33.383,33.57,33.6
23,-1.499995,1.5,1.0,0.0,22.59,0.0,34.24,25.02,25.06
24,-1.499996,1.5,1.0,0.0,6.25,0.0,31.54,28.89,28.92
25,-1.499996,1.5,1.0,0.0,16.67,0.0,34.27,32.9,32.93
26,-1.499996,1.5,1.0,0.0,22.09,0.0,30.596,23.72,23.75
27,-1.499996,1.5,1.0,0.0,9.17,0.0,32.358,28.19,28.22
28,-1.499996,1.5,1.0,0.0,20.42,0.0,33.998,33.01,33.04
29,-1.499996,1.5,1.0,0.0,15.83,0.0,35.088,25.73,25.76
30,-1.499996,1.5,1.0,0.0,15.83,0.0,35.125,28.81,28.85
31,-1.499997,1.5,1.0,0.0,24.16,0.0,38.685,30.03,30.05
32,-1.499997,1.5,1.0,0.0,15.42,0.0,34.161,33.24,33.27
33,-1.499997,1.5,1.0,0.0,10.83,0.0,35.925,25.94,25.97
34,-1.499997,1.5,1.0,0.0,18.75,0.0,30.51,27.67,27.71
35,-1.499997,1.5,1.0,0.0,7.49,0.0,32.341,32.08,32.11
36,-1.499997,1.5,1.0,0.0,26.67,0.0,31.401,25.49,25.52
37,-1.499997,1.5,1.0,0.0,13.83,0.0,32.324,28.43,28.46
38,-1.499997,1.5,1.0,0.0,8.33,0.0,35.026,32.21,32.23
39,-1.499998,1.5,1.0,0.0,29.17,0.0,33.133,25.53,25.56
40,-1.499997,1.5,1.0,0.0,16.67,0.0,31.401,27.37,27.4
41,-1.499997,1.5,1.0,0.0,9.17,0.0,33.206,29.86,29.9
42,-1.499998,1.5,1.0,0.0,17.5,0.0,32.318,32.51,32.54
43,-1.499998,1.5,1.0,0.0,12.08,0.0,33.238,25.15,25.18
44,-1.499998,1.5,1.0,0.0,26.67,0.0,34.144,29.21,29.24
45,-1.499998,1.5,1.0,0.0,16.67,0.0,33.227,33.36,33.39
46,-1.499998,1.5,1.0,0.0,12.5,0.0,32.295,24.54,24.57
47,-1.499998,1.5,1.0,0.0,8.75,0.0,34.097,28.49,28.52
48,-1.499998,1.5,1.0,0.0,11.25,0.0,48.941,45.53,45.56
49,-1.499998,1.5,1.0,0.0,14.17,0.0,65.985,53.32,53.35
50,-1.499999,1.5,1.0,0.0,8.33,0.0,67.827,57.15,57.19
51,-1.499999,1.5,1.0,0.0,17.08,0.0,38.677,34.74,34.77
52,-1.499998,1.5,1.0,0.0,22.09,0.0,35.078,25.48,25.51
53,-1.499999,1.5,1.0,0.0,16.66,0.0,32.424,32.78,32.81
54,-1.499999,1.5,1.0,0.0,25.84,0.0,35.136,25.6,25.62
55,-1.499998,1.5,1.0,0.0,12.51,0.0,33.383,32.49,32.52
56,-1.499998,1.5,1.0,0.0,10.36,0.0,33.365,25.19,25.22
57,-1.499998,1.5,1.0,0.0,16.66,0.0,33.652,32.92,32.96
58,-1.499998,1.5,1.0,0.0,18.34,0.0,16.909,14.33,14.35
59,-1.499998,1.5,1.0,0.0,5.0,0.0,2.235,12.19,12.22
60,-1.499999,1.5,1.0,0.0,9.58,0.0,1.342,11.68,11.71
61,-1.499999,1.5,1.0,0.0,25.41,0.0,2.348,11.42,11.44
62,-1.499999,1.5,1.0,0.0,21.67,0.0,2.242,12.01,12.03
63,-1.499999,1.5,1.0,0.0,13.33,0.0,2.264,12.14,12.17
64,-1.499999,1.5,1.0,0.0,12.92,0.0,2.239,11.93,11.96
65,-1.499999,1.5,1.0,0.0,10.0,0.0,1.331,12.2,12.23
66,-1.499999,1.5,1.0,0.0,9.17,0.0,2.273,12.37,12.4
67,-1.499999,1.5,1.0,0.0,21.67,0.0,2.247,12.4,12.43
68,-1.499999,1.5,1.0,0.0,17.5,0.0,2.267,11.88,11.9
69,-1.499999,1.5,1.0,0.0,17.16,0.0,2.239,13.19,13.22
70,-1.499999,1.5,1.0,0.0,24.0,0.0,3.796,12.23,12.27
71,-1.499999,1.5,1.0,0.0,12.08,0.0,1.369,11.83,11.86
72,-1.499999,1.5,1.0,0.0,15.83,0.0,2.243,12.31,12.34
73,-1.499999,1.5,1.0,0.0,12.51,0.0,2.281,12.04,12.06
74,-1.499999,1.5,1.0,0.0,23.75,0.0,2.244,12.19,12.22
75,-1.499999,1.5,1.0,0.0,13.33,0.0,2.25,11.62,11.65
76,-1.499999,1.5,1.0,0.0,22.09,0.0,1.378,11.64,11.67
77,-1.499999,1.5,1.0,0.0,16.67,0.0,2.247,12.61,12.63
78,-1.499999,1.5,1.0,0.0,11.17,0.0,2.294,12.65,12.68
79,-1.499999,1.5,1.0,0.0,28.75,0.0,2.241,11.82,11.85
80,-1.499999,1.5,1.0,0.0,26.25,0.0,2.247,11.55,11.58
81,-1.499999,1.5,1.0,0.0,13.75,0.0,1.384,11.91,11.94
82,-1.499999,1.5,1.0,0.0,15.84,0.0,4.075,12.13,12.16
83,-1.499999,1.5,1.0,0.0,22.0,0.0,2.32,12.39,12.42
84,-1.499999,1.5,1.0,0.0,18.75,0.0,2.323,12.17,12.2
85,-1.499999,1.5,1.0,0.0,11.33,0.0,2.322,13.78,13.81
86,-1.499999,1.5,1.0,0.0,8.33,0.0,2.237,12.24,12.27
87,-1.499999,1.5,1.0,0.0,18.76,0.0,1.41,11.93,11.96
88,-1.499999,1.5,1.0,0.0,18.58,0.0,2.338,12.24,12.27
