round,cpu_usage,gpu_usage
1,27.92,0.0
2,14.17,0.0
3,24.59,0.0
4,19.58,0.0
5,11.67,0.0
6,20.42,0.0
7,12.08,0.0
8,20.0,0.0
9,23.75,0.0
10,11.67,0.0
11,19.59,0.0
12,16.25,0.0
13,22.92,0.0
14,15.0,0.0
15,16.67,0.0
16,14.58,0.0
17,22.91,0.0
18,20.84,0.0
19,27.92,0.0
20,15.83,0.0
21,8.33,0.0
22,12.08,0.0
23,22.59,0.0
24,6.25,0.0
25,16.67,0.0
26,22.09,0.0
27,9.17,0.0
28,20.42,0.0
29,15.83,0.0
30,15.83,0.0
31,24.16,0.0
32,15.42,0.0
33,10.83,0.0
34,18.75,0.0
35,7.49,0.0
36,26.67,0.0
37,13.83,0.0
38,8.33,0.0
39,29.17,0.0
40,16.67,0.0
41,9.17,0.0
42,17.5,0.0
43,12.08,0.0
44,26.67,0.0
45,16.67,0.0
46,12.5,0.0
47,8.75,0.0
48,11.25,0.0
49,14.17,0.0
50,8.33,0.0
51,17.08,0.0
52,22.09,0.0
53,16.66,0.0
54,25.84,0.0
55,12.51,0.0
56,10.36,0.0
57,16.66,0.0
58,18.34,0.0
59,5.0,0.0
60,9.58,0.0
61,25.41,0.0
62,21.67,0.0
63,13.33,0.0
64,12.92,0.0
65,10.0,0.0
66,9.17,0.0
67,21.67,0.0
68,17.5,0.0
69,17.16,0.0
70,24.0,0.0
71,12.08,0.0
72,15.83,0.0
73,12.51,0.0
74,23.75,0.0
75,13.33,0.0
76,22.09,0.0
77,16.67,0.0
78,11.17,0.0
79,28.75,0.0
80,26.25,0.0
81,13.75,0.0
82,15.84,0.0
83,22.0,0.0
84,18.75,0.0
85,11.33,0.0
86,8.33,0.0
87,18.76,0.0
88,18.58,0.0
89,9.58,0.0
90,11.67,0.0
91,24.16,0.0
92,5.83,0.0
93,12.58,0.0
94,21.34,0.0
95,19.59,0.0
96,19.59,0.0
97,15.0,0.0
98,16.32,0.0
99,25.09,0.0
100,18.75,0.0
