round,total_latency,train_time
1,192.6,12.59
2,11.92,11.89
3,12.05,12.02
4,11.96,11.93
5,11.67,11.64
6,11.93,11.9
7,11.86,11.83
8,12.46,12.43
9,12.12,12.09
10,12.13,12.1
11,23.56,23.53
12,34.82,34.79
13,24.92,24.89
14,29.49,29.46
15,32.06,32.03
16,25.33,25.3
17,28.66,28.63
18,32.11,32.08
19,25.13,25.1
20,28.04,28.01
21,30.67,30.64
22,33.6,33.57
23,25.06,25.02
24,28.92,28.89
25,32.93,32.9
26,23.75,23.72
27,28.22,28.19
28,33.04,33.01
29,25.76,25.73
30,28.85,28.81
31,30.05,30.03
32,33.27,33.24
33,25.97,25.94
34,27.71,27.67
35,32.11,32.08
36,25.52,25.49
37,28.46,28.43
38,32.23,32.21
39,25.56,25.53
40,27.4,27.37
41,29.9,29.86
42,32.54,32.51
43,25.18,25.15
44,29.24,29.21
45,33.39,33.36
46,24.57,24.54
47,28.52,28.49
48,45.56,45.53
49,53.35,53.32
50,57.19,57.15
51,34.77,34.74
52,25.51,25.48
53,32.81,32.78
54,25.62,25.6
55,32.52,32.49
56,25.22,25.19
57,32.96,32.92
58,14.35,14.33
59,12.22,12.19
60,11.71,11.68
61,11.44,11.42
62,12.03,12.01
63,12.17,12.14
64,11.96,11.93
65,12.23,12.2
66,12.4,12.37
67,12.43,12.4
68,11.9,11.88
69,13.22,13.19
70,12.27,12.23
71,11.86,11.83
72,12.34,12.31
73,12.06,12.04
74,12.22,12.19
75,11.65,11.62
76,11.67,11.64
77,12.63,12.61
78,12.68,12.65
79,11.85,11.82
80,11.58,11.55
81,11.94,11.91
82,12.16,12.13
83,12.42,12.39
84,12.2,12.17
85,13.81,13.78
86,12.27,12.24
87,11.96,11.93
88,12.27,12.24
89,11.95,11.93
90,11.97,11.93
91,11.93,11.9
92,12.29,12.26
93,12.77,12.74
94,12.14,12.11
95,12.59,12.56
96,11.52,11.49
97,12.32,12.29
98,11.71,11.68
99,12.07,12.04
100,12.03,12.0
