round,network_mb
1,12.86
2,1.696
3,2.065
4,5.912
5,1.412
6,2.531
7,2.257
8,2.269
9,2.342
10,1.342
11,31.615
12,36.109
13,35.215
14,36.091
15,31.569
16,34.244
17,34.249
18,32.739
19,32.399
20,32.442
21,38.796
22,33.383
23,34.24
24,31.54
25,34.27
26,30.596
27,32.358
28,33.998
29,35.088
30,35.125
31,38.685
32,34.161
33,35.925
34,30.51
35,32.341
36,31.401
37,32.324
38,35.026
39,33.133
40,31.401
41,33.206
42,32.318
43,33.238
44,34.144
45,33.227
46,32.295
47,34.097
48,48.941
49,65.985
50,67.827
51,38.677
52,35.078
53,32.424
54,35.136
55,33.383
56,33.365
57,33.652
58,16.909
59,2.235
60,1.342
61,2.348
62,2.242
63,2.264
64,2.239
65,1.331
66,2.273
67,2.247
68,2.267
69,2.239
70,3.796
71,1.369
72,2.243
73,2.281
74,2.244
75,2.25
76,1.378
77,2.247
78,2.294
79,2.241
80,2.247
81,1.384
82,4.075
83,2.32
84,2.323
85,2.322
86,2.237
87,1.41
88,2.338
89,2.333
90,2.229
91,2.339
92,1.406
93,2.256
94,2.289
95,4.322
96,2.272
97,2.311
98,1.329
99,2.28
100,2.321
