round,train_loss,mean_reward,success_rate,policy_entropy,cpu_usage,gpu_usage,network_mb,train_time,total_latency
1,14.986658,18.2768,0.0,0.9997,17.38,0.0,39.406,0.0,250.02
2,2.046474,37.1403,0.0,0.7431,28.37,0.0,16.678,0.0,61.01
3,5.370623,128.243,0.0,0.5624,28.5,0.0,17.072,0.0,205.6
4,9.704049,177.4001,0.0,0.433,28.34,0.0,16.727,0.0,53.3
5,14.469487,203.695,0.0,0.3334,28.43,0.0,16.87,0.0,99.95
6,17.631377,220.077,0.0,0.2563,28.46,0.0,16.682,0.0,44.99
7,19.756104,231.7841,0.0,0.1984,28.35,0.0,18.606,0.0,409.9
8,21.249093,238.2419,0.0,0.1552,28.16,0.0,16.842,0.0,57.39
9,22.156561,241.1445,0.0,0.1242,28.49,0.0,16.897,0.0,63.19
10,22.881051,245.1541,0.0,0.1017,28.38,0.0,16.82,0.0,50.92
11,23.566957,242.2264,0.0,0.0848,28.49,0.0,16.981,0.0,55.55
12,24.098451,260.4124,0.0,0.074,28.18,0.0,16.983,0.0,52.62
13,24.434065,251.5535,0.0,0.0694,28.61,0.0,17.045,0.0,65.55
14,25.373086,255.8291,0.0,0.069,28.33,0.0,17.628,0.0,121.34
15,26.535953,255.2271,0.0,0.07,28.16,0.0,17.539,0.0,98.26
16,25.864934,273.706,0.0,0.0686,36.72,0.0,17.019,0.0,48.47
17,25.518569,274.443,0.0,0.0688,57.55,0.0,17.189,0.0,58.93
18,25.07987,269.1326,0.0,0.0701,57.49,0.0,18.237,0.0,143.88
19,24.605631,265.3515,0.0,0.0697,57.5,0.0,17.058,0.0,44.57
20,24.787002,254.5761,0.0,0.0682,56.34,0.0,17.273,0.0,60.46
21,24.543102,272.4773,0.0,0.0673,57.32,0.0,17.335,0.0,61.79
22,24.228988,278.2257,0.0,0.0688,57.19,0.0,17.347,0.0,55.12
23,23.926725,283.5327,0.0,0.0702,56.93,0.0,17.379,0.0,59.33
24,23.350273,293.9051,0.0,0.071,57.68,0.0,32.066,0.0,990.58
25,23.204266,303.7084,0.0,0.072,27.64,0.0,17.224,0.0,47.59
26,22.666851,315.0785,0.0,0.0746,27.98,0.0,17.533,0.0,54.4
27,23.004683,306.2064,0.0,0.0754,27.85,0.0,27.148,0.0,607.73
28,23.09483,325.0499,0.0,0.076,28.09,0.0,17.323,0.0,48.66
29,22.768786,340.8828,0.0,0.0749,28.38,0.0,17.625,0.0,66.92
30,22.754161,325.8655,0.0,0.0762,22.7,0.0,43.323,0.0,48.96
31,22.804164,363.4433,0.0,0.0759,23.1,0.0,44.011,0.0,61.25
32,23.32429,344.4329,0.0,0.075,22.93,0.0,49.659,0.0,306.11
33,23.096925,373.7765,0.0,0.0744,23.17,0.0,44.937,0.0,58.35
34,23.278067,369.23,0.0,0.0763,22.38,0.0,45.324,0.0,65.05
35,23.505257,411.8118,0.0,0.0778,27.88,0.0,17.834,0.0,56.42
36,22.384294,404.8986,0.0,0.0779,28.24,0.0,17.984,0.0,63.74
37,22.481646,409.1822,0.0,0.0787,28.15,0.0,20.688,0.0,178.48
38,21.925574,401.4127,0.0,0.0778,27.99,0.0,20.795,0.0,171.91
39,22.317105,423.6334,0.0,0.0782,27.76,0.0,17.608,0.0,53.38
40,22.084929,429.8198,0.0,0.0768,28.15,0.0,18.0,0.0,48.43
41,21.96276,423.4326,0.0,0.0765,27.61,0.0,24.787,0.0,325.86
42,21.949578,448.5185,0.0,0.0779,26.72,0.0,18.088,0.0,58.98
43,22.235931,472.4235,0.0,0.0785,25.43,0.0,17.739,0.0,55.31
44,22.761986,457.6104,0.0,0.0784,25.6,0.0,32.189,0.0,563.07
45,23.461401,473.4949,0.0,0.0778,27.46,0.0,17.779,0.0,46.7
46,23.957497,480.0292,0.0,0.0765,27.68,0.0,18.824,0.0,76.97
47,23.74606,478.0832,0.0,0.0758,28.14,0.0,32.995,0.0,540.48
48,23.510847,507.3939,0.0,0.0756,27.86,0.0,18.329,0.0,59.56
