round,cpu_usage,gpu_usage
1,54.16,0.0
2,99.26,0.0
3,98.84,0.0
4,98.89,0.0
5,98.05,0.0
6,98.27,0.0
7,99.06,0.0
8,98.75,0.0
9,98.45,0.0
10,94.66,0.0
11,95.59,0.0
12,99.33,0.0
13,98.97,0.0
14,98.56,0.0
15,98.97,0.0
16,98.73,0.0
17,97.81,0.0
18,98.48,0.0
19,99.01,0.0
20,99.03,0.0
21,98.26,0.0
22,98.75,0.0
23,98.49,0.0
24,98.32,0.0
25,99.29,0.0
26,99.57,0.0
27,99.52,0.0
28,98.04,0.0
29,98.43,0.0
30,98.34,0.0
31,98.11,0.0
32,97.5,0.0
33,97.98,0.0
34,97.49,0.0
35,96.45,0.0
36,94.14,0.0
37,76.3,0.0
38,66.12,0.0
39,57.33,0.0
40,47.82,0.0
41,41.59,0.0
42,40.8,0.0
43,41.17,0.0
44,40.92,0.0
45,40.97,0.0
46,40.91,0.0
47,40.95,0.0
48,40.9,0.0
49,40.87,0.0
50,40.89,0.0
51,40.81,0.0
52,41.35,0.0
53,82.44,0.0
54,97.73,0.0
55,98.04,0.0
56,98.44,0.0
57,97.8,0.0
58,97.81,0.0
59,98.61,0.0
60,98.27,0.0
61,98.31,0.0
62,99.12,0.0
63,96.93,0.0
64,94.87,0.0
65,95.08,0.0
66,99.13,0.0
67,98.55,0.0
68,98.27,0.0
69,98.0,0.0
70,98.72,0.0
71,98.79,0.0
72,98.67,0.0
73,98.2,0.0
74,97.75,0.0
75,96.84,0.0
76,97.83,0.0
77,97.6,0.0
78,97.34,0.0
79,98.08,0.0
80,98.94,0.0
81,98.39,0.0
82,98.76,0.0
83,98.88,0.0
84,98.61,0.0
85,98.84,0.0
86,98.19,0.0
87,95.69,0.0
88,78.72,0.0
89,71.22,0.0
90,63.81,0.0
91,58.11,0.0
92,50.13,0.0
93,42.19,0.0
94,38.9,0.0
95,41.15,0.0
96,41.08,0.0
97,40.94,0.0
98,41.17,0.0
99,41.1,0.0
100,41.13,0.0
101,41.05,0.0
102,40.88,0.0
103,40.83,0.0
104,40.66,0.0
105,40.85,0.0
106,42.03,0.0
107,82.83,0.0
108,98.12,0.0
109,97.72,0.0
110,98.05,0.0
111,97.69,0.0
112,98.23,0.0
113,98.5,0.0
114,98.03,0.0
115,99.02,0.0
116,98.02,0.0
117,96.11,0.0
118,91.97,0.0
119,98.26,0.0
120,98.13,0.0
121,98.32,0.0
122,99.09,0.0
123,97.56,0.0
124,98.47,0.0
125,98.54,0.0
126,98.7,0.0
127,98.04,0.0
128,97.86,0.0
129,95.49,0.0
130,97.33,0.0
131,98.97,0.0
132,98.96,0.0
133,99.19,0.0
134,99.08,0.0
135,99.32,0.0
136,98.53,0.0
137,97.45,0.0
138,97.63,0.0
139,94.8,0.0
140,73.84,0.0
141,97.13,0.0
142,96.12,0.0
143,95.33,0.0
144,97.44,0.0
145,95.13,0.0
146,96.49,0.0
147,98.34,0.0
148,97.93,0.0
149,98.59,0.0
150,97.81,0.0
