round,total_latency,train_time
1,160.15,0.0
2,31.05,0.0
3,27.19,0.0
4,32.67,0.0
5,29.97,0.0
6,29.71,0.0
7,32.47,0.0
8,31.84,0.0
9,30.79,0.0
10,20.48,0.0
11,33.09,0.0
12,26.56,0.0
13,28.17,0.0
14,28.58,0.0
15,31.88,0.0
16,27.69,0.0
17,32.75,0.0
18,29.04,0.0
19,33.16,0.0
20,29.1,0.0
21,30.03,0.0
22,26.13,0.0
23,23.49,0.0
24,24.86,0.0
25,26.85,0.0
26,26.73,0.0
27,28.86,0.0
28,27.33,0.0
29,26.4,0.0
30,32.51,0.0
31,28.77,0.0
32,28.56,0.0
33,24.38,0.0
34,24.33,0.0
35,22.99,0.0
36,22.39,0.0
37,15.98,0.0
38,15.92,0.0
39,15.01,0.0
40,13.51,0.0
41,13.85,0.0
42,13.71,0.0
43,13.63,0.0
44,14.04,0.0
45,13.95,0.0
46,13.96,0.0
47,13.93,0.0
48,13.93,0.0
49,13.89,0.0
50,13.87,0.0
51,13.82,0.0
52,14.05,0.0
53,18.13,0.0
54,31.28,0.0
55,32.96,0.0
56,30.94,0.0
57,33.63,0.0
58,29.98,0.0
59,28.59,0.0
60,40.72,0.0
61,34.25,0.0
62,32.32,0.0
63,27.91,0.0
64,28.54,0.0
65,38.25,0.0
66,33.01,0.0
67,29.03,0.0
68,29.36,0.0
69,30.07,0.0
70,38.34,0.0
71,33.75,0.0
72,33.92,0.0
73,36.38,0.0
74,27.47,0.0
75,25.27,0.0
76,29.75,0.0
77,35.48,0.0
78,31.42,0.0
79,28.51,0.0
80,31.37,0.0
81,30.61,0.0
82,31.95,0.0
83,31.41,0.0
84,36.16,0.0
85,33.26,0.0
86,24.99,0.0
87,19.63,0.0
88,16.01,0.0
89,16.58,0.0
90,16.85,0.0
91,17.27,0.0
92,16.51,0.0
93,15.97,0.0
94,14.22,0.0
95,12.81,0.0
96,14.2,0.0
97,14.13,0.0
98,12.44,0.0
99,14.03,0.0
100,14.02,0.0
101,14.0,0.0
102,14.11,0.0
103,14.08,0.0
104,14.17,0.0
105,14.03,0.0
106,14.89,0.0
107,18.38,0.0
108,29.85,0.0
109,27.41,0.0
110,28.97,0.0
111,31.08,0.0
112,32.67,0.0
113,30.89,0.0
114,33.28,0.0
115,32.48,0.0
116,36.77,0.0
117,28.82,0.0
118,29.02,0.0
119,28.57,0.0
120,36.89,0.0
121,34.26,0.0
122,35.65,0.0
123,33.41,0.0
124,34.45,0.0
125,29.05,0.0
126,33.12,0.0
127,26.31,0.0
128,26.8,0.0
129,24.1,0.0
130,23.37,0.0
131,27.21,0.0
132,29.05,0.0
133,31.86,0.0
134,29.35,0.0
135,28.2,0.0
136,26.26,0.0
137,26.61,0.0
138,28.78,0.0
139,27.65,0.0
140,419.83,0.0
141,24.84,0.0
142,68.98,0.0
143,503.22,0.0
144,37.4,0.0
145,27.26,0.0
146,28.71,0.0
147,34.28,0.0
148,34.97,0.0
149,29.71,0.0
150,36.0,0.0
