round,network_mb
1,22.603
2,11.629
3,11.577
4,11.634
5,11.551
6,11.566
7,11.573
8,11.594
9,11.653
10,11.617
11,11.65
12,11.645
13,11.667
14,11.681
15,11.74
16,11.71
17,11.736
18,11.766
19,11.964
20,11.789
21,11.803
22,11.643
23,11.639
24,11.869
25,11.873
26,11.718
27,11.912
28,11.94
29,12.01
30,12.261
31,12.269
32,12.612
33,12.22
34,11.968
35,11.771
36,12.082
37,11.907
38,11.781
39,11.785
40,11.791
41,11.815
42,11.819
43,11.435
44,11.839
45,11.839
46,11.852
47,11.866
48,11.873
49,11.896
50,11.883
51,11.942
52,19.064
53,14.26
54,12.419
55,12.595
56,12.45
57,12.475
58,12.483
59,11.968
60,12.787
61,12.781
62,12.803
63,12.791
64,13.017
65,13.226
66,12.628
67,12.654
68,12.677
69,12.695
70,13.351
71,12.731
72,13.406
73,12.924
74,12.774
75,12.809
76,12.826
77,12.896
78,12.82
79,12.814
80,12.817
81,12.963
82,13.736
83,12.815
84,12.824
85,13.518
86,12.104
87,12.814
88,12.129
89,12.129
90,12.372
91,12.329
92,12.313
93,12.338
94,12.394
95,12.341
96,12.203
97,12.161
98,11.427
99,11.442
100,11.434
101,11.46
102,11.44
103,12.126
104,12.143
105,12.129
106,22.475
107,12.216
108,12.839
109,12.831
110,12.129
111,13.025
112,12.829
113,12.828
114,12.831
115,12.829
116,12.836
117,12.822
118,12.835
119,13.02
120,13.78
121,13.063
122,13.789
123,13.044
124,13.086
125,12.826
126,12.836
127,12.147
128,12.114
129,12.153
130,12.836
131,12.849
132,12.83
133,13.535
134,12.881
135,12.883
136,12.92
137,13.046
138,12.838
139,12.838
140,44.897
141,13.031
142,15.482
143,37.466
144,13.073
145,12.121
146,12.842
147,12.847
148,13.55
149,12.83
150,13.549
