robot_id,fl_round,training_step,reward,success_rate_rolling10,policy_entropy,status,eval_return,eval_episode_len,eval_success
robot_000,1,1,20.986,0.0,0.9997,eval,20.986,26.0,0.0
robot_000,2,1001,65.356,0.0,0.7434,eval,65.356,39.7,0.0
robot_000,3,2001,187.497,0.0,0.5618,eval,187.497,86.0,0.0
robot_000,4,3001,192.236,0.0,0.4316,eval,192.236,87.0,0.0
robot_000,5,4001,209.427,0.0,0.3336,eval,209.427,93.0,0.0
robot_000,6,5001,216.411,0.0,0.2579,eval,216.411,95.3,0.0
robot_000,7,6001,241.802,0.0,0.2017,eval,241.802,104.7,0.0
robot_000,8,7001,236.631,0.0,0.1611,eval,236.631,100.3,0.0
robot_000,9,8001,248.884,0.3333333333333333,0.1327,eval,248.884,103.3,0.3333333333333333
robot_000,10,9001,258.252,1.0,0.1128,eval,258.252,106.3,1.0
robot_000,11,10001,268.887,1.0,0.0954,eval,268.887,109.3,1.0
robot_000,12,11001,259.718,1.0,0.0919,eval,259.718,106.0,1.0
robot_000,13,12001,258.645,1.0,0.0913,eval,258.645,106.3,1.0
robot_000,14,13001,263.177,1.0,0.0855,eval,263.177,107.3,1.0
robot_000,15,14001,264.324,1.0,0.0806,eval,264.324,107.7,1.0
robot_000,16,15001,271.542,1.0,0.0794,eval,271.542,110.0,1.0
robot_000,17,16001,276.968,1.0,0.0808,eval,276.968,111.3,1.0
robot_000,18,17001,278.137,1.0,0.0769,eval,278.137,112.0,1.0
robot_000,19,18001,286.84,1.0,0.0852,eval,286.84,115.7,1.0
robot_000,20,19001,303.892,1.0,0.0842,eval,303.892,120.7,1.0
robot_000,21,20001,306.554,1.0,0.0728,eval,306.554,122.0,1.0
robot_000,22,21001,331.5,1.0,0.0705,eval,331.5,132.0,1.0
robot_000,23,22001,325.677,1.0,0.0749,eval,325.677,132.3,1.0
robot_000,24,23001,324.891,1.0,0.0926,eval,324.891,130.3,1.0
robot_000,25,24001,308.465,1.0,0.0967,eval,308.465,125.0,1.0
robot_000,26,25001,329.976,1.0,0.0909,eval,329.976,131.0,1.0
robot_000,27,26001,356.814,1.0,0.0874,eval,356.814,138.3,1.0
robot_000,28,27001,385.569,1.0,0.0831,eval,385.569,145.3,1.0
robot_000,29,28001,362.501,1.0,0.0847,eval,362.501,141.0,1.0
robot_000,30,29001,376.401,1.0,0.088,eval,376.401,145.0,1.0
robot_000,31,30001,383.422,1.0,0.0838,eval,383.422,145.7,1.0
robot_000,32,31001,387.461,1.0,0.0862,eval,387.461,146.3,1.0
robot_000,33,32001,425.144,1.0,0.0868,eval,425.144,155.3,1.0
robot_000,34,33001,386.87,1.0,0.0846,eval,386.87,146.7,1.0
robot_000,35,34001,358.711,1.0,0.0887,eval,358.711,139.7,1.0
robot_000,36,35001,387.467,1.0,0.083,eval,387.467,146.7,1.0
robot_000,37,36001,373.742,1.0,0.0761,eval,373.742,143.7,1.0
robot_000,38,37001,368.158,1.0,0.0813,eval,368.158,143.3,1.0
robot_000,39,38001,505.362,1.0,0.0887,eval,505.362,176.7,1.0
robot_000,40,39001,525.146,1.0,0.084,eval,525.146,180.7,1.0
robot_000,41,40001,573.3,1.0,0.0841,eval,573.3,192.3,1.0
robot_000,42,41001,572.48,1.0,0.0792,eval,572.48,192.7,1.0
robot_000,43,42001,589.124,1.0,0.0872,eval,589.124,197.0,1.0
robot_000,44,43001,571.677,1.0,0.0873,eval,571.677,193.0,1.0
robot_000,45,44001,623.706,1.0,0.0882,eval,623.706,204.3,1.0
robot_000,46,45001,596.523,1.0,0.0855,eval,596.523,198.3,1.0
robot_000,47,46001,608.327,1.0,0.0812,eval,608.327,200.0,1.0
robot_000,48,47001,590.156,1.0,0.0853,eval,590.156,196.3,1.0
robot_000,49,48001,596.755,1.0,0.0834,eval,596.755,198.0,1.0
robot_000,50,49001,652.714,1.0,0.0812,eval,652.714,209.7,1.0
robot_000,51,50001,681.742,1.0,0.0858,eval,681.742,218.7,1.0
robot_000,52,51001,697.4,1.0,0.0855,eval,697.4,222.3,1.0
robot_000,53,52001,705.554,1.0,0.0851,eval,705.554,225.3,1.0
robot_000,54,53001,737.427,1.0,0.0798,eval,737.427,232.3,1.0
robot_000,55,54001,690.499,1.0,0.0799,eval,690.499,221.7,1.0
robot_000,56,55001,710.059,1.0,0.0809,eval,710.059,226.0,1.0
robot_000,57,56001,755.16,1.0,0.083,eval,755.16,238.0,1.0
robot_000,58,57001,701.366,1.0,0.0808,eval,701.366,225.0,1.0
robot_000,59,58001,843.83,1.0,0.0831,eval,843.83,261.7,1.0
robot_000,60,59001,973.323,1.0,0.0808,eval,973.323,307.3,1.0
robot_000,61,60001,919.895,1.0,0.0843,eval,919.895,294.3,1.0
robot_000,62,61001,905.645,1.0,0.0825,eval,905.645,292.0,1.0
robot_000,63,62001,990.619,1.0,0.0814,eval,990.619,311.0,1.0
robot_000,64,63001,863.632,1.0,0.0921,eval,863.632,274.3,1.0
robot_000,65,64001,885.571,1.0,0.0838,eval,885.571,277.0,1.0
robot_000,66,65001,859.688,1.0,0.0813,eval,859.688,259.3,1.0
robot_000,67,66001,802.68,1.0,0.078,eval,802.68,247.3,1.0
robot_000,68,67001,912.893,1.0,0.0783,eval,912.893,275.0,1.0
robot_000,69,68001,900.625,1.0,0.0793,eval,900.625,275.7,1.0
robot_000,70,69001,942.266,1.0,0.0758,eval,942.266,290.3,1.0
robot_000,71,70001,943.723,1.0,0.0776,eval,943.723,291.7,1.0
robot_000,72,71001,1093.424,1.0,0.0772,eval,1093.424,327.0,1.0
robot_000,73,72001,1166.097,1.0,0.083,eval,1166.097,348.0,1.0
robot_000,74,73001,1104.312,1.0,0.077,eval,1104.312,333.7,1.0
robot_000,75,74001,1193.346,1.0,0.076,eval,1193.346,357.7,1.0
robot_000,76,75001,1100.054,1.0,0.0768,eval,1100.054,335.3,1.0
robot_000,77,76001,1001.275,1.0,0.0767,eval,1001.275,306.0,1.0
robot_000,78,77001,1039.91,1.0,0.0741,eval,1039.91,313.0,1.0
robot_000,79,78001,1243.253,1.0,0.0786,eval,1243.253,375.0,1.0
robot_000,80,79001,1169.74,1.0,0.0739,eval,1169.74,349.0,1.0
robot_000,81,80001,1198.646,1.0,0.0764,eval,1198.646,358.0,1.0
robot_000,82,81001,1194.099,1.0,0.0744,eval,1194.099,359.7,1.0
robot_000,83,82001,1206.599,1.0,0.0752,eval,1206.599,361.7,1.0
robot_000,84,83001,1182.189,1.0,0.0721,eval,1182.189,358.0,1.0
robot_000,85,84001,1290.857,1.0,0.0789,eval,1290.857,384.3,1.0
robot_000,86,85001,1141.962,1.0,0.0795,eval,1141.962,350.7,1.0
robot_000,87,86001,1165.355,1.0,0.0774,eval,1165.355,359.0,1.0
robot_000,88,87001,1167.889,1.0,0.0779,eval,1167.889,361.0,1.0
robot_000,89,88001,1208.593,1.0,0.0775,eval,1208.593,373.3,1.0
robot_000,90,89001,1279.397,1.0,0.08,eval,1279.397,396.0,1.0
robot_000,91,90001,1410.37,1.0,0.0797,eval,1410.37,428.0,1.0
robot_000,92,91001,1473.017,1.0,0.08,eval,1473.017,448.0,1.0
robot_000,93,92001,1523.356,1.0,0.0791,eval,1523.356,461.0,1.0
robot_000,94,93001,2432.821,1.0,0.0797,eval,2432.821,747.0,1.0
robot_000,95,94001,2941.118,1.0,0.0801,eval,2941.118,906.3,1.0
robot_000,96,95001,2551.576,1.0,0.0777,eval,2551.576,777.3,1.0
robot_000,97,96001,2830.955,1.0,0.0774,eval,2830.955,882.7,1.0
robot_000,98,97001,3024.879,1.0,0.0746,eval,3024.879,939.0,1.0
robot_000,99,98001,2955.427,1.0,0.0769,eval,2955.427,908.3,1.0
robot_000,100,99001,2935.854,1.0,0.0787,eval,2935.854,908.3,1.0
robot_000,101,100001,3137.372,1.0,0.0766,eval,3137.372,1000.0,1.0
robot_000,102,101001,3166.58,1.0,0.0734,eval,3166.58,1000.0,1.0
robot_000,103,102001,3166.029,1.0,0.0718,eval,3166.029,1000.0,1.0
robot_000,104,103001,3196.529,1.0,0.0747,eval,3196.529,1000.0,1.0
robot_000,105,104001,3168.595,1.0,0.073,eval,3168.595,1000.0,1.0
robot_000,106,105001,3198.472,1.0,0.0766,eval,3198.472,1000.0,1.0
robot_000,107,106001,3158.106,1.0,0.0761,eval,3158.106,1000.0,1.0
robot_000,108,107001,3223.304,1.0,0.0742,eval,3223.304,1000.0,1.0
robot_000,109,108001,2859.127,1.0,0.0741,eval,2859.127,875.3,1.0
robot_000,110,109001,2972.976,1.0,0.0773,eval,2972.976,907.3,1.0
robot_000,111,110001,3100.982,1.0,0.0781,eval,3100.982,950.7,1.0
robot_000,112,111001,2961.496,1.0,0.0767,eval,2961.496,909.3,1.0
robot_000,113,112001,2727.205,1.0,0.076,eval,2727.205,821.7,1.0
robot_000,114,113001,2964.749,1.0,0.0757,eval,2964.749,907.3,1.0
robot_000,115,114001,3094.566,1.0,0.0736,eval,3094.566,944.3,1.0
robot_000,116,115001,3188.135,1.0,0.0746,eval,3188.135,979.7,1.0
robot_000,117,116001,3225.013,1.0,0.0742,eval,3225.013,1000.0,1.0
robot_000,118,117001,3071.251,1.0,0.0742,eval,3071.251,932.0,1.0
robot_000,119,118001,3271.77,1.0,0.0738,eval,3271.77,999.3,1.0
robot_000,120,119001,2996.718,1.0,0.075,eval,2996.718,899.3,1.0
robot_000,121,120001,3055.731,1.0,0.0749,eval,3055.731,932.3,1.0
robot_000,122,121001,2832.091,1.0,0.0747,eval,2832.091,839.3,1.0
robot_000,123,122001,3089.791,1.0,0.0729,eval,3089.791,945.0,1.0
robot_000,124,123001,2539.184,1.0,0.0756,eval,2539.184,767.7,1.0
robot_000,125,124001,2500.504,1.0,0.0729,eval,2500.504,755.3,1.0
robot_000,126,125001,2655.712,1.0,0.0722,eval,2655.712,794.7,1.0
robot_000,127,126001,2836.103,1.0,0.076,eval,2836.103,869.0,1.0
robot_000,128,127001,2843.145,1.0,0.074,eval,2843.145,855.7,1.0
robot_000,129,128001,3185.015,1.0,0.0727,eval,3185.015,1000.0,1.0
robot_000,130,129001,2699.875,1.0,0.0732,eval,2699.875,808.3,1.0
robot_000,131,130001,2802.58,1.0,0.0738,eval,2802.58,844.3,1.0
robot_000,132,131001,3020.3,1.0,0.0744,eval,3020.3,926.3,1.0
robot_000,133,132001,3231.971,1.0,0.0736,eval,3231.971,1000.0,1.0
robot_000,134,133001,2710.389,1.0,0.0727,eval,2710.389,813.7,1.0
robot_000,135,134001,2995.99,1.0,0.0749,eval,2995.99,898.7,1.0
robot_000,136,135001,3230.407,1.0,0.0742,eval,3230.407,1000.0,1.0
robot_000,137,136001,2490.839,1.0,0.0738,eval,2490.839,749.0,1.0
robot_000,138,137001,3106.948,1.0,0.0719,eval,3106.948,946.7,1.0
robot_000,139,138001,2884.976,1.0,0.0716,eval,2884.976,871.0,1.0
robot_000,140,139001,2952.668,1.0,0.0705,eval,2952.668,896.7,1.0
robot_000,141,140001,3227.387,1.0,0.0701,eval,3227.387,1000.0,1.0
robot_000,142,141001,3249.093,1.0,0.0718,eval,3249.093,1000.0,1.0
robot_000,143,142001,3240.102,1.0,0.0704,eval,3240.102,1000.0,1.0
robot_000,144,143001,3236.931,1.0,0.0705,eval,3236.931,1000.0,1.0
robot_000,145,144001,2521.949,1.0,0.0699,eval,2521.949,758.7,1.0
robot_000,146,145001,2804.879,1.0,0.0706,eval,2804.879,842.0,1.0
robot_000,147,146001,3214.953,1.0,0.0711,eval,3214.953,1000.0,1.0
robot_000,148,147001,3219.383,1.0,0.0695,eval,3219.383,1000.0,1.0
