round,train_loss,mean_reward,success_rate,policy_entropy,cpu_usage,gpu_usage,network_mb,train_time,total_latency
1,15.073205,18.7138,0.0,0.9997,24.0,0.0,127.622,0.0,115.55
2,2.002948,38.5099,0.0,0.7431,58.08,0.0,17.156,0.0,154.76
3,5.531931,118.942,0.0,0.5619,37.16,0.0,16.676,0.0,59.3
4,10.12095,179.3753,0.0,0.4327,36.99,0.0,16.741,0.0,66.06
5,14.397376,195.4347,0.0,0.3339,36.91,0.0,20.494,0.0,958.61
6,17.363007,207.8918,0.0,0.2564,57.68,0.0,17.752,0.0,282.91
7,19.458697,224.4393,0.0,0.1981,37.54,0.0,28.201,0.0,61.17
8,20.765379,235.7682,0.0,0.1548,98.34,0.0,18.912,0.0,420.19
9,22.187501,240.9864,0.0,0.1235,98.54,0.0,18.774,0.0,363.83
10,22.573705,243.5982,0.0,0.101,99.43,0.0,17.868,0.0,186.55
11,23.427817,246.7035,0.0,0.0859,65.55,0.0,83.875,0.0,329.19
12,24.117262,254.169,0.0,0.0765,34.84,0.0,16.97,0.0,59.84
13,25.359727,244.7257,0.0,0.0719,36.53,0.0,16.888,0.0,46.5
14,25.686569,255.8351,0.0,0.0695,36.72,0.0,26.787,0.0,1085.24
15,25.692231,256.0686,0.0,0.069,37.08,0.0,17.527,0.0,103.87
16,25.739832,264.6933,0.0,0.0676,36.61,0.0,17.148,0.0,64.53
17,25.305421,273.3284,0.0,0.0671,36.39,0.0,17.01,0.0,54.35
18,24.903933,274.7128,0.0,0.0681,36.92,0.0,17.192,0.0,57.49
19,25.53017,273.0952,0.0,0.0696,57.81,0.0,17.236,0.0,53.38
20,26.362439,280.6742,0.0,0.0731,58.08,0.0,19.4,0.0,234.04
21,26.676472,307.7356,0.0,0.0736,36.59,0.0,17.329,0.0,53.36
22,26.776687,303.0034,0.0,0.0724,37.03,0.0,17.345,0.0,57.14
23,27.238389,293.1477,0.0,0.0722,36.52,0.0,32.746,0.0,1095.75
24,28.353725,309.1842,0.0,0.074,55.12,0.0,17.215,0.0,52.49
25,28.860384,311.8113,0.0,0.0745,58.0,0.0,27.331,0.0,638.95
26,28.402283,320.03,0.0,0.0746,38.07,0.0,20.254,0.0,230.13
27,27.734168,348.5607,0.0,0.0739,36.81,0.0,17.519,0.0,52.66
28,27.186945,336.8627,0.0,0.0735,36.83,0.0,17.318,0.0,54.12
29,26.350755,363.1935,0.0,0.0734,36.84,0.0,17.866,0.0,63.2
30,25.550375,369.8919,0.0,0.0721,35.14,0.0,61.772,0.0,483.96
31,24.474859,365.3418,0.0,0.0714,97.11,0.0,44.729,0.0,88.95
32,24.542234,358.9127,0.0,0.0713,96.62,0.0,45.087,0.0,76.1
33,23.647597,361.5822,0.0,0.0703,94.3,0.0,46.978,0.0,141.94
34,23.256538,341.2518,0.0,0.0681,96.43,0.0,46.973,0.0,105.87
35,22.648826,338.9726,0.0,0.0678,98.49,0.0,20.179,0.0,173.86
36,22.165823,372.0337,0.0,0.0686,93.51,0.0,18.882,0.0,101.53
37,22.097542,409.7735,0.0,0.0694,98.53,0.0,19.634,0.0,130.35
38,21.798192,406.8531,0.0,0.07,94.79,0.0,18.64,0.0,82.8
39,21.232483,383.958,0.0,0.0696,93.55,0.0,18.209,0.0,70.24
40,21.276234,409.3693,0.0,0.0686,45.55,0.0,27.549,0.0,429.69
41,21.153388,406.4456,0.0,0.068,36.78,0.0,44.698,0.0,1089.77
42,20.422567,405.0783,0.0,0.0673,36.82,0.0,17.685,0.0,49.07
43,20.146984,439.4756,0.0,0.0655,36.7,0.0,18.116,0.0,63.22
44,19.636717,466.4909,0.0,0.0664,36.79,0.0,18.265,0.0,51.43
45,19.834215,479.347,0.0,0.0666,36.89,0.0,18.184,0.0,66.78
46,19.495562,507.3307,0.0,0.0651,36.76,0.0,21.657,0.0,174.89
47,18.947542,490.6536,0.0,0.0653,36.82,0.0,34.12,0.0,606.55
48,19.04694,491.2003,0.0,0.0653,36.56,0.0,18.282,0.0,48.77
49,19.045578,569.7656,0.0,0.064,36.47,0.0,18.0,0.0,51.61
50,19.35724,492.8712,0.0,0.0633,36.04,0.0,23.968,0.0,243.32
51,19.731646,505.7221,0.0,0.0634,56.59,0.0,20.293,0.0,106.33
52,19.294556,544.3997,0.0,0.0629,57.51,0.0,34.658,0.0,537.84
53,18.945287,506.7194,0.0,0.0631,46.64,0.0,18.486,0.0,64.39
54,18.885224,519.322,0.0,0.0621,39.75,0.0,19.572,0.0,97.85
55,18.534904,556.8554,0.0,0.0613,67.88,0.0,30.883,0.0,107.82
56,18.56444,561.7338,0.0,0.0615,99.26,0.0,22.238,0.0,170.12
57,18.066842,566.3876,0.0,0.0616,95.7,0.0,20.742,0.0,111.56
