round,cpu_usage,gpu_usage
1,12.51,0.0
2,65.11,0.0
3,99.41,0.0
4,99.15,0.0
5,99.36,0.0
6,99.24,0.0
7,99.12,0.0
8,97.98,0.0
9,99.28,0.0
10,98.92,0.0
11,98.22,0.0
12,99.11,0.0
13,95.39,0.0
14,98.36,0.0
15,98.75,0.0
16,98.94,0.0
17,99.05,0.0
18,99.38,0.0
19,99.41,0.0
20,98.56,0.0
21,99.3,0.0
22,99.31,0.0
23,99.12,0.0
24,96.13,0.0
25,98.92,0.0
26,98.2,0.0
27,95.1,0.0
28,98.54,0.0
29,98.28,0.0
30,97.48,0.0
31,96.59,0.0
32,97.48,0.0
33,97.0,0.0
34,80.28,0.0
35,68.92,0.0
36,69.03,0.0
37,68.99,0.0
38,67.91,0.0
39,64.15,0.0
40,50.93,0.0
41,42.42,0.0
42,41.55,0.0
43,41.35,0.0
44,41.16,0.0
45,40.88,0.0
46,41.36,0.0
47,41.16,0.0
48,41.19,0.0
49,41.06,0.0
50,41.07,0.0
51,40.94,0.0
52,41.12,0.0
53,41.13,0.0
54,41.14,0.0
55,41.12,0.0
56,42.37,0.0
57,79.74,0.0
58,99.01,0.0
59,99.3,0.0
60,97.7,0.0
61,99.0,0.0
62,98.97,0.0
63,99.18,0.0
64,98.68,0.0
65,94.74,0.0
66,98.54,0.0
67,98.47,0.0
68,99.47,0.0
69,99.44,0.0
70,99.49,0.0
71,99.55,0.0
72,99.3,0.0
73,99.63,0.0
74,99.62,0.0
75,99.05,0.0
76,99.05,0.0
77,97.66,0.0
78,99.07,0.0
79,99.17,0.0
80,99.53,0.0
81,98.31,0.0
82,98.84,0.0
83,99.52,0.0
84,99.72,0.0
85,99.53,0.0
86,99.01,0.0
87,97.86,0.0
88,96.48,0.0
89,81.09,0.0
90,52.8,0.0
91,98.69,0.0
92,95.86,0.0
93,98.82,0.0
94,97.67,0.0
95,99.05,0.0
96,98.81,0.0
97,98.77,0.0
98,97.66,0.0
99,98.78,0.0
100,97.88,0.0
101,98.43,0.0
102,94.64,0.0
103,84.52,0.0
104,78.21,0.0
105,70.82,0.0
106,67.45,0.0
107,65.33,0.0
108,63.32,0.0
109,57.78,0.0
110,55.38,0.0
111,49.83,0.0
112,48.91,0.0
113,48.98,0.0
114,48.67,0.0
115,48.74,0.0
116,45.19,0.0
117,41.4,0.0
118,40.2,0.0
119,40.58,0.0
120,38.57,0.0
121,38.78,0.0
122,38.82,0.0
123,38.47,0.0
124,59.19,0.0
125,97.89,0.0
126,98.88,0.0
127,98.43,0.0
128,98.58,0.0
129,98.53,0.0
130,98.41,0.0
131,98.82,0.0
132,97.86,0.0
133,96.64,0.0
134,97.84,0.0
135,95.62,0.0
136,98.86,0.0
137,99.21,0.0
138,99.24,0.0
139,98.82,0.0
140,98.52,0.0
141,98.93,0.0
142,98.28,0.0
143,95.41,0.0
144,99.14,0.0
145,98.71,0.0
146,99.06,0.0
147,98.36,0.0
148,97.78,0.0
149,99.39,0.0
150,98.91,0.0
