round,total_latency,train_time
1,170.15,0.0
2,15.77,0.0
3,27.8,0.0
4,32.63,0.0
5,31.15,0.0
6,27.13,0.0
7,33.32,0.0
8,28.03,0.0
9,29.25,0.0
10,30.03,0.0
11,30.29,0.0
12,32.68,0.0
13,31.14,0.0
14,24.13,0.0
15,30.53,0.0
16,26.77,0.0
17,38.64,0.0
18,33.02,0.0
19,28.82,0.0
20,35.32,0.0
21,29.52,0.0
22,28.39,0.0
23,30.74,0.0
24,29.98,0.0
25,35.35,0.0
26,29.51,0.0
27,21.7,0.0
28,29.92,0.0
29,37.94,0.0
30,30.84,0.0
31,35.27,0.0
32,34.25,0.0
33,47.62,0.0
34,44.52,0.0
35,32.1,0.0
36,35.57,0.0
37,30.13,0.0
38,25.97,0.0
39,16.37,0.0
40,15.59,0.0
41,14.08,0.0
42,13.42,0.0
43,12.84,0.0
44,14.32,0.0
45,14.73,0.0
46,12.72,0.0
47,14.42,0.0
48,14.43,0.0
49,14.34,0.0
50,14.31,0.0
51,14.4,0.0
52,13.47,0.0
53,14.48,0.0
54,14.46,0.0
55,14.46,0.0
56,14.78,0.0
57,17.18,0.0
58,35.04,0.0
59,34.63,0.0
60,51.01,0.0
61,37.15,0.0
62,42.02,0.0
63,36.34,0.0
64,36.71,0.0
65,30.75,0.0
66,26.15,0.0
67,25.17,0.0
68,27.42,0.0
69,25.71,0.0
70,32.37,0.0
71,30.98,0.0
72,33.89,0.0
73,32.1,0.0
74,31.11,0.0
75,28.73,0.0
76,29.53,0.0
77,27.2,0.0
78,28.48,0.0
79,26.56,0.0
80,29.44,0.0
81,24.33,0.0
82,22.02,0.0
83,31.84,0.0
84,31.89,0.0
85,33.49,0.0
86,28.47,0.0
87,30.01,0.0
88,31.99,0.0
89,32.87,0.0
90,458.12,0.0
91,33.84,0.0
92,565.95,0.0
93,34.42,0.0
94,36.52,0.0
95,25.42,0.0
96,23.42,0.0
97,29.46,0.0
98,31.88,0.0
99,23.85,0.0
100,33.84,0.0
101,30.47,0.0
102,29.98,0.0
103,32.32,0.0
104,30.69,0.0
105,25.83,0.0
106,30.31,0.0
107,36.32,0.0
108,16.8,0.0
109,16.17,0.0
110,15.94,0.0
111,15.47,0.0
112,15.07,0.0
113,15.45,0.0
114,15.63,0.0
115,15.01,0.0
116,15.39,0.0
117,14.49,0.0
118,14.68,0.0
119,14.08,0.0
120,16.59,0.0
121,15.41,0.0
122,15.22,0.0
123,15.56,0.0
124,19.26,0.0
125,31.28,0.0
126,33.7,0.0
127,29.25,0.0
128,30.45,0.0
129,31.72,0.0
130,29.98,0.0
131,34.56,0.0
132,28.52,0.0
133,32.95,0.0
134,31.33,0.0
135,22.32,0.0
136,22.65,0.0
137,33.14,0.0
138,37.69,0.0
139,31.75,0.0
140,34.71,0.0
141,32.6,0.0
142,37.17,0.0
143,37.12,0.0
144,38.05,0.0
145,27.79,0.0
146,25.72,0.0
147,26.05,0.0
148,26.18,0.0
149,32.73,0.0
150,31.56,0.0
