round,network_mb
1,43.565
2,11.516
3,427.215
4,952.758
5,12.21
6,12.973
7,11.723
8,11.665
9,11.832
10,11.701
11,11.733
12,11.751
13,11.778
14,11.763
15,11.828
16,11.805
17,11.858
18,12.035
19,11.862
20,11.899
21,11.911
22,11.906
23,11.926
24,11.968
25,12.294
26,11.999
27,11.75
28,12.051
29,12.363
30,12.356
31,12.393
32,12.719
33,12.863
34,12.801
35,12.186
36,12.531
37,12.213
38,11.868
39,12.215
40,11.891
41,11.879
42,11.524
43,11.537
44,11.9
45,11.929
46,11.939
47,12.092
48,11.959
49,11.979
50,11.969
51,1189.856
52,1594.574
53,1713.452
54,1711.421
55,1711.429
56,1627.892
57,2016.665
58,4138.165
59,4086.878
60,3025.572
61,3963.666
62,473.094
63,13.105
64,12.969
65,12.689
66,12.784
67,12.85
68,12.744
69,12.748
70,12.951
71,12.789
72,12.824
73,12.829
74,12.836
75,12.874
76,12.871
77,21.209
78,63.109
79,51.889
80,13.204
81,12.895
82,12.896
83,12.94
84,12.875
85,12.869
86,12.844
87,12.886
88,12.873
89,13.043
90,39.872
91,40.873
92,48.759
93,13.202
94,13.929
95,12.204
96,12.202
97,12.911
98,13.606
99,12.179
100,13.603
101,12.948
102,12.899
103,12.908
104,12.913
105,12.195
106,57.482
107,53.359
108,12.257
109,12.223
110,12.205
111,12.216
112,12.218
113,12.209
114,12.404
115,12.214
116,12.218
117,12.208
118,12.205
119,12.2
120,12.461
121,12.555
122,12.462
123,12.468
124,13.193
125,142.87
126,12.899
127,12.861
128,13.218
129,12.907
130,12.901
131,12.896
132,12.905
133,13.603
134,12.92
135,12.871
136,12.199
137,13.269
138,13.661
139,106.244
140,533.073
141,13.295
142,14.035
143,13.157
144,13.874
145,13.093
146,12.864
147,12.862
148,12.882
149,12.886
150,13.602
