robot_id,fl_round,training_step,reward,success_rate_rolling10,policy_entropy,status,eval_return,eval_episode_len,eval_success
robot_000,1,1,20.96,0.0,0.9997,eval,20.96,26.0,0.0
robot_000,2,1001,69.765,0.0,0.7434,eval,69.765,42.7,0.0
robot_000,3,2001,193.841,0.0,0.5609,eval,193.841,89.0,0.0
robot_000,4,3001,198.406,0.0,0.4317,eval,198.406,91.0,0.0
robot_000,5,4001,207.058,0.0,0.3354,eval,207.058,93.0,0.0
robot_000,6,5001,221.633,0.0,0.2595,eval,221.633,100.3,0.0
robot_000,7,6001,223.262,0.0,0.1982,eval,223.262,101.0,0.0
robot_000,8,7001,254.599,1.0,0.1568,eval,254.599,107.0,1.0
robot_000,9,8001,270.613,1.0,0.1276,eval,270.613,111.7,1.0
robot_000,10,9001,285.518,1.0,0.1038,eval,285.518,116.3,1.0
robot_000,11,10001,288.69,1.0,0.0843,eval,288.69,118.3,1.0
robot_000,12,11001,285.056,1.0,0.0706,eval,285.056,115.3,1.0
robot_000,13,12001,267.126,1.0,0.0653,eval,267.126,109.7,1.0
robot_000,14,13001,286.043,1.0,0.064,eval,286.043,113.7,1.0
robot_000,15,14001,297.047,1.0,0.0602,eval,297.047,118.3,1.0
robot_000,16,15001,300.027,1.0,0.0587,eval,300.027,119.0,1.0
robot_000,17,16001,291.559,1.0,0.063,eval,291.559,116.0,1.0
robot_000,18,17001,307.662,1.0,0.0806,eval,307.662,121.0,1.0
robot_000,19,18001,318.595,1.0,0.0942,eval,318.595,124.0,1.0
robot_000,20,19001,313.974,1.0,0.0938,eval,313.974,124.3,1.0
robot_000,21,20001,325.876,1.0,0.0919,eval,325.876,127.7,1.0
robot_000,22,21001,318.304,1.0,0.0898,eval,318.304,130.3,1.0
robot_000,23,22001,325.181,1.0,0.089,eval,325.181,135.0,1.0
robot_000,24,23001,317.019,1.0,0.089,eval,317.019,134.3,1.0
robot_000,25,24001,322.578,1.0,0.09,eval,322.578,134.3,1.0
robot_000,26,25001,363.416,1.0,0.081,eval,363.416,144.7,1.0
robot_000,27,26001,356.171,1.0,0.0818,eval,356.171,144.0,1.0
robot_000,28,27001,370.473,1.0,0.0737,eval,370.473,145.3,1.0
robot_000,29,28001,373.488,1.0,0.0803,eval,373.488,143.7,1.0
robot_000,30,29001,391.027,1.0,0.0817,eval,391.027,148.7,1.0
robot_000,31,30001,413.014,1.0,0.0869,eval,413.014,153.3,1.0
robot_000,32,31001,408.042,1.0,0.0806,eval,408.042,152.7,1.0
robot_000,33,32001,401.98,1.0,0.0803,eval,401.98,151.7,1.0
robot_000,34,33001,428.481,1.0,0.0828,eval,428.481,157.3,1.0
robot_000,35,34001,391.827,1.0,0.0893,eval,391.827,150.0,1.0
robot_000,36,35001,388.134,1.0,0.0924,eval,388.134,150.7,1.0
robot_000,37,36001,392.276,1.0,0.0982,eval,392.276,154.0,1.0
robot_000,38,37001,468.377,1.0,0.0975,eval,468.377,170.3,1.0
