round,train_loss,mean_reward,success_rate,policy_entropy,cpu_usage,gpu_usage,network_mb,train_time,total_latency
1,14.758675,17.646,0.0,0.9997,11.67,0.0,175.556,0.0,32.68
2,1.985084,36.9357,0.0,0.7431,57.54,0.0,16.865,0.0,61.24
3,5.358312,127.8481,0.0,0.5622,52.65,0.0,16.853,0.0,122.64
4,10.033027,181.8177,0.0,0.4329,57.31,0.0,17.891,0.0,399.9
5,13.815444,198.8493,0.0,0.3334,26.43,0.0,16.682,0.0,52.3
6,16.398676,213.7196,0.0,0.2559,28.32,0.0,16.855,0.0,67.24
7,18.715858,238.8944,0.0,0.1987,28.4,0.0,17.344,0.0,125.96
8,20.695643,250.3806,0.0,0.1563,28.61,0.0,18.288,0.0,305.77
9,22.192986,251.3145,0.0,0.1253,53.37,0.0,16.879,0.0,59.86
10,24.009605,252.016,0.0,0.1032,57.15,0.0,16.801,0.0,54.74
11,25.278561,266.6016,0.0,0.0873,57.69,0.0,16.96,0.0,52.24
12,26.155009,273.5704,0.0,0.0791,49.47,0.0,17.26,0.0,67.88
13,26.590863,276.7437,0.0,0.0732,28.11,0.0,16.889,0.0,57.14
14,27.378559,270.8625,0.0,0.0724,52.13,0.0,17.046,0.0,49.97
15,29.375977,277.7237,0.0,0.0739,57.67,0.0,17.076,0.0,62.02
16,30.738636,302.4706,0.0,0.0763,45.58,0.0,19.228,0.0,260.71
17,32.340693,312.5409,0.0,0.0794,37.54,0.0,17.163,0.0,58.88
18,32.404211,318.5678,0.0,0.0823,32.95,0.0,102.541,0.0,371.64
19,33.639324,312.4026,0.0,0.0821,42.18,0.0,17.299,0.0,48.3
20,35.660411,313.2232,0.0,0.0835,53.44,0.0,20.581,0.0,311.92
21,36.300591,336.9299,0.0,0.0845,29.24,0.0,18.174,0.0,118.75
22,36.634044,339.745,0.0,0.085,56.16,0.0,32.597,0.0,354.04
23,36.852377,351.0728,0.0,0.0884,97.99,0.0,18.279,0.0,130.63
24,38.022953,365.2461,0.0,0.0911,98.22,0.0,18.567,0.0,138.92
25,38.667343,393.8705,0.0,0.0937,98.63,0.0,18.182,0.0,114.26
26,37.949032,411.5137,0.0,0.0946,97.77,0.0,18.043,0.0,91.4
27,37.192279,445.0566,0.0,0.0931,78.71,0.0,87.963,0.0,380.43
28,36.634866,417.0755,0.0,0.095,53.16,0.0,31.33,0.0,816.79
29,36.324463,419.6097,0.0,0.0962,36.3,0.0,17.613,0.0,70.79
30,31.397617,324.5315,0.0,0.2767,32.23,0.0,17.761,0.0,38.93
31,24.384076,288.8309,0.0,0.4032,32.41,0.0,18.361,0.0,84.56
32,16.167271,194.096,0.0,0.4963,32.16,0.0,17.239,0.0,33.92
33,11.297448,154.2777,0.0,0.5623,33.01,0.0,17.247,0.0,34.14
34,9.193363,119.6761,0.0,0.6114,32.6,0.0,17.577,0.0,38.64
35,11.084522,165.8645,0.0,0.4634,36.43,0.0,25.277,0.0,385.48
36,15.208964,215.9053,0.0,0.3556,36.87,0.0,17.517,0.0,53.08
37,18.717882,245.6304,0.0,0.2753,37.1,0.0,17.884,0.0,57.88
38,21.842504,254.6915,0.0,0.2149,37.02,0.0,19.348,0.0,119.26
39,24.240843,260.7197,0.0,0.1701,36.39,0.0,18.329,0.0,77.78
40,26.821106,275.0167,0.0,0.1375,36.82,0.0,18.126,0.0,56.46
41,29.023771,280.4019,0.0,0.1144,36.85,0.0,19.957,0.0,135.34
42,30.664479,268.5426,0.0,0.0996,37.07,0.0,18.063,0.0,52.29
43,32.344709,264.8578,0.0,0.0894,39.97,0.0,94.693,0.0,659.2
44,33.369163,265.6432,0.0,0.0844,69.9,0.0,77.273,0.0,160.44
45,34.05526,289.2625,0.0,0.0839,56.22,0.0,39.811,0.0,52.57
46,35.340234,272.501,0.0,0.0854,71.92,0.0,80.816,0.0,422.21
47,35.827417,291.3033,0.0,0.0875,78.02,0.0,59.253,0.0,95.52
48,36.033547,286.0923,0.0,0.0911,64.78,0.0,24.135,0.0,263.61
49,37.087704,315.711,0.0,0.0933,44.57,0.0,18.782,0.0,68.27
50,36.441305,328.0491,0.0,0.0917,43.29,0.0,19.019,0.0,71.49
51,36.28567,317.6244,0.0,0.0908,57.86,0.0,18.392,0.0,60.95
52,37.152776,356.6293,0.0,0.0913,56.93,0.0,18.431,0.0,63.1
53,37.046441,350.822,0.0,0.0938,36.97,0.0,18.47,0.0,60.18
54,36.565392,372.4548,0.0,0.0955,37.03,0.0,34.327,0.0,520.68
55,37.26166,337.5936,0.0,0.0977,36.51,0.0,18.153,0.0,53.57
56,37.136911,392.2615,0.0,0.0959,36.86,0.0,18.582,0.0,49.18
57,36.5759,379.7355,0.0,0.0954,36.45,0.0,18.086,0.0,52.88
58,36.518967,411.6096,0.0,0.0958,36.86,0.0,18.703,0.0,50.6
59,35.247256,403.3606,0.0,0.0935,36.97,0.0,18.141,0.0,52.23
60,32.092437,316.0767,0.0,0.2755,32.52,0.0,18.353,0.0,40.53
61,25.257173,285.8199,0.0,0.4036,32.33,0.0,18.293,0.0,42.8
62,16.79192,222.8184,0.0,0.4951,41.45,0.0,31.094,0.0,120.19
63,11.792396,181.029,0.0,0.5621,99.4,0.0,21.33,0.0,115.4
64,8.988915,133.9629,0.0,0.6114,99.39,0.0,19.732,0.0,79.9
65,10.961396,175.8477,0.0,0.4636,96.69,0.0,20.704,0.0,101.6
66,14.335597,224.8793,0.0,0.356,99.3,0.0,23.86,0.0,184.56
67,17.603057,247.862,0.0,0.276,98.27,0.0,21.467,0.0,124.19
68,20.212747,266.5778,0.0,0.2153,98.67,0.0,22.795,0.0,143.8
69,22.410814,291.2299,0.0,0.1702,99.78,0.0,20.323,0.0,89.06
70,23.841936,280.7116,0.0,0.1379,93.8,0.0,77.522,0.0,144.58
71,25.949293,269.9295,0.0,0.1155,56.39,0.0,64.338,0.0,475.3
72,28.091428,288.5684,0.0,0.1005,36.77,0.0,18.505,0.0,50.32
73,29.652157,299.8035,0.0,0.0912,37.15,0.0,34.79,0.0,405.73
74,30.383056,294.3071,0.0,0.0872,36.48,0.0,61.823,0.0,995.57
75,30.996976,311.3947,0.0,0.0866,57.15,0.0,19.967,0.0,65.36
76,31.317364,301.9946,0.0,0.0891,42.62,0.0,19.32,0.0,60.17
77,31.868604,305.8067,0.0,0.0899,44.9,0.0,18.608,0.0,52.19
78,32.73969,299.7538,0.0,0.0904,36.37,0.0,19.299,0.0,53.25
79,32.838177,316.2348,0.0,0.092,34.71,0.0,24.409,0.0,161.39
80,33.921152,313.1102,0.0,0.0928,56.53,0.0,20.018,0.0,82.13
81,34.817595,325.3522,0.0,0.0929,36.38,0.0,19.309,0.0,53.46
82,34.889107,350.3764,0.0,0.0942,36.81,0.0,19.304,0.0,53.72
83,33.842224,359.0091,0.0,0.094,36.64,0.0,18.623,0.0,50.2
84,33.471877,364.3888,0.0,0.0941,36.09,0.0,19.456,0.0,66.77
85,33.428373,361.6296,0.0,0.0952,51.33,0.0,20.029,0.0,83.96
86,33.029408,378.9101,0.0,0.0953,40.02,0.0,19.314,0.0,55.69
87,33.103902,406.8997,0.0,0.0948,52.56,0.0,19.316,0.0,64.72
88,33.373454,435.7171,0.0,0.0968,49.18,0.0,38.359,0.0,459.03
89,32.722121,452.1341,0.0,0.0962,62.31,0.0,56.824,0.0,612.08
90,29.207492,381.7433,0.0,0.2778,98.9,0.0,19.438,0.0,63.23
91,23.277055,352.8295,0.0,0.4038,99.32,0.0,20.251,0.0,71.42
92,15.676367,214.197,0.0,0.4946,96.87,0.0,21.536,0.0,106.07
93,11.25173,153.3257,0.0,0.5618,93.88,0.0,19.439,0.0,54.88
94,8.699413,136.1089,0.0,0.6111,99.38,0.0,26.723,0.0,213.75
95,11.040804,179.0819,0.0,0.4632,96.86,0.0,22.13,0.0,114.54
96,15.531176,235.4532,0.0,0.356,99.51,0.0,24.37,0.0,166.42
97,19.410354,270.8305,0.0,0.2769,96.65,0.0,93.344,0.0,194.28
98,22.526945,272.2723,0.0,0.2171,64.41,0.0,33.471,0.0,72.32
99,25.05166,280.7881,0.0,0.1726,51.6,0.0,18.831,0.0,54.9
