round,cpu_usage,gpu_usage
1,11.67,0.0
2,57.54,0.0
3,52.65,0.0
4,57.31,0.0
5,26.43,0.0
6,28.32,0.0
7,28.4,0.0
8,28.61,0.0
9,53.37,0.0
10,57.15,0.0
11,57.69,0.0
12,49.47,0.0
13,28.11,0.0
14,52.13,0.0
15,57.67,0.0
16,45.58,0.0
17,37.54,0.0
18,32.95,0.0
19,42.18,0.0
20,53.44,0.0
21,29.24,0.0
22,56.16,0.0
23,97.99,0.0
24,98.22,0.0
25,98.63,0.0
26,97.77,0.0
27,78.71,0.0
28,53.16,0.0
29,36.3,0.0
30,32.23,0.0
31,32.41,0.0
32,32.16,0.0
33,33.01,0.0
34,32.6,0.0
35,36.43,0.0
36,36.87,0.0
37,37.1,0.0
38,37.02,0.0
39,36.39,0.0
40,36.82,0.0
41,36.85,0.0
42,37.07,0.0
43,39.97,0.0
44,69.9,0.0
45,56.22,0.0
46,71.92,0.0
47,78.02,0.0
48,64.78,0.0
49,44.57,0.0
50,43.29,0.0
51,57.86,0.0
52,56.93,0.0
53,36.97,0.0
54,37.03,0.0
55,36.51,0.0
56,36.86,0.0
57,36.45,0.0
58,36.86,0.0
59,36.97,0.0
60,32.52,0.0
61,32.33,0.0
62,41.45,0.0
63,99.4,0.0
64,99.39,0.0
65,96.69,0.0
66,99.3,0.0
67,98.27,0.0
68,98.67,0.0
69,99.78,0.0
70,93.8,0.0
71,56.39,0.0
72,36.77,0.0
73,37.15,0.0
74,36.48,0.0
75,57.15,0.0
76,42.62,0.0
77,44.9,0.0
78,36.37,0.0
79,34.71,0.0
80,56.53,0.0
81,36.38,0.0
82,36.81,0.0
83,36.64,0.0
84,36.09,0.0
85,51.33,0.0
86,40.02,0.0
87,52.56,0.0
88,49.18,0.0
89,62.31,0.0
90,98.9,0.0
91,99.32,0.0
92,96.87,0.0
93,93.88,0.0
94,99.38,0.0
95,96.86,0.0
96,99.51,0.0
97,96.65,0.0
98,64.41,0.0
99,51.6,0.0
100,36.65,0.0
101,37.1,0.0
102,57.49,0.0
103,36.54,0.0
104,36.28,0.0
105,36.22,0.0
106,38.45,0.0
107,49.56,0.0
108,52.57,0.0
109,48.29,0.0
110,36.51,0.0
111,50.78,0.0
112,40.58,0.0
113,48.25,0.0
114,48.77,0.0
115,57.81,0.0
116,44.84,0.0
117,44.98,0.0
118,36.64,0.0
119,36.49,0.0
120,31.78,0.0
121,31.8,0.0
122,32.23,0.0
123,32.13,0.0
124,32.46,0.0
125,51.08,0.0
126,99.07,0.0
127,96.43,0.0
128,98.33,0.0
129,98.69,0.0
130,99.65,0.0
131,67.61,0.0
132,36.96,0.0
133,37.74,0.0
134,45.02,0.0
135,39.47,0.0
136,36.17,0.0
137,52.8,0.0
138,45.27,0.0
139,50.17,0.0
140,57.65,0.0
141,48.94,0.0
142,55.19,0.0
143,49.64,0.0
144,56.07,0.0
145,45.31,0.0
146,48.83,0.0
147,99.62,0.0
148,96.7,0.0
149,99.02,0.0
150,97.49,0.0
