round,total_latency,train_time
1,32.68,0.0
2,61.24,0.0
3,122.64,0.0
4,399.9,0.0
5,52.3,0.0
6,67.24,0.0
7,125.96,0.0
8,305.77,0.0
9,59.86,0.0
10,54.74,0.0
11,52.24,0.0
12,67.88,0.0
13,57.14,0.0
14,49.97,0.0
15,62.02,0.0
16,260.71,0.0
17,58.88,0.0
18,371.64,0.0
19,48.3,0.0
20,311.92,0.0
21,118.75,0.0
22,354.04,0.0
23,130.63,0.0
24,138.92,0.0
25,114.26,0.0
26,91.4,0.0
27,380.43,0.0
28,816.79,0.0
29,70.79,0.0
30,38.93,0.0
31,84.56,0.0
32,33.92,0.0
33,34.14,0.0
34,38.64,0.0
35,385.48,0.0
36,53.08,0.0
37,57.88,0.0
38,119.26,0.0
39,77.78,0.0
40,56.46,0.0
41,135.34,0.0
42,52.29,0.0
43,659.2,0.0
44,160.44,0.0
45,52.57,0.0
46,422.21,0.0
47,95.52,0.0
48,263.61,0.0
49,68.27,0.0
50,71.49,0.0
51,60.95,0.0
52,63.1,0.0
53,60.18,0.0
54,520.68,0.0
55,53.57,0.0
56,49.18,0.0
57,52.88,0.0
58,50.6,0.0
59,52.23,0.0
60,40.53,0.0
61,42.8,0.0
62,120.19,0.0
63,115.4,0.0
64,79.9,0.0
65,101.6,0.0
66,184.56,0.0
67,124.19,0.0
68,143.8,0.0
69,89.06,0.0
70,144.58,0.0
71,475.3,0.0
72,50.32,0.0
73,405.73,0.0
74,995.57,0.0
75,65.36,0.0
76,60.17,0.0
77,52.19,0.0
78,53.25,0.0
79,161.39,0.0
80,82.13,0.0
81,53.46,0.0
82,53.72,0.0
83,50.2,0.0
84,66.77,0.0
85,83.96,0.0
86,55.69,0.0
87,64.72,0.0
88,459.03,0.0
89,612.08,0.0
90,63.23,0.0
91,71.42,0.0
92,106.07,0.0
93,54.88,0.0
94,213.75,0.0
95,114.54,0.0
96,166.42,0.0
97,194.28,0.0
98,72.32,0.0
99,54.9,0.0
100,106.67,0.0
101,607.94,0.0
102,101.74,0.0
103,253.67,0.0
104,54.35,0.0
105,60.56,0.0
106,628.54,0.0
107,144.45,0.0
108,196.52,0.0
109,49.3,0.0
110,52.96,0.0
111,52.22,0.0
112,149.7,0.0
113,392.54,0.0
114,369.01,0.0
115,86.54,0.0
116,51.16,0.0
117,354.1,0.0
118,178.64,0.0
119,70.27,0.0
120,41.37,0.0
121,33.48,0.0
122,47.93,0.0
123,44.45,0.0
124,35.01,0.0
125,322.67,0.0
126,189.0,0.0
127,126.48,0.0
128,265.68,0.0
129,168.73,0.0
130,95.79,0.0
131,293.59,0.0
132,563.63,0.0
133,665.57,0.0
134,52.92,0.0
135,559.74,0.0
136,758.38,0.0
137,52.22,0.0
138,58.7,0.0
139,64.83,0.0
140,35.05,0.0
141,38.93,0.0
142,45.98,0.0
143,39.06,0.0
144,46.15,0.0
145,569.03,0.0
146,475.55,0.0
147,137.53,0.0
148,138.5,0.0
149,149.34,0.0
150,172.04,0.0
