round,network_mb
1,175.556
2,16.865
3,16.853
4,17.891
5,16.682
6,16.855
7,17.344
8,18.288
9,16.879
10,16.801
11,16.96
12,17.26
13,16.889
14,17.046
15,17.076
16,19.228
17,17.163
18,102.541
19,17.299
20,20.581
21,18.174
22,32.597
23,18.279
24,18.567
25,18.182
26,18.043
27,87.963
28,31.33
29,17.613
30,17.761
31,18.361
32,17.239
33,17.247
34,17.577
35,25.277
36,17.517
37,17.884
38,19.348
39,18.329
40,18.126
41,19.957
42,18.063
43,94.693
44,77.273
45,39.811
46,80.816
47,59.253
48,24.135
49,18.782
50,19.019
51,18.392
52,18.431
53,18.47
54,34.327
55,18.153
56,18.582
57,18.086
58,18.703
59,18.141
60,18.353
61,18.293
62,31.094
63,21.33
64,19.732
65,20.704
66,23.86
67,21.467
68,22.795
69,20.323
70,77.522
71,64.338
72,18.505
73,34.79
74,61.823
75,19.967
76,19.32
77,18.608
78,19.299
79,24.409
80,20.018
81,19.309
82,19.304
83,18.623
84,19.456
85,20.029
86,19.314
87,19.316
88,38.359
89,56.824
90,19.438
91,20.251
92,21.536
93,19.439
94,26.723
95,22.13
96,24.37
97,93.344
98,33.471
99,18.831
100,22.171
101,44.691
102,21.685
103,28.476
104,19.504
105,19.326
106,120.102
107,86.122
108,25.673
109,19.502
110,18.626
111,19.302
112,74.573
113,133.677
114,80.234
115,20.734
116,18.613
117,33.452
118,24.99
119,19.431
120,18.723
121,18.025
122,18.735
123,18.739
124,18.021
125,43.575
126,25.038
127,22.878
128,28.542
129,24.293
130,20.956
131,30.888
132,42.714
133,113.184
134,18.75
135,124.801
136,51.813
137,19.314
138,19.335
139,19.321
140,18.85
141,18.033
142,18.734
143,18.744
144,18.72
145,43.576
146,49.11
147,22.849
148,22.849
149,23.559
150,25.21
