condition,robot_id,migration_event_id,timestamp,fl_round,src_node,dst_node,trigger_to_dump_ms,dump_to_transfer_ms,transfer_to_restore_ms,policy_load_ms,downtime_ms,total_MTT_ms,success_rate_pre,success_rate_post,regression_pct,fl_rounds_to_recover,replay_buffer_entries_restored,gpu_util_pre_migration,gpu_util_during_migration,gpu_util_post_migration,cpu_util_pre_migration,cpu_util_during_migration,cpu_util_post_migration,network_bytes_transferred,checkpoint_size_mb,checkpoint_mode,throughput_post_60s,recovery_tasks_to_pre,background_bandwidth_mb,concurrency_level,fault_injected,retry_count,total_recovery_ms,policy_action_mse,policy_weight_l2
cold_restart,robot_010,1,1783720435.7981777,30,n008.cluster.pssclabs.com,n006.cluster.pssclabs.com,0,0,0,5.45,604.8486810177565,604.8486810177565,1.0,-1,-1,-1,0,0,0,0,0,0,0,0,0,none,0,-1,0,1,0,0,0,0.0,0.0
cold_restart,robot_005,2,1783720442.5013654,30,n006.cluster.pssclabs.com,n008.cluster.pssclabs.com,0,0,0,27.07,607.5948644429445,607.5948644429445,1.0,-1,-1,-1,0,0,0,0,0,0,0,0,0,none,0,-1,0,1,0,0,0,0.0,0.0
cold_restart,robot_015,3,1783720448.8311958,30,n008.cluster.pssclabs.com,n006.cluster.pssclabs.com,0,0,0,3.91,311.1869292333722,311.1869292333722,1.0,-1,-1,-1,0,0,0,0,0,0,0,0,0,none,0,-1,0,1,0,0,0,0.0,0.0
cold_restart,robot_000,4,1783720455.4566395,30,n006.cluster.pssclabs.com,n008.cluster.pssclabs.com,0,0,0,35.2,611.0678883269429,611.0678883269429,1.0,-1,-1,-1,0,0,0,0,0,0,0,0,0,none,0,-1,0,1,0,0,0,0.0,0.0
cold_restart,robot_006,5,1783720475.0971024,31,n006.cluster.pssclabs.com,n008.cluster.pssclabs.com,0,0,0,31.46,621.6564401984215,621.6564401984215,1.0,-1,-1,-1,0,0,0,0,0,0,0,0,0,none,0,-1,0,1,0,0,0,0.0,0.0
cold_restart,robot_011,6,1783720481.4183404,31,n008.cluster.pssclabs.com,n006.cluster.pssclabs.com,0,0,0,4.81,304.05090004205704,304.05090004205704,1.0,-1,-1,-1,0,0,0,0,0,0,0,0,0,none,0,-1,0,1,0,0,0,0.0,0.0
cold_restart,robot_016,7,1783720488.039693,31,n008.cluster.pssclabs.com,n006.cluster.pssclabs.com,0,0,0,4.63,611.0496558248997,611.0496558248997,1.0,-1,-1,-1,0,0,0,0,0,0,0,0,0,none,0,-1,0,1,0,0,0,0.0,0.0
cold_restart,robot_001,8,1783720495.356985,31,n006.cluster.pssclabs.com,n008.cluster.pssclabs.com,0,0,0,8.31,305.1142618060112,305.1142618060112,1.0,-1,-1,-1,0,0,0,0,0,0,0,0,0,none,0,-1,0,1,0,0,0,0.0,0.0
cold_restart,robot_002,9,1783720560.1961782,32,n006.cluster.pssclabs.com,n008.cluster.pssclabs.com,0,0,0,4.41,609.9483277648687,609.9483277648687,1.0,-1,-1,-1,0,0,0,0,0,0,0,0,0,none,0,-1,0,1,0,0,0,0.0,0.0
cold_restart,robot_007,10,1783720566.5266418,32,n006.cluster.pssclabs.com,n008.cluster.pssclabs.com,0,0,0,5.72,304.57102693617344,304.57102693617344,1.0,-1,-1,-1,0,0,0,0,0,0,0,0,0,none,0,-1,0,1,0,0,0,0.0,0.0
cold_restart,robot_017,11,1783720572.8518627,32,n008.cluster.pssclabs.com,n006.cluster.pssclabs.com,0,0,0,4.46,300.99094193428755,300.99094193428755,1.0,-1,-1,-1,0,0,0,0,0,0,0,0,0,none,0,-1,0,1,0,0,0,0.0,0.0
cold_restart,robot_012,12,1783720579.1940491,32,n008.cluster.pssclabs.com,n006.cluster.pssclabs.com,0,0,0,4.27,311.0589925199747,311.0589925199747,1.0,-1,-1,-1,0,0,0,0,0,0,0,0,0,none,0,-1,0,1,0,0,0,0.0,0.0
