robot_id,fl_round,training_step,reward,success_rate_rolling10,policy_entropy,status,eval_return,eval_episode_len,eval_success
robot_000,1,1,20.936,0.0,0.9997,eval,20.936,26.0,0.0
robot_000,2,1001,68.351,0.0,0.7431,eval,68.351,41.7,0.0
robot_000,3,2001,188.67,0.0,0.5614,eval,188.67,86.0,0.0
robot_000,4,3001,198.047,0.0,0.4317,eval,198.047,90.0,0.0
robot_000,5,4001,201.65,0.0,0.3296,eval,201.65,90.3,0.0
robot_000,6,5001,230.804,0.0,0.2517,eval,230.804,101.3,0.0
robot_000,7,6001,245.801,0.0,0.1958,eval,245.801,105.3,0.0
robot_000,8,7001,252.034,1.0,0.1535,eval,252.034,106.3,1.0
robot_000,9,8001,269.359,1.0,0.124,eval,269.359,111.7,1.0
robot_000,10,9001,292.414,1.0,0.1038,eval,292.414,117.0,1.0
robot_000,11,10001,287.87,1.0,0.0886,eval,287.87,114.3,1.0
robot_000,12,11001,311.588,1.0,0.0773,eval,311.588,120.0,1.0
robot_000,13,12001,303.688,1.0,0.069,eval,303.688,118.3,1.0
robot_000,14,13001,318.257,1.0,0.0663,eval,318.257,121.3,1.0
robot_000,15,14001,333.676,1.0,0.0724,eval,333.676,127.7,1.0
robot_000,16,15001,335.479,1.0,0.0815,eval,335.479,127.0,1.0
robot_000,17,16001,363.899,1.0,0.08,eval,363.899,135.3,1.0
robot_000,18,17001,365.024,1.0,0.0726,eval,365.024,136.0,1.0
robot_000,19,18001,387.953,1.0,0.069,eval,387.953,143.0,1.0
robot_000,20,19001,384.394,1.0,0.0666,eval,384.394,143.3,1.0
robot_000,21,20001,416.501,1.0,0.0661,eval,416.501,150.0,1.0
robot_000,22,21001,418.186,1.0,0.0673,eval,418.186,147.3,1.0
robot_000,23,22001,414.728,1.0,0.0762,eval,414.728,147.3,1.0
robot_000,24,23001,413.345,1.0,0.074,eval,413.345,148.0,1.0
robot_000,25,24001,423.613,1.0,0.0778,eval,423.613,149.3,1.0
robot_000,26,25001,395.904,1.0,0.0852,eval,395.904,143.0,1.0
robot_000,27,26001,468.048,1.0,0.0842,eval,468.048,159.7,1.0
robot_000,28,27001,457.09,1.0,0.0899,eval,457.09,155.3,1.0
robot_000,29,28001,513.674,1.0,0.0882,eval,513.674,169.0,1.0
robot_000,30,1,552.33,1.0,0.9997,eval,552.33,179.3,1.0
robot_000,31,1001,500.252,1.0,0.7362,eval,500.252,166.3,1.0
robot_000,32,2001,302.423,1.0,0.5553,eval,302.423,115.3,1.0
robot_000,33,3001,237.856,0.0,0.4244,eval,237.856,100.3,0.0
robot_000,34,4001,181.705,0.0,0.3279,eval,181.705,84.3,0.0
robot_000,35,5001,197.723,0.0,0.2564,eval,197.723,89.3,0.0
robot_000,36,6001,201.66,0.0,0.2019,eval,201.66,90.0,0.0
robot_000,37,7001,227.537,0.0,0.1608,eval,227.537,98.0,0.0
robot_000,38,8001,241.645,0.0,0.1302,eval,241.645,101.3,0.0
robot_000,39,9001,262.53,1.0,0.1077,eval,262.53,106.7,1.0
robot_000,40,10001,271.856,1.0,0.0919,eval,271.856,110.0,1.0
robot_000,41,11001,287.615,1.0,0.0824,eval,287.615,114.7,1.0
robot_000,42,12001,283.384,1.0,0.0806,eval,283.384,112.0,1.0
robot_000,43,13001,266.116,1.0,0.0828,eval,266.116,107.3,1.0
robot_000,44,14001,297.882,1.0,0.0819,eval,297.882,116.0,1.0
robot_000,45,15001,304.644,1.0,0.0891,eval,304.644,117.7,1.0
robot_000,46,16001,315.44,1.0,0.0925,eval,315.44,121.3,1.0
robot_000,47,17001,309.946,1.0,0.0947,eval,309.946,119.0,1.0
robot_000,48,18001,301.065,1.0,0.1012,eval,301.065,117.7,1.0
robot_000,49,19001,320.331,1.0,0.126,eval,320.331,122.7,1.0
robot_000,50,20001,338.65,1.0,0.1214,eval,338.65,126.3,1.0
robot_000,51,21001,339.267,1.0,0.1112,eval,339.267,126.3,1.0
robot_000,52,22001,355.663,1.0,0.1096,eval,355.663,131.3,1.0
robot_000,53,23001,348.513,1.0,0.1108,eval,348.513,131.0,1.0
robot_000,54,24001,376.27,1.0,0.1069,eval,376.27,139.0,1.0
robot_000,55,25001,360.458,1.0,0.1126,eval,360.458,136.3,1.0
robot_000,56,26001,359.142,1.0,0.1118,eval,359.142,136.7,1.0
robot_000,57,27001,371.087,1.0,0.1126,eval,371.087,140.3,1.0
robot_000,58,28001,349.02,1.0,0.1124,eval,349.02,135.3,1.0
robot_000,59,29001,383.744,1.0,0.1139,eval,383.744,142.0,1.0
robot_000,60,1,384.925,1.0,0.9997,eval,384.925,143.0,1.0
robot_000,61,1001,436.408,1.0,0.7351,eval,436.408,152.7,1.0
robot_000,62,2001,442.951,1.0,0.5552,eval,442.951,154.0,1.0
robot_000,63,3001,280.377,1.0,0.4261,eval,280.377,110.7,1.0
robot_000,64,4001,251.618,1.0,0.3291,eval,251.618,106.0,1.0
robot_000,65,5001,215.039,0.0,0.2553,eval,215.039,96.3,0.0
robot_000,66,6001,224.704,0.0,0.1971,eval,224.704,97.3,0.0
robot_000,67,7001,236.553,0.0,0.155,eval,236.553,101.0,0.0
robot_000,68,8001,259.066,1.0,0.1244,eval,259.066,109.0,1.0
robot_000,69,9001,288.95,1.0,0.1009,eval,288.95,119.0,1.0
robot_000,70,10001,287.139,1.0,0.0854,eval,287.139,117.3,1.0
robot_000,71,11001,301.761,1.0,0.0774,eval,301.761,122.3,1.0
robot_000,72,12001,316.45,1.0,0.0745,eval,316.45,125.0,1.0
robot_000,73,13001,325.897,1.0,0.0756,eval,325.897,124.3,1.0
robot_000,74,14001,343.627,1.0,0.0769,eval,343.627,129.3,1.0
robot_000,75,15001,353.364,1.0,0.0728,eval,353.364,132.0,1.0
robot_000,76,16001,349.159,1.0,0.0748,eval,349.159,131.3,1.0
robot_000,77,17001,342.529,1.0,0.0806,eval,342.529,130.3,1.0
robot_000,78,18001,337.293,1.0,0.0811,eval,337.293,129.3,1.0
robot_000,79,19001,355.186,1.0,0.0874,eval,355.186,134.3,1.0
robot_000,80,20001,348.64,1.0,0.0934,eval,348.64,134.0,1.0
robot_000,81,21001,335.756,1.0,0.0913,eval,335.756,132.0,1.0
robot_000,82,22001,367.044,1.0,0.1164,eval,367.044,140.3,1.0
robot_000,83,23001,396.675,1.0,0.1186,eval,396.675,147.7,1.0
robot_000,84,24001,391.728,1.0,0.1078,eval,391.728,148.7,1.0
robot_000,85,25001,428.392,1.0,0.1017,eval,428.392,159.3,1.0
robot_000,86,26001,463.377,1.0,0.1005,eval,463.377,169.0,1.0
robot_000,87,27001,499.584,1.0,0.0891,eval,499.584,176.0,1.0
robot_000,88,28001,511.049,1.0,0.0841,eval,511.049,178.7,1.0
robot_000,89,29001,603.073,1.0,0.083,eval,603.073,201.7,1.0
robot_000,90,1,617.402,1.0,0.9997,eval,617.402,208.0,1.0
robot_000,91,1001,541.858,1.0,0.7343,eval,541.858,188.7,1.0
robot_000,92,2001,501.225,1.0,0.5555,eval,501.225,177.3,1.0
robot_000,93,3001,307.145,0.6666666666666666,0.4275,eval,307.145,126.3,0.6666666666666666
robot_000,94,4001,298.653,1.0,0.3314,eval,298.653,121.0,1.0
robot_000,95,5001,239.425,0.0,0.2566,eval,239.425,101.3,0.0
robot_000,96,6001,233.326,0.0,0.2004,eval,233.326,100.0,0.0
robot_000,97,7001,254.882,1.0,0.1589,eval,254.882,106.7,1.0
robot_000,98,8001,303.985,1.0,0.1283,eval,303.985,118.3,1.0
robot_000,99,9001,305.917,1.0,0.1091,eval,305.917,118.0,1.0
robot_000,100,10001,301.923,1.0,0.1003,eval,301.923,118.0,1.0
robot_000,101,11001,326.756,1.0,0.1055,eval,326.756,124.3,1.0
robot_000,102,12001,345.318,1.0,0.1057,eval,345.318,128.7,1.0
robot_000,103,13001,358.857,1.0,0.0908,eval,358.857,131.0,1.0
robot_000,104,14001,371.712,1.0,0.0851,eval,371.712,135.0,1.0
robot_000,105,15001,351.67,1.0,0.0877,eval,351.67,130.7,1.0
robot_000,106,16001,379.394,1.0,0.0894,eval,379.394,139.0,1.0
robot_000,107,17001,373.287,1.0,0.0825,eval,373.287,133.7,1.0
robot_000,108,18001,370.537,1.0,0.0946,eval,370.537,133.3,1.0
robot_000,109,19001,373.95,1.0,0.0958,eval,373.95,133.7,1.0
robot_000,110,20001,388.228,1.0,0.0968,eval,388.228,138.0,1.0
robot_000,111,21001,396.684,1.0,0.0992,eval,396.684,141.7,1.0
robot_000,112,22001,405.914,1.0,0.1044,eval,405.914,145.0,1.0
robot_000,113,23001,456.798,1.0,0.0981,eval,456.798,155.7,1.0
robot_000,114,24001,412.933,1.0,0.1026,eval,412.933,146.0,1.0
robot_000,115,25001,437.488,1.0,0.0923,eval,437.488,152.3,1.0
robot_000,116,26001,504.674,1.0,0.0962,eval,504.674,165.3,1.0
robot_000,117,27001,554.111,1.0,0.0907,eval,554.111,179.3,1.0
robot_000,118,28001,569.203,1.0,0.0915,eval,569.203,184.3,1.0
robot_000,119,29001,623.616,1.0,0.0884,eval,623.616,200.7,1.0
robot_000,120,1,614.765,1.0,0.9997,eval,614.765,197.3,1.0
robot_000,121,1001,557.362,1.0,0.7322,eval,557.362,181.3,1.0
robot_000,122,2001,423.482,1.0,0.5531,eval,423.482,151.0,1.0
robot_000,123,3001,336.434,1.0,0.4248,eval,336.434,128.0,1.0
robot_000,124,4001,234.315,0.0,0.3276,eval,234.315,101.0,0.0
robot_000,125,5001,197.741,0.0,0.2525,eval,197.741,89.0,0.0
robot_000,126,6001,210.221,0.0,0.1963,eval,210.221,92.0,0.0
robot_000,127,7001,227.559,0.0,0.1545,eval,227.559,97.3,0.0
robot_000,128,8001,250.301,0.6666666666666666,0.1248,eval,250.301,103.7,0.6666666666666666
robot_000,129,9001,254.385,1.0,0.1061,eval,254.385,104.0,1.0
robot_000,130,10001,266.94,1.0,0.094,eval,266.94,106.7,1.0
