round,train_loss,mean_reward,success_rate,policy_entropy,cpu_usage,gpu_usage,network_mb,train_time,total_latency
1,14.940745,18.3617,0.0,0.9997,10.0,0.0,13.314,0.0,151.25
2,2.026929,39.1259,0.0,0.7432,40.89,0.0,11.558,0.0,14.34
3,5.519636,129.6994,0.0,0.5623,40.92,0.0,11.496,0.0,14.53
4,10.077557,184.6852,0.0,0.4326,40.94,0.0,11.546,0.0,14.4
5,14.156662,210.4547,0.0,0.3336,41.06,0.0,11.488,0.0,14.36
6,17.337155,215.0414,0.0,0.2568,40.99,0.0,11.576,0.0,14.32
7,19.604986,231.5857,0.0,0.1992,41.05,0.0,11.507,0.0,14.37
8,21.62341,250.6843,0.0,0.1568,41.04,0.0,11.562,0.0,14.37
9,22.87109,251.0574,0.0,0.1258,41.01,0.0,11.507,0.0,14.34
10,24.085977,254.2661,0.0,0.1038,40.98,0.0,11.525,0.0,14.35
11,25.155262,255.2713,0.0,0.0884,40.97,0.0,11.532,0.0,14.32
12,26.508951,256.5801,0.0,0.079,40.87,0.0,11.547,0.0,14.33
13,27.530151,256.7399,0.0,0.0753,40.88,0.0,11.561,0.0,14.4
14,28.303682,261.0085,0.0,0.0749,40.92,0.0,11.555,0.0,14.36
15,28.499881,268.4158,0.0,0.0742,40.86,0.0,11.589,0.0,14.34
16,28.742179,264.8117,0.0,0.0739,41.12,0.0,11.573,0.0,14.33
17,29.075273,274.4314,0.0,0.0738,41.18,0.0,11.59,0.0,14.27
18,28.554062,278.4655,0.0,0.0726,41.36,0.0,11.594,0.0,13.06
19,28.531871,269.6451,0.0,0.0738,41.38,0.0,11.446,0.0,13.16
20,28.151815,278.2365,0.0,0.0738,41.08,0.0,11.618,0.0,14.45
21,27.300387,298.1461,0.0,0.0728,41.0,0.0,11.628,0.0,14.51
22,26.842353,294.8449,0.0,0.0721,41.07,0.0,11.641,0.0,14.44
23,26.990246,285.3743,0.0,0.0733,41.08,0.0,11.651,0.0,14.47
24,26.46158,307.013,0.0,0.0731,41.12,0.0,11.646,0.0,14.51
25,26.131852,297.1768,0.0,0.0732,41.37,0.0,11.653,0.0,13.09
26,27.583753,320.7827,0.0,0.0722,41.39,0.0,11.672,0.0,13.13
27,26.941764,326.9804,0.0,0.0727,41.47,0.0,11.676,0.0,13.11
28,26.235619,316.5584,0.0,0.0729,41.46,0.0,11.695,0.0,13.11
29,25.802171,340.6974,0.0,0.0727,41.49,0.0,11.698,0.0,13.09
30,24.939047,355.4582,0.0,0.0734,32.23,0.0,12.257,0.0,38.55
31,25.09433,346.9137,0.0,0.075,32.23,0.0,12.509,0.0,36.78
32,24.341434,391.6118,0.0,0.0767,31.92,0.0,12.228,0.0,38.99
33,24.226126,403.8634,0.0,0.0769,31.79,0.0,12.553,0.0,38.96
34,23.555257,419.4001,0.0,0.0751,32.34,0.0,12.575,0.0,37.54
35,22.98847,406.8967,0.0,0.0746,40.98,0.0,11.755,0.0,14.43
36,23.065433,395.3199,0.0,0.0732,40.97,0.0,11.76,0.0,14.36
37,22.861254,445.0202,0.0,0.073,40.88,0.0,11.435,0.0,14.46
38,22.583653,467.2946,0.0,0.073,41.12,0.0,11.429,0.0,14.4
39,22.534795,459.6706,0.0,0.0731,40.91,0.0,11.799,0.0,14.4
40,22.612891,466.8566,0.0,0.0724,40.9,0.0,11.802,0.0,14.41
41,22.042828,442.7656,0.0,0.0711,40.9,0.0,11.814,0.0,14.39
42,22.040892,471.6269,0.0,0.0695,40.84,0.0,11.944,0.0,14.38
43,22.31164,449.997,0.0,0.0698,41.08,0.0,11.839,0.0,14.34
44,21.189368,485.6813,0.0,0.07,41.01,0.0,11.87,0.0,14.46
45,21.473568,471.3022,0.0,0.0698,40.85,0.0,11.843,0.0,14.34
46,21.202791,469.2298,0.0,0.0698,41.07,0.0,11.843,0.0,14.28
47,20.567485,472.1851,0.0,0.0695,41.15,0.0,11.862,0.0,14.34
48,21.15373,506.2712,0.0,0.0697,40.94,0.0,11.87,0.0,14.38
49,20.604354,561.6859,0.0,0.0678,40.95,0.0,11.877,0.0,14.28
50,19.963713,551.821,0.0,0.0677,41.02,0.0,11.885,0.0,14.35
51,19.708581,574.9579,0.0,0.0681,40.94,0.0,11.908,0.0,14.39
52,19.445346,562.8507,0.0,0.0669,40.75,0.0,11.909,0.0,14.47
53,20.400207,580.4163,0.0,0.0667,40.89,0.0,11.921,0.0,14.43
54,20.748082,543.4647,0.0,0.0679,40.91,0.0,11.934,0.0,14.42
55,20.833637,587.0634,0.0,0.0682,40.94,0.0,11.938,0.0,14.46
56,20.450375,581.8485,0.0,0.0678,40.96,0.0,11.945,0.0,14.42
57,20.8955,573.6581,0.0,0.0681,41.02,0.0,11.947,0.0,14.39
58,21.818436,625.9893,0.0,0.0688,41.01,0.0,11.975,0.0,14.56
59,21.951043,582.2086,0.0,0.0689,40.94,0.0,11.965,0.0,14.43
60,21.490668,698.5023,0.0,0.0689,32.26,0.0,12.773,0.0,36.34
61,21.676622,631.1553,0.0,0.0693,32.22,0.0,12.926,0.0,38.72
62,21.914723,668.7041,0.0,0.0681,32.27,0.0,13.338,0.0,38.64
63,21.616757,622.1659,0.0,0.0682,32.19,0.0,12.803,0.0,37.26
64,22.042093,707.5626,0.0,0.0678,32.51,0.0,13.405,0.0,37.11
65,21.503872,680.8199,0.0,0.0689,40.86,0.0,12.014,0.0,14.81
66,21.314731,677.5366,0.0,0.069,40.86,0.0,12.039,0.0,14.43
67,21.605245,709.0348,0.0,0.0688,41.03,0.0,12.047,0.0,14.35
