round,cpu_usage,gpu_usage
1,20.0,0.0
2,40.9,0.0
3,42.48,0.0
4,69.13,0.0
5,69.09,0.0
6,69.55,0.0
7,69.58,0.0
8,68.72,0.0
9,69.65,0.0
10,69.52,0.0
11,69.66,0.0
12,69.39,0.0
13,69.76,0.0
14,69.2,0.0
15,69.06,0.0
16,66.2,0.0
17,69.47,0.0
18,69.68,0.0
19,67.52,0.0
20,68.44,0.0
21,69.09,0.0
22,69.34,0.0
23,68.76,0.0
24,67.54,0.0
25,68.71,0.0
26,69.07,0.0
27,69.4,0.0
28,67.72,0.0
29,67.05,0.0
30,64.69,0.0
31,64.11,0.0
32,67.72,0.0
33,64.58,0.0
34,65.18,0.0
35,69.67,0.0
36,69.5,0.0
37,69.53,0.0
38,69.54,0.0
39,69.31,0.0
40,69.37,0.0
41,68.8,0.0
42,67.14,0.0
43,59.19,0.0
44,56.73,0.0
45,52.56,0.0
46,49.15,0.0
47,48.65,0.0
48,42.82,0.0
49,40.66,0.0
50,40.63,0.0
51,40.61,0.0
52,40.94,0.0
53,40.67,0.0
54,41.03,0.0
55,40.92,0.0
56,41.04,0.0
57,41.19,0.0
58,41.11,0.0
59,40.96,0.0
60,39.44,0.0
61,38.95,0.0
62,39.19,0.0
63,55.09,0.0
64,65.46,0.0
65,68.56,0.0
66,67.76,0.0
67,67.9,0.0
68,67.23,0.0
69,68.47,0.0
70,68.6,0.0
71,68.49,0.0
72,69.19,0.0
73,69.27,0.0
74,67.98,0.0
75,65.75,0.0
76,68.4,0.0
77,67.98,0.0
78,67.93,0.0
79,68.51,0.0
80,67.56,0.0
81,68.44,0.0
82,67.11,0.0
83,67.05,0.0
84,68.9,0.0
85,67.48,0.0
86,67.92,0.0
87,67.08,0.0
88,69.66,0.0
89,69.15,0.0
90,64.41,0.0
91,65.48,0.0
92,64.21,0.0
93,64.89,0.0
94,65.09,0.0
95,69.05,0.0
96,69.22,0.0
97,69.29,0.0
98,69.06,0.0
99,69.05,0.0
100,66.06,0.0
101,63.52,0.0
102,54.12,0.0
103,42.41,0.0
104,41.03,0.0
105,41.33,0.0
106,40.86,0.0
107,40.86,0.0
108,40.91,0.0
109,40.38,0.0
110,40.78,0.0
111,40.77,0.0
112,40.7,0.0
113,40.95,0.0
114,41.05,0.0
115,40.66,0.0
116,40.99,0.0
117,41.04,0.0
118,40.88,0.0
119,41.01,0.0
120,39.68,0.0
121,38.84,0.0
122,39.85,0.0
123,49.07,0.0
124,64.59,0.0
125,68.03,0.0
126,67.91,0.0
127,67.5,0.0
128,66.06,0.0
129,67.44,0.0
130,67.13,0.0
131,65.84,0.0
132,66.67,0.0
133,67.16,0.0
134,65.36,0.0
135,65.0,0.0
136,66.58,0.0
137,64.57,0.0
138,67.48,0.0
139,66.28,0.0
140,64.66,0.0
141,64.58,0.0
142,62.58,0.0
143,63.83,0.0
144,62.59,0.0
145,65.78,0.0
146,66.19,0.0
147,67.75,0.0
148,68.24,0.0
149,66.9,0.0
150,64.6,0.0
