round,total_latency,train_time
1,151.25,0.0
2,14.34,0.0
3,14.53,0.0
4,14.4,0.0
5,14.36,0.0
6,14.32,0.0
7,14.37,0.0
8,14.37,0.0
9,14.34,0.0
10,14.35,0.0
11,14.32,0.0
12,14.33,0.0
13,14.4,0.0
14,14.36,0.0
15,14.34,0.0
16,14.33,0.0
17,14.27,0.0
18,13.06,0.0
19,13.16,0.0
20,14.45,0.0
21,14.51,0.0
22,14.44,0.0
23,14.47,0.0
24,14.51,0.0
25,13.09,0.0
26,13.13,0.0
27,13.11,0.0
28,13.11,0.0
29,13.09,0.0
30,38.55,0.0
31,36.78,0.0
32,38.99,0.0
33,38.96,0.0
34,37.54,0.0
35,14.43,0.0
36,14.36,0.0
37,14.46,0.0
38,14.4,0.0
39,14.4,0.0
40,14.41,0.0
41,14.39,0.0
42,14.38,0.0
43,14.34,0.0
44,14.46,0.0
45,14.34,0.0
46,14.28,0.0
47,14.34,0.0
48,14.38,0.0
49,14.28,0.0
50,14.35,0.0
51,14.39,0.0
52,14.47,0.0
53,14.43,0.0
54,14.42,0.0
55,14.46,0.0
56,14.42,0.0
57,14.39,0.0
58,14.56,0.0
59,14.43,0.0
60,36.34,0.0
61,38.72,0.0
62,38.64,0.0
63,37.26,0.0
64,37.11,0.0
65,14.81,0.0
66,14.43,0.0
67,14.35,0.0
68,14.52,0.0
69,14.55,0.0
70,14.44,0.0
71,14.45,0.0
72,14.41,0.0
73,14.59,0.0
74,14.36,0.0
75,14.45,0.0
76,14.8,0.0
77,14.89,0.0
78,14.55,0.0
79,14.64,0.0
80,14.6,0.0
81,14.66,0.0
82,14.55,0.0
83,14.57,0.0
84,14.6,0.0
85,13.82,0.0
86,14.49,0.0
87,14.5,0.0
88,14.48,0.0
89,14.49,0.0
90,66.2,0.0
91,44.01,0.0
92,66.91,0.0
93,63.31,0.0
94,151.08,0.0
95,14.71,0.0
96,14.96,0.0
97,14.74,0.0
98,14.62,0.0
99,14.45,0.0
100,14.59,0.0
101,14.7,0.0
102,14.65,0.0
103,14.71,0.0
104,14.82,0.0
105,14.65,0.0
106,14.59,0.0
107,16.25,0.0
108,14.94,0.0
109,14.76,0.0
110,14.68,0.0
111,14.63,0.0
112,16.8,0.0
113,14.66,0.0
114,14.78,0.0
115,14.11,0.0
116,13.97,0.0
117,14.91,0.0
118,14.57,0.0
119,14.67,0.0
120,105.84,0.0
121,138.37,0.0
122,113.51,0.0
123,92.98,0.0
124,121.85,0.0
125,28.28,0.0
126,31.83,0.0
127,31.93,0.0
128,28.81,0.0
129,34.4,0.0
130,31.62,0.0
131,32.57,0.0
132,26.5,0.0
133,23.08,0.0
134,25.54,0.0
135,30.71,0.0
136,33.41,0.0
137,31.24,0.0
138,34.68,0.0
139,28.19,0.0
140,82.67,0.0
141,49.69,0.0
142,42.95,0.0
143,42.95,0.0
144,98.12,0.0
145,36.76,0.0
146,34.35,0.0
147,27.48,0.0
148,33.92,0.0
149,30.84,0.0
150,23.67,0.0
