round,network_mb
1,13.314
2,11.558
3,11.496
4,11.546
5,11.488
6,11.576
7,11.507
8,11.562
9,11.507
10,11.525
11,11.532
12,11.547
13,11.561
14,11.555
15,11.589
16,11.573
17,11.59
18,11.594
19,11.446
20,11.618
21,11.628
22,11.641
23,11.651
24,11.646
25,11.653
26,11.672
27,11.676
28,11.695
29,11.698
30,12.257
31,12.509
32,12.228
33,12.553
34,12.575
35,11.755
36,11.76
37,11.435
38,11.429
39,11.799
40,11.802
41,11.814
42,11.944
43,11.839
44,11.87
45,11.843
46,11.843
47,11.862
48,11.87
49,11.877
50,11.885
51,11.908
52,11.909
53,11.921
54,11.934
55,11.938
56,11.945
57,11.947
58,11.975
59,11.965
60,12.773
61,12.926
62,13.338
63,12.803
64,13.405
65,12.014
66,12.039
67,12.047
68,12.063
69,12.059
70,12.071
71,12.077
72,12.088
73,12.113
74,12.115
75,12.287
76,12.124
77,12.142
78,12.13
79,12.141
80,12.128
81,12.132
82,12.13
83,12.136
84,12.13
85,12.134
86,12.13
87,12.138
88,12.124
89,12.145
90,14.509
91,13.964
92,15.175
93,14.49
94,19.553
95,12.115
96,12.132
97,12.125
98,12.139
99,11.424
100,12.149
101,12.122
102,12.143
103,12.125
104,12.133
105,12.14
106,12.143
107,12.358
108,12.132
109,12.13
110,12.163
111,12.129
112,12.334
113,12.135
114,12.143
115,12.134
116,12.131
117,12.143
118,12.136
119,12.135
120,16.737
121,18.382
122,17.445
123,15.986
124,29.321
125,12.832
126,12.824
127,12.837
128,12.129
129,12.849
130,12.832
131,12.836
132,12.824
133,12.123
134,12.133
135,13.534
136,12.835
137,12.837
138,12.839
139,12.826
140,16.172
141,13.783
142,13.089
143,13.774
144,16.182
145,12.91
146,13.602
147,12.918
148,12.841
149,12.835
150,12.131
