condition,robot_id,migration_event_id,timestamp,fl_round,src_node,dst_node,trigger_to_dump_ms,dump_to_transfer_ms,transfer_to_restore_ms,policy_load_ms,downtime_ms,total_MTT_ms,success_rate_pre,success_rate_post,regression_pct,fl_rounds_to_recover,replay_buffer_entries_restored,gpu_util_pre_migration,gpu_util_during_migration,gpu_util_post_migration,cpu_util_pre_migration,cpu_util_during_migration,cpu_util_post_migration,network_bytes_transferred,checkpoint_size_mb,checkpoint_mode,throughput_post_60s,recovery_tasks_to_pre,background_bandwidth_mb,concurrency_level,fault_injected,retry_count,total_recovery_ms,policy_action_mse,policy_weight_l2,dht_put_ms,dht_get_ms
dht_frl,robot_005,1,1783917494.8950355,30,n008.cluster.pssclabs.com,n016.cluster.pssclabs.com,0.49137603491544724,5143.474843353033,0,64.5,5207.986518412828,5993.314139544964,1.0,-1,-1,-1,29000,0,0,0,0,0,0,6242913,5.958,dht_bundle,0,-1,0,4,0,0,0,0.0,0.0,3.92,0.012
dht_frl,robot_000,2,1783917494.9126499,30,n008.cluster.pssclabs.com,n016.cluster.pssclabs.com,0.35159382969141006,5174.854350276291,0,71.13,5246.006131117344,5995.968358591199,1.0,-1,-1,-1,29000,0,0,0,0,0,0,6242913,5.958,dht_bundle,0,-1,0,3,0,0,0,0.0,0.0,4.305,0.022
dht_frl,robot_010,3,1783917497.123421,30,n016.cluster.pssclabs.com,n008.cluster.pssclabs.com,0.9935237467288971,6505.935247987509,0,10.27,6516.2186376121645,8724.499576725066,1.0,-1,-1,-1,29000,0,0,0,0,0,0,6242914,5.958,dht_bundle,0,-1,0,2,0,0,0,0.0,0.0,3.893,0.013
dht_frl,robot_015,4,1783917497.44139,30,n016.cluster.pssclabs.com,n008.cluster.pssclabs.com,0.47951284795999527,6500.848984345794,0,12.26,6513.132543081641,9043.081262148917,1.0,-1,-1,-1,29000,0,0,0,0,0,0,6242912,5.958,dht_bundle,0,-1,0,1,0,0,0,0.0,0.0,4.294,0.024
dht_frl,robot_001,5,1783917522.336166,31,n008.cluster.pssclabs.com,n016.cluster.pssclabs.com,0.34628715366125107,5668.363901786506,0,74.95,5743.325569395721,6408.897158689797,1.0,-1,-1,-1,30000,0,0,0,0,0,0,6350912,6.061,dht_bundle,0,-1,0,3,0,0,0,0.0,0.0,5.716,0.012
dht_frl,robot_006,6,1783917522.7530317,31,n008.cluster.pssclabs.com,n016.cluster.pssclabs.com,0.2396516501903534,5261.4374393597245,0,30.33,5291.787709595561,6324.842710979283,1.0,-1,-1,-1,30000,0,0,0,0,0,0,6350910,6.061,dht_bundle,0,-1,0,4,0,0,0,0.0,0.0,2.209,0.02
dht_frl,robot_011,7,1783917524.0014765,31,n016.cluster.pssclabs.com,n008.cluster.pssclabs.com,0.35458803176879883,6330.272192135453,0,9.87,6340.161780643165,8075.070483610034,1.0,-1,-1,-1,30000,0,0,0,0,0,0,6350910,6.061,dht_bundle,0,-1,0,2,0,0,0,0.0,0.0,5.88,0.02
dht_frl,robot_016,8,1783917527.5430164,31,n016.cluster.pssclabs.com,n008.cluster.pssclabs.com,0.4602381959557533,7089.658867567778,0,12.33,7102.009542928934,11617.153787054121,1.0,-1,-1,-1,30000,0,0,0,0,0,0,6350911,6.061,dht_bundle,0,-1,0,1,0,0,0,0.0,0.0,6.254,0.021
dht_frl,robot_007,9,1783917544.1715212,32,n008.cluster.pssclabs.com,n016.cluster.pssclabs.com,0.8404022082686424,2016.591721214354,0,17.89,2034.5026862168313,2719.946041703224,1.0,-1,-1,-1,31000,0,0,0,0,0,0,6458911,6.164,dht_bundle,0,-1,0,3,0,0,0,0.0,0.0,4.402,0.021
dht_frl,robot_002,10,1783917544.949239,32,n008.cluster.pssclabs.com,n016.cluster.pssclabs.com,0.5323048681020737,2160.150150768459,0,80.93,2241.090764120519,3496.7290544882417,1.0,-1,-1,-1,31000,0,0,0,0,0,0,6458911,6.164,dht_bundle,0,-1,0,4,0,0,0,0.0,0.0,4.024,0.011
dht_frl,robot_017,11,1783917546.1715796,32,n016.cluster.pssclabs.com,n008.cluster.pssclabs.com,0.3880718722939491,3132.1667414158583,0,18.94,3151.128697345555,5221.546231769025,1.0,-1,-1,-1,31000,0,0,0,0,0,0,6458911,6.164,dht_bundle,0,-1,0,1,0,0,0,0.0,0.0,4.125,0.022
dht_frl,robot_012,12,1783917546.654215,32,n016.cluster.pssclabs.com,n008.cluster.pssclabs.com,0.3767935559153557,3197.5845638662577,0,11.07,3208.667896680236,5703.5620249807835,1.0,-1,-1,-1,31000,0,0,0,0,0,0,6458910,6.164,dht_bundle,0,-1,0,2,0,0,0,0.0,0.0,3.797,0.013
dht_frl,robot_008,13,1783917577.1272993,33,n008.cluster.pssclabs.com,n016.cluster.pssclabs.com,0.4014754667878151,5960.343600250781,0,41.0,6001.364344529808,7649.609351530671,1.0,-1,-1,-1,32000,0,0,0,0,0,0,6566911,6.267,dht_bundle,0,-1,0,1,0,0,0,0.0,0.0,8.793,0.021
dht_frl,robot_003,14,1783917577.1469364,33,n008.cluster.pssclabs.com,n016.cluster.pssclabs.com,0.6736433133482933,5977.273310534656,0,29.56,6006.852755618692,7668.7650214880705,1.0,-1,-1,-1,32000,0,0,0,0,0,0,6566911,6.267,dht_bundle,0,-1,0,2,0,0,0,0.0,0.0,8.202,0.019
dht_frl,robot_018,15,1783917582.97484,33,n016.cluster.pssclabs.com,n008.cluster.pssclabs.com,0.4039360210299492,7258.103187195957,0,13.84,7271.953914169371,13494.442570023239,1.0,-1,-1,-1,32000,0,0,0,0,0,0,6566911,6.267,dht_bundle,0,-1,0,4,0,0,0,0.0,0.0,6.8,0.011
