robot_id,fl_round,training_step,reward,success_rate_rolling10,policy_entropy,status,eval_return,eval_episode_len,eval_success
robot_000,1,1,20.957,0.0,0.9997,eval,20.957,26.0,0.0
robot_000,2,1001,64.774,0.0,0.7433,eval,64.774,39.7,0.0
robot_000,3,2001,183.931,0.0,0.5619,eval,183.931,88.0,0.0
robot_000,4,3001,187.361,0.0,0.432,eval,187.361,86.3,0.0
robot_000,5,4001,202.349,0.0,0.3328,eval,202.349,90.3,0.0
robot_000,6,5001,222.118,0.0,0.2548,eval,222.118,97.0,0.0
robot_000,7,6001,225.841,0.0,0.1961,eval,225.841,97.7,0.0
robot_000,8,7001,247.991,0.0,0.153,eval,247.991,104.3,0.0
robot_000,9,8001,254.475,1.0,0.1215,eval,254.475,106.3,1.0
robot_000,10,9001,253.582,1.0,0.0989,eval,253.582,105.7,1.0
robot_000,11,10001,249.148,0.3333333333333333,0.0813,eval,249.148,104.7,0.3333333333333333
robot_000,12,11001,264.474,1.0,0.0701,eval,264.474,109.7,1.0
robot_000,13,12001,261.212,1.0,0.0588,eval,261.212,108.3,1.0
robot_000,14,13001,253.614,1.0,0.0564,eval,253.614,105.3,1.0
robot_000,15,14001,259.44,1.0,0.0504,eval,259.44,107.3,1.0
robot_000,16,15001,262.1,1.0,0.0446,eval,262.1,107.7,1.0
robot_000,17,16001,297.292,1.0,0.0458,eval,297.292,117.3,1.0
robot_000,18,17001,331.922,1.0,0.0449,eval,331.922,124.0,1.0
robot_000,19,18001,336.711,1.0,0.0518,eval,336.711,125.7,1.0
robot_000,20,19001,349.925,1.0,0.0472,eval,349.925,129.7,1.0
robot_000,21,20001,345.69,1.0,0.0478,eval,345.69,131.7,1.0
robot_000,22,21001,372.256,1.0,0.0409,eval,372.256,140.0,1.0
robot_000,23,22001,388.512,1.0,0.0475,eval,388.512,146.3,1.0
robot_000,24,23001,409.059,1.0,0.0444,eval,409.059,154.7,1.0
robot_000,25,24001,387.855,1.0,0.0417,eval,387.855,150.0,1.0
robot_000,26,25001,386.852,1.0,0.0442,eval,386.852,148.0,1.0
robot_000,27,26001,420.657,1.0,0.0423,eval,420.657,156.3,1.0
robot_000,28,27001,405.622,1.0,0.0461,eval,405.622,150.3,1.0
robot_000,29,28001,398.449,1.0,0.0515,eval,398.449,149.0,1.0
robot_000,30,29001,410.049,1.0,0.0595,eval,410.049,148.3,1.0
robot_000,31,30001,436.907,1.0,0.0582,eval,436.907,155.0,1.0
robot_000,32,31001,406.419,1.0,0.0622,eval,406.419,149.7,1.0
robot_000,33,32001,420.033,1.0,0.0596,eval,420.033,152.7,1.0
robot_000,34,33001,423.716,1.0,0.0518,eval,423.716,156.7,1.0
robot_000,35,34001,417.601,1.0,0.0518,eval,417.601,155.0,1.0
robot_000,36,35001,466.856,1.0,0.0539,eval,466.856,167.7,1.0
robot_000,37,36001,514.325,1.0,0.0539,eval,514.325,175.3,1.0
robot_000,38,37001,490.979,1.0,0.0496,eval,490.979,170.0,1.0
robot_000,39,38001,550.307,1.0,0.0516,eval,550.307,185.3,1.0
robot_000,40,39001,553.257,1.0,0.0482,eval,553.257,187.0,1.0
robot_000,41,40001,602.124,1.0,0.0484,eval,602.124,197.3,1.0
robot_000,42,41001,571.423,1.0,0.0465,eval,571.423,188.0,1.0
robot_000,43,42001,600.569,1.0,0.0454,eval,600.569,194.3,1.0
robot_000,44,43001,613.314,1.0,0.0454,eval,613.314,197.0,1.0
robot_000,45,44001,630.842,1.0,0.0475,eval,630.842,204.7,1.0
robot_000,46,45001,640.094,1.0,0.0486,eval,640.094,205.3,1.0
robot_000,47,46001,652.528,1.0,0.0571,eval,652.528,207.7,1.0
robot_000,48,47001,658.714,1.0,0.0581,eval,658.714,210.3,1.0
robot_000,49,48001,694.699,1.0,0.0522,eval,694.699,224.0,1.0
robot_000,50,49001,685.664,1.0,0.0598,eval,685.664,224.0,1.0
robot_000,51,50001,743.693,1.0,0.066,eval,743.693,242.7,1.0
robot_000,52,51001,762.611,1.0,0.0624,eval,762.611,240.7,1.0
robot_000,53,52001,735.218,1.0,0.0574,eval,735.218,232.3,1.0
robot_000,54,53001,709.6,1.0,0.0576,eval,709.6,224.7,1.0
robot_000,55,54001,694.81,1.0,0.0564,eval,694.81,220.0,1.0
robot_000,56,55001,734.37,1.0,0.0576,eval,734.37,230.0,1.0
robot_000,57,56001,751.783,1.0,0.0617,eval,751.783,233.3,1.0
robot_000,58,57001,833.364,1.0,0.0553,eval,833.364,259.0,1.0
robot_000,59,58001,865.911,1.0,0.0526,eval,865.911,270.0,1.0
robot_000,60,59001,797.807,1.0,0.048,eval,797.807,252.7,1.0
robot_000,61,60001,891.093,1.0,0.0446,eval,891.093,276.0,1.0
robot_000,62,61001,844.101,1.0,0.046,eval,844.101,264.7,1.0
robot_000,63,62001,820.398,1.0,0.0478,eval,820.398,257.7,1.0
robot_000,64,63001,811.164,1.0,0.0478,eval,811.164,252.7,1.0
robot_000,65,64001,841.842,1.0,0.046,eval,841.842,262.0,1.0
robot_000,66,65001,848.835,1.0,0.0467,eval,848.835,262.7,1.0
robot_000,67,66001,880.11,1.0,0.0454,eval,880.11,272.0,1.0
robot_000,68,67001,864.023,1.0,0.0488,eval,864.023,264.3,1.0
robot_000,69,68001,882.628,1.0,0.0515,eval,882.628,268.7,1.0
robot_000,70,69001,965.001,1.0,0.0536,eval,965.001,296.7,1.0
robot_000,71,70001,900.428,1.0,0.0524,eval,900.428,277.7,1.0
robot_000,72,71001,1038.625,1.0,0.0478,eval,1038.625,316.3,1.0
robot_000,73,72001,934.458,1.0,0.0468,eval,934.458,285.3,1.0
robot_000,74,73001,963.66,1.0,0.0495,eval,963.66,295.0,1.0
robot_000,75,74001,1008.874,1.0,0.0487,eval,1008.874,307.0,1.0
robot_000,76,75001,978.718,1.0,0.0484,eval,978.718,296.0,1.0
robot_000,77,76001,973.125,1.0,0.0484,eval,973.125,297.0,1.0
robot_000,78,77001,1004.016,1.0,0.0487,eval,1004.016,306.3,1.0
robot_000,79,78001,1008.986,1.0,0.0491,eval,1008.986,305.7,1.0
robot_000,80,79001,1025.114,1.0,0.05,eval,1025.114,312.0,1.0
robot_000,81,80001,1012.412,1.0,0.0501,eval,1012.412,308.7,1.0
robot_000,82,81001,1093.265,1.0,0.0526,eval,1093.265,331.7,1.0
robot_000,83,82001,1071.728,1.0,0.0515,eval,1071.728,324.7,1.0
robot_000,84,83001,1108.296,1.0,0.0523,eval,1108.296,333.0,1.0
robot_000,85,84001,1063.129,1.0,0.0525,eval,1063.129,321.0,1.0
robot_000,86,85001,1175.383,1.0,0.0514,eval,1175.383,350.0,1.0
robot_000,87,86001,1038.249,1.0,0.0511,eval,1038.249,314.3,1.0
robot_000,88,87001,1035.415,1.0,0.0512,eval,1035.415,313.7,1.0
robot_000,89,88001,1019.781,1.0,0.0513,eval,1019.781,309.0,1.0
robot_000,90,89001,1389.264,1.0,0.0508,eval,1389.264,414.0,1.0
robot_000,91,90001,1357.752,1.0,0.0498,eval,1357.752,407.0,1.0
robot_000,92,91001,1356.811,1.0,0.0498,eval,1356.811,405.7,1.0
robot_000,93,92001,1156.327,1.0,0.0485,eval,1156.327,343.7,1.0
robot_000,94,93001,1111.596,1.0,0.0483,eval,1111.596,332.3,1.0
robot_000,95,94001,1189.381,1.0,0.0484,eval,1189.381,352.7,1.0
robot_000,96,95001,1243.115,1.0,0.0489,eval,1243.115,371.7,1.0
robot_000,97,96001,1442.978,1.0,0.0492,eval,1442.978,429.7,1.0
robot_000,98,97001,1776.528,1.0,0.0517,eval,1776.528,529.0,1.0
robot_000,99,98001,1641.841,1.0,0.0516,eval,1641.841,486.0,1.0
robot_000,100,99001,1427.897,1.0,0.0513,eval,1427.897,425.7,1.0
robot_000,101,100001,1234.15,1.0,0.0483,eval,1234.15,370.3,1.0
robot_000,102,101001,1228.12,1.0,0.0491,eval,1228.12,366.3,1.0
robot_000,103,102001,1313.931,1.0,0.0502,eval,1313.931,391.0,1.0
robot_000,104,103001,1307.001,1.0,0.0504,eval,1307.001,388.0,1.0
robot_000,105,104001,1531.032,1.0,0.0515,eval,1531.032,454.7,1.0
robot_000,106,105001,1733.26,1.0,0.0532,eval,1733.26,511.0,1.0
robot_000,107,106001,1725.202,1.0,0.0541,eval,1725.202,509.3,1.0
robot_000,108,107001,1797.936,1.0,0.0531,eval,1797.936,529.0,1.0
robot_000,109,108001,1306.594,1.0,0.052,eval,1306.594,387.7,1.0
robot_000,110,109001,1483.231,1.0,0.0492,eval,1483.231,439.0,1.0
robot_000,111,110001,1801.88,1.0,0.0502,eval,1801.88,528.3,1.0
robot_000,112,111001,1519.411,1.0,0.05,eval,1519.411,450.0,1.0
robot_000,113,112001,1636.046,1.0,0.0493,eval,1636.046,484.3,1.0
