round,train_loss,mean_reward,success_rate,policy_entropy,cpu_usage,gpu_usage,network_mb,train_time,total_latency
1,14.963844,18.3712,0.0,0.9997,3.33,0.0,130.664,0.0,182.98
2,2.019375,36.4371,0.0,0.7431,69.96,0.0,26.147,0.0,28.86
3,5.506632,117.3086,0.0,0.5626,70.2,0.0,26.108,0.0,28.34
4,10.190572,184.497,0.0,0.4334,70.97,0.0,25.01,0.0,26.18
5,14.35419,202.1324,0.0,0.3337,69.27,0.0,26.701,0.0,29.23
6,16.747468,214.1911,0.0,0.2563,70.8,0.0,26.841,0.0,29.23
7,18.586542,224.4021,0.0,0.1977,70.97,0.0,27.968,0.0,30.47
8,19.895772,242.0224,0.0,0.1549,69.27,0.0,29.937,0.0,33.42
9,20.705855,243.7226,0.0,0.1228,71.1,0.0,29.959,0.0,33.2
10,21.417282,236.6787,0.0,0.1004,70.95,0.0,28.968,0.0,31.81
11,21.9748,234.124,0.0,0.0838,68.53,0.0,21.611,0.0,21.37
12,22.484967,234.3729,0.0,0.0744,70.73,0.0,23.724,0.0,24.67
13,22.639742,237.8878,0.0,0.0688,71.21,0.0,23.167,0.0,23.58
14,22.467847,246.2537,0.0,0.0656,71.12,0.0,28.469,0.0,30.88
15,22.105272,246.9017,0.0,0.0637,71.19,0.0,29.772,0.0,32.63
16,21.850387,257.103,0.0,0.0647,71.09,0.0,31.507,0.0,35.38
17,22.855486,261.8621,0.0,0.0652,71.03,0.0,35.8,0.0,41.62
18,23.005793,270.039,0.0,0.0658,70.9,0.0,28.728,0.0,31.89
19,22.291276,283.1807,0.0,0.0655,70.91,0.0,27.026,0.0,28.83
20,22.029174,269.1694,0.0,0.0671,71.2,0.0,29.008,0.0,31.68
21,21.59838,269.3289,0.0,0.0672,71.24,0.0,28.073,0.0,30.36
22,20.766965,292.0574,0.0,0.0665,71.09,0.0,27.975,0.0,30.86
23,20.991287,292.6712,0.0,0.0654,70.52,0.0,27.997,0.0,30.06
24,20.690169,304.2738,0.0,0.0649,70.99,0.0,25.427,0.0,26.75
25,20.578385,300.8305,0.0,0.0638,70.81,0.0,26.148,0.0,27.39
26,20.366998,307.028,0.0,0.0639,70.63,0.0,29.008,0.0,31.88
27,21.059704,321.5891,0.0,0.0646,70.32,0.0,27.662,0.0,30.02
28,22.240099,290.1449,0.0,0.0652,71.12,0.0,29.22,0.0,31.66
29,21.947007,314.7039,0.0,0.0671,71.09,0.0,27.029,0.0,28.62
30,21.707114,309.0619,0.0,0.0662,67.47,0.0,29.954,0.0,36.48
31,21.623764,294.2567,0.0,0.0646,63.59,0.0,77.511,0.0,107.2
32,21.295928,310.4533,0.0,0.0636,68.42,0.0,30.341,0.0,36.11
33,21.019178,310.6577,0.0,0.0633,67.66,0.0,24.901,0.0,25.74
34,20.53961,333.2505,0.0,0.0634,66.96,0.0,19.23,0.0,17.99
35,20.627634,344.5351,0.0,0.0625,68.2,0.0,18.669,0.0,16.49
36,20.748332,343.8681,0.0,0.0632,68.16,0.0,18.647,0.0,16.4
37,20.625283,354.3762,0.0,0.0628,61.28,0.0,18.049,0.0,15.87
38,19.911819,375.9387,0.0,0.0617,53.89,0.0,18.239,0.0,16.07
39,19.423987,370.923,0.0,0.0611,49.39,0.0,17.975,0.0,15.66
40,19.122776,465.5909,0.0,0.0611,43.93,0.0,18.195,0.0,16.42
41,19.036982,399.4925,0.0,0.0603,44.22,0.0,17.932,0.0,15.54
42,19.382831,401.2559,0.0,0.0607,44.48,0.0,18.071,0.0,15.92
43,19.637614,432.3029,0.0,0.0615,44.78,0.0,18.89,0.0,17.04
44,19.76479,420.8853,0.0,0.0612,44.9,0.0,18.468,0.0,16.67
45,19.465052,451.1254,0.0,0.0628,54.76,0.0,18.462,0.0,16.69
46,19.627444,450.8231,0.0,0.0639,71.77,0.0,28.727,0.0,33.32
47,20.365082,414.0426,0.0,0.0637,69.35,0.0,26.408,0.0,31.47
48,20.614901,529.2776,0.0,0.0639,70.66,0.0,30.456,0.0,36.05
49,20.584184,461.5668,0.0,0.0632,72.87,0.0,26.404,0.0,28.37
50,21.147717,478.5937,0.0,0.0626,72.07,0.0,29.191,0.0,32.56
51,21.448889,468.9477,0.0,0.063,72.55,0.0,26.713,0.0,31.29
52,21.545393,489.265,0.0,0.063,70.41,0.0,27.932,0.0,33.08
53,21.725896,508.0305,0.0,0.0642,70.25,0.0,33.705,0.0,37.78
54,22.358912,484.5652,0.0,0.0653,69.85,0.0,34.226,0.0,37.84
55,21.985999,515.4216,0.0,0.066,70.19,0.0,34.378,0.0,38.55
56,22.281248,516.8522,0.0,0.066,70.21,0.0,23.451,0.0,22.84
57,21.712469,550.4323,0.0,0.0639,70.67,0.0,21.942,0.0,21.32
58,21.905453,587.6087,0.0,0.0643,70.37,0.0,23.807,0.0,23.96
59,21.552356,589.7872,0.0,0.0645,69.53,0.0,27.599,0.0,28.84
60,21.993086,554.8242,0.0,0.0652,68.27,0.0,26.515,0.0,32.01
61,21.720401,623.591,0.0,0.0645,66.44,0.0,28.412,0.0,33.83
62,22.403523,628.2513,0.0,0.0642,62.48,0.0,244.17,0.0,368.3
63,22.028407,686.029,0.0,0.0653,62.59,0.0,265.848,0.0,405.34
64,22.199031,605.1944,0.0,0.0663,31.54,0.0,287.634,0.0,425.66
65,21.862495,628.9439,0.0,0.0672,69.05,0.0,28.174,0.0,29.6
66,21.959616,698.8543,0.0,0.0669,68.35,0.0,20.095,0.0,18.88
67,21.928641,676.259,0.0,0.0664,70.05,0.0,23.397,0.0,22.87
68,22.381931,798.8478,0.0,0.0658,70.36,0.0,25.172,0.0,25.38
69,22.244507,779.5127,0.0,0.0654,70.62,0.0,29.949,0.0,32.01
70,22.000863,689.0296,0.0,0.0655,70.22,0.0,30.313,0.0,32.48
71,22.890151,757.5906,0.0,0.0656,70.64,0.0,29.37,0.0,30.93
72,22.86025,787.6222,0.0,0.0659,70.43,0.0,29.697,0.0,31.62
73,23.006647,824.8514,0.0,0.0667,70.19,0.0,31.808,0.0,34.7
74,23.277058,763.6794,0.0,0.0668,70.43,0.0,37.27,0.0,41.45
75,23.240542,765.994,0.0,0.0666,70.54,0.0,32.218,0.0,34.94
76,23.839547,798.354,0.0,0.0667,70.19,0.0,31.419,0.0,34.05
77,23.578893,746.3236,0.0,0.0665,70.75,0.0,28.69,0.0,29.94
78,23.786467,748.3142,0.0,0.0657,70.1,0.0,23.829,0.0,23.97
79,24.255186,686.518,0.0,0.0659,69.31,0.0,22.394,0.0,20.83
80,24.509926,873.2699,0.0,0.0652,70.97,0.0,23.113,0.0,22.81
81,24.037835,1066.2994,0.0,0.0651,70.28,0.0,27.221,0.0,28.1
82,24.253856,1055.1006,0.0,0.0654,70.55,0.0,28.919,0.0,30.36
83,23.469218,1018.0733,0.0,0.065,70.34,0.0,31.398,0.0,32.85
84,23.455861,1041.4397,0.0,0.065,71.12,0.0,29.156,0.0,30.71
85,23.554126,929.8636,0.0,0.0659,70.58,0.0,28.161,0.0,29.0
86,22.655531,989.2748,0.0,0.0661,70.66,0.0,26.476,0.0,26.75
87,22.631925,1021.5664,0.0,0.0658,70.0,0.0,28.489,0.0,29.66
88,23.222215,997.2215,0.0,0.0666,69.84,0.0,31.181,0.0,34.97
89,22.799984,1035.8788,0.0,0.0662,70.12,0.0,46.323,0.0,34.5
90,22.830574,1128.6786,0.0,0.0662,55.34,0.0,287.304,0.0,459.39
91,22.359396,972.2445,0.0,0.0664,69.31,0.0,27.537,0.0,29.27
92,23.469397,1136.6829,0.0,0.0672,66.16,0.0,34.496,0.0,37.27
93,22.416665,1001.266,0.0,0.0667,61.88,0.0,394.584,0.0,533.42
94,23.445276,1024.5643,0.0,0.0662,67.28,0.0,29.884,0.0,35.11
95,23.149709,939.6456,0.0,0.0656,69.43,0.0,28.161,0.0,31.08
96,22.364754,904.4355,0.0,0.0654,68.46,0.0,22.108,0.0,21.29
97,23.032368,1036.1012,0.0,0.0658,69.19,0.0,22.775,0.0,23.59
98,22.303134,1208.7879,0.0,0.0657,70.75,0.0,26.964,0.0,29.1
99,22.811458,1271.3093,0.0,0.0656,70.39,0.0,30.411,0.0,33.03
100,21.731231,1212.0594,0.0,0.0654,70.09,0.0,30.528,0.0,33.23
101,22.602716,1365.6599,0.0,0.0644,69.95,0.0,29.067,0.0,31.03
102,21.283504,1298.8861,0.0,0.0646,69.58,0.0,28.233,0.0,29.77
103,21.314542,1218.6763,0.0,0.0642,69.35,0.0,31.623,0.0,33.4
104,21.097149,1199.5242,0.0,0.0646,68.44,0.0,30.258,0.0,32.75
105,21.384661,1160.6588,0.0,0.0637,69.66,0.0,28.817,0.0,30.77
106,22.368092,1264.1981,0.0,0.0631,69.31,0.0,29.997,0.0,32.17
107,21.358573,1380.8294,0.0,0.0634,69.22,0.0,28.441,0.0,32.18
108,20.850863,1388.711,0.0,0.0636,69.84,0.0,25.486,0.0,27.59
109,22.134853,1271.3096,0.0,0.0638,67.74,0.0,19.462,0.0,18.29
110,21.295814,1236.0554,0.0,0.0636,53.61,0.0,19.019,0.0,17.04
111,21.25548,1234.4426,0.0,0.0631,42.3,0.0,19.642,0.0,17.21
112,21.363015,1431.1148,0.0,0.0626,41.67,0.0,18.875,0.0,17.05
113,20.999941,1330.0931,0.0,0.0623,41.92,0.0,18.275,0.0,15.81
114,21.721597,1383.3944,0.0,0.062,42.08,0.0,18.828,0.0,16.56
115,22.955805,983.6883,0.0,0.0621,41.88,0.0,18.389,0.0,15.78
116,21.827427,1165.0919,0.0,0.0624,41.9,0.0,18.415,0.0,16.12
117,21.699487,1143.2069,0.0,0.0617,42.02,0.0,19.071,0.0,15.77
118,21.831654,1273.2402,0.0,0.0621,41.79,0.0,18.5,0.0,16.31
119,21.900571,1495.7975,0.0,0.0617,42.12,0.0,18.709,0.0,16.71
120,22.231498,1324.5761,0.0,0.062,41.15,0.0,19.291,0.0,17.59
