round,cpu_usage,gpu_usage
1,3.33,0.0
2,69.96,0.0
3,70.2,0.0
4,70.97,0.0
5,69.27,0.0
6,70.8,0.0
7,70.97,0.0
8,69.27,0.0
9,71.1,0.0
10,70.95,0.0
11,68.53,0.0
12,70.73,0.0
13,71.21,0.0
14,71.12,0.0
15,71.19,0.0
16,71.09,0.0
17,71.03,0.0
18,70.9,0.0
19,70.91,0.0
20,71.2,0.0
21,71.24,0.0
22,71.09,0.0
23,70.52,0.0
24,70.99,0.0
25,70.81,0.0
26,70.63,0.0
27,70.32,0.0
28,71.12,0.0
29,71.09,0.0
30,67.47,0.0
31,63.59,0.0
32,68.42,0.0
33,67.66,0.0
34,66.96,0.0
35,68.2,0.0
36,68.16,0.0
37,61.28,0.0
38,53.89,0.0
39,49.39,0.0
40,43.93,0.0
41,44.22,0.0
42,44.48,0.0
43,44.78,0.0
44,44.9,0.0
45,54.76,0.0
46,71.77,0.0
47,69.35,0.0
48,70.66,0.0
49,72.87,0.0
50,72.07,0.0
51,72.55,0.0
52,70.41,0.0
53,70.25,0.0
54,69.85,0.0
55,70.19,0.0
56,70.21,0.0
57,70.67,0.0
58,70.37,0.0
59,69.53,0.0
60,68.27,0.0
61,66.44,0.0
62,62.48,0.0
63,62.59,0.0
64,31.54,0.0
65,69.05,0.0
66,68.35,0.0
67,70.05,0.0
68,70.36,0.0
69,70.62,0.0
70,70.22,0.0
71,70.64,0.0
72,70.43,0.0
73,70.19,0.0
74,70.43,0.0
75,70.54,0.0
76,70.19,0.0
77,70.75,0.0
78,70.1,0.0
79,69.31,0.0
80,70.97,0.0
81,70.28,0.0
82,70.55,0.0
83,70.34,0.0
84,71.12,0.0
85,70.58,0.0
86,70.66,0.0
87,70.0,0.0
88,69.84,0.0
89,70.12,0.0
90,55.34,0.0
91,69.31,0.0
92,66.16,0.0
93,61.88,0.0
94,67.28,0.0
95,69.43,0.0
96,68.46,0.0
97,69.19,0.0
98,70.75,0.0
99,70.39,0.0
100,70.09,0.0
101,69.95,0.0
102,69.58,0.0
103,69.35,0.0
104,68.44,0.0
105,69.66,0.0
106,69.31,0.0
107,69.22,0.0
108,69.84,0.0
109,67.74,0.0
110,53.61,0.0
111,42.3,0.0
112,41.67,0.0
113,41.92,0.0
114,42.08,0.0
115,41.88,0.0
116,41.9,0.0
117,42.02,0.0
118,41.79,0.0
119,42.12,0.0
120,41.15,0.0
121,40.3,0.0
122,40.02,0.0
123,45.28,0.0
124,67.91,0.0
125,68.26,0.0
126,68.56,0.0
127,68.08,0.0
128,68.82,0.0
129,68.45,0.0
130,68.35,0.0
131,69.52,0.0
132,67.64,0.0
133,68.61,0.0
134,65.98,0.0
135,70.31,0.0
136,69.61,0.0
137,69.65,0.0
138,69.82,0.0
139,69.34,0.0
140,66.41,0.0
141,67.09,0.0
142,66.14,0.0
143,68.13,0.0
144,65.29,0.0
145,68.16,0.0
146,70.03,0.0
147,69.22,0.0
148,68.78,0.0
149,69.24,0.0
150,68.94,0.0
