round,total_latency,train_time
1,182.98,0.0
2,28.86,0.0
3,28.34,0.0
4,26.18,0.0
5,29.23,0.0
6,29.23,0.0
7,30.47,0.0
8,33.42,0.0
9,33.2,0.0
10,31.81,0.0
11,21.37,0.0
12,24.67,0.0
13,23.58,0.0
14,30.88,0.0
15,32.63,0.0
16,35.38,0.0
17,41.62,0.0
18,31.89,0.0
19,28.83,0.0
20,31.68,0.0
21,30.36,0.0
22,30.86,0.0
23,30.06,0.0
24,26.75,0.0
25,27.39,0.0
26,31.88,0.0
27,30.02,0.0
28,31.66,0.0
29,28.62,0.0
30,36.48,0.0
31,107.2,0.0
32,36.11,0.0
33,25.74,0.0
34,17.99,0.0
35,16.49,0.0
36,16.4,0.0
37,15.87,0.0
38,16.07,0.0
39,15.66,0.0
40,16.42,0.0
41,15.54,0.0
42,15.92,0.0
43,17.04,0.0
44,16.67,0.0
45,16.69,0.0
46,33.32,0.0
47,31.47,0.0
48,36.05,0.0
49,28.37,0.0
50,32.56,0.0
51,31.29,0.0
52,33.08,0.0
53,37.78,0.0
54,37.84,0.0
55,38.55,0.0
56,22.84,0.0
57,21.32,0.0
58,23.96,0.0
59,28.84,0.0
60,32.01,0.0
61,33.83,0.0
62,368.3,0.0
63,405.34,0.0
64,425.66,0.0
65,29.6,0.0
66,18.88,0.0
67,22.87,0.0
68,25.38,0.0
69,32.01,0.0
70,32.48,0.0
71,30.93,0.0
72,31.62,0.0
73,34.7,0.0
74,41.45,0.0
75,34.94,0.0
76,34.05,0.0
77,29.94,0.0
78,23.97,0.0
79,20.83,0.0
80,22.81,0.0
81,28.1,0.0
82,30.36,0.0
83,32.85,0.0
84,30.71,0.0
85,29.0,0.0
86,26.75,0.0
87,29.66,0.0
88,34.97,0.0
89,34.5,0.0
90,459.39,0.0
91,29.27,0.0
92,37.27,0.0
93,533.42,0.0
94,35.11,0.0
95,31.08,0.0
96,21.29,0.0
97,23.59,0.0
98,29.1,0.0
99,33.03,0.0
100,33.23,0.0
101,31.03,0.0
102,29.77,0.0
103,33.4,0.0
104,32.75,0.0
105,30.77,0.0
106,32.17,0.0
107,32.18,0.0
108,27.59,0.0
109,18.29,0.0
110,17.04,0.0
111,17.21,0.0
112,17.05,0.0
113,15.81,0.0
114,16.56,0.0
115,15.78,0.0
116,16.12,0.0
117,15.77,0.0
118,16.31,0.0
119,16.71,0.0
120,17.59,0.0
121,18.7,0.0
122,18.27,0.0
123,17.72,0.0
124,27.88,0.0
125,29.36,0.0
126,37.1,0.0
127,31.5,0.0
128,30.24,0.0
129,31.37,0.0
130,29.69,0.0
131,35.9,0.0
132,31.44,0.0
133,30.28,0.0
134,21.97,0.0
135,24.49,0.0
136,30.41,0.0
137,33.24,0.0
138,32.15,0.0
139,31.15,0.0
140,38.75,0.0
141,34.04,0.0
142,31.43,0.0
143,30.09,0.0
144,39.88,0.0
145,26.4,0.0
146,20.81,0.0
147,27.44,0.0
148,33.97,0.0
149,30.95,0.0
150,35.99,0.0
