round,network_mb
1,130.664
2,26.147
3,26.108
4,25.01
5,26.701
6,26.841
7,27.968
8,29.937
9,29.959
10,28.968
11,21.611
12,23.724
13,23.167
14,28.469
15,29.772
16,31.507
17,35.8
18,28.728
19,27.026
20,29.008
21,28.073
22,27.975
23,27.997
24,25.427
25,26.148
26,29.008
27,27.662
28,29.22
29,27.029
30,29.954
31,77.511
32,30.341
33,24.901
34,19.23
35,18.669
36,18.647
37,18.049
38,18.239
39,17.975
40,18.195
41,17.932
42,18.071
43,18.89
44,18.468
45,18.462
46,28.727
47,26.408
48,30.456
49,26.404
50,29.191
51,26.713
52,27.932
53,33.705
54,34.226
55,34.378
56,23.451
57,21.942
58,23.807
59,27.599
60,26.515
61,28.412
62,244.17
63,265.848
64,287.634
65,28.174
66,20.095
67,23.397
68,25.172
69,29.949
70,30.313
71,29.37
72,29.697
73,31.808
74,37.27
75,32.218
76,31.419
77,28.69
78,23.829
79,22.394
80,23.113
81,27.221
82,28.919
83,31.398
84,29.156
85,28.161
86,26.476
87,28.489
88,31.181
89,46.323
90,287.304
91,27.537
92,34.496
93,394.584
94,29.884
95,28.161
96,22.108
97,22.775
98,26.964
99,30.411
100,30.528
101,29.067
102,28.233
103,31.623
104,30.258
105,28.817
106,29.997
107,28.441
108,25.486
109,19.462
110,19.019
111,19.642
112,18.875
113,18.275
114,18.828
115,18.389
116,18.415
117,19.071
118,18.5
119,18.709
120,19.291
121,19.715
122,19.829
123,19.491
124,26.022
125,28.224
126,34.509
127,29.744
128,28.535
129,29.813
130,28.372
131,33.524
132,29.687
133,28.915
134,23.166
135,24.96
136,29.193
137,30.27
138,30.834
139,29.438
140,33.692
141,30.002
142,29.698
143,28.908
144,33.371
145,26.318
146,21.592
147,26.971
148,31.707
149,29.023
150,33.347
