condition,robot_id,migration_event_id,timestamp,fl_round,src_node,dst_node,trigger_to_dump_ms,dump_to_transfer_ms,transfer_to_restore_ms,policy_load_ms,downtime_ms,total_MTT_ms,success_rate_pre,success_rate_post,regression_pct,fl_rounds_to_recover,replay_buffer_entries_restored,gpu_util_pre_migration,gpu_util_during_migration,gpu_util_post_migration,cpu_util_pre_migration,cpu_util_during_migration,cpu_util_post_migration,network_bytes_transferred,checkpoint_size_mb,checkpoint_mode,throughput_post_60s,recovery_tasks_to_pre,background_bandwidth_mb,concurrency_level,fault_injected,retry_count,total_recovery_ms,policy_action_mse,policy_weight_l2,dht_put_ms,dht_get_ms
dmtcp,robot_000,1,1783923597.5190299,30,n027.cluster.pssclabs.com,n030.cluster.pssclabs.com,129139.0,35250.47,0,82.8,164389.47,8025.90430341661,1.0,-1,-1,-1,29000,0,0,0,0,0,0,2016194610,1922.8,dmtcp,0,-1,0,1,0,0,0,0.0,0.0,0,0
dmtcp,robot_005,2,1783923597.6145408,30,n027.cluster.pssclabs.com,n030.cluster.pssclabs.com,129138.0,34976.33,0,33.0,164114.33,7424.196816980839,1.0,-1,-1,-1,29000,0,0,0,0,0,0,2015932533,1922.55,dmtcp,0,-1,0,2,0,0,0,0.0,0.0,0,0
dmtcp,robot_010,3,1783923832.933423,30,n030.cluster.pssclabs.com,n027.cluster.pssclabs.com,108027.0,42464.35,0,21.39,150491.35,10497.803194448352,1.0,-1,-1,-1,29000,0,0,0,0,0,0,2016202879,1922.8,dmtcp,0,-1,0,3,0,0,0,0.0,0.0,0,0
dmtcp,robot_015,4,1783923833.6037934,30,n030.cluster.pssclabs.com,n027.cluster.pssclabs.com,107973.0,46872.09,0,11.45,154845.09,10501.63847208023,1.0,-1,-1,-1,29000,0,0,0,0,0,0,2016599364,1923.18,dmtcp,0,-1,0,4,0,0,0,0.0,0.0,0,0
dmtcp,robot_016,5,1783923990.8499072,31,n030.cluster.pssclabs.com,n027.cluster.pssclabs.com,106738.0,40791.52,0,13.35,147529.52,91282.21450187266,1.0,-1,-1,-1,30000,0,0,0,0,0,0,2016383338,1922.98,dmtcp,0,-1,0,7,0,0,0,0.0,0.0,0,0
dmtcp,robot_011,6,1783923990.8884952,31,n030.cluster.pssclabs.com,n027.cluster.pssclabs.com,107137.0,41233.79,0,11.13,148370.79,91280.3241405636,1.0,-1,-1,-1,30000,0,0,0,0,0,0,2016394837,1922.99,dmtcp,0,-1,0,5,0,0,0,0.0,0.0,0,0
dmtcp,robot_005,7,1783924216.6495335,60,n027.cluster.pssclabs.com,n030.cluster.pssclabs.com,0.2293149009346962,2299.3162581697106,0,49.01,2348.326258169711,3364.9725234135985,1.0,-1,-1,-1,59000,0,0,0,0,0,0,9482911,9.048,dmtcp,0,-1,0,17,0,0,0,0.0,0.0,0,0
dmtcp,robot_000,8,1783924216.6712606,60,n027.cluster.pssclabs.com,n030.cluster.pssclabs.com,0.24458300322294235,2306.2867717817426,0,88.01,2394.296771781743,3385.7496017590165,1.0,-1,-1,-1,59000,0,0,0,0,0,0,9482913,9.048,dmtcp,0,-1,0,18,0,0,0,0.0,0.0,0,0
dmtcp,robot_015,9,1783924217.4681118,60,n030.cluster.pssclabs.com,n027.cluster.pssclabs.com,0.34405291080474854,2519.0419163554907,0,17.08,2536.1219163554906,4685.094658285379,1.0,-1,-1,-1,59000,0,0,0,0,0,0,9482913,9.048,dmtcp,0,-1,0,15,0,0,0,0.0,0.0,0,0
dmtcp,robot_010,10,1783924217.5332522,60,n030.cluster.pssclabs.com,n027.cluster.pssclabs.com,0.2603614702820778,2814.2568254843354,0,20.05,2834.3068254843356,4749.719864688814,1.0,-1,-1,-1,59000,0,0,0,0,0,0,9482913,9.048,dmtcp,0,-1,0,16,0,0,0,0.0,0.0,0,0
dmtcp,robot_006,11,1783924252.6328678,31,n027.cluster.pssclabs.com,n030.cluster.pssclabs.com,144614.0,35983.9,0,11.71,180597.9,92182.00677726418,1.0,-1,-1,-1,30000,0,0,0,0,0,0,2016374167,1922.97,dmtcp,0,-1,0,6,0,0,0,0.0,0.0,0,0
dmtcp,robot_001,12,1783924252.6351333,31,n027.cluster.pssclabs.com,n030.cluster.pssclabs.com,143996.0,37445.55,0,10.96,181441.55,92184.53852739185,1.0,-1,-1,-1,30000,0,0,0,0,0,0,2016538508,1923.12,dmtcp,0,-1,0,8,0,0,0,0.0,0.0,0,0
dmtcp,robot_006,13,1783924257.084979,61,n027.cluster.pssclabs.com,n030.cluster.pssclabs.com,0.27999095618724823,3341.283483430743,0,61.96,3403.2434834307433,4256.74572493881,1.0,-1,-1,-1,60000,0,0,0,0,0,0,9590912,9.151,dmtcp,0,-1,0,16,0,0,0,0.0,0.0,0,0
dmtcp,robot_016,14,1783924257.6745553,61,n030.cluster.pssclabs.com,n027.cluster.pssclabs.com,0.4048757255077362,6517.281600274146,0,21.85,6539.131600274146,11358.01450908184,1.0,-1,-1,-1,60000,0,0,0,0,0,0,9590911,9.151,dmtcp,0,-1,0,15,0,0,0,0.0,0.0,0,0
dmtcp,robot_011,15,1783924258.255149,61,n030.cluster.pssclabs.com,n027.cluster.pssclabs.com,0.45931246131658554,6307.872754521668,0,12.81,6320.682754521668,11938.032788224518,1.0,-1,-1,-1,60000,0,0,0,0,0,0,9590913,9.151,dmtcp,0,-1,0,16,0,0,0,0.0,0.0,0,0
