robot_id,fl_round,training_step,reward,success_rate_rolling10,policy_entropy,status,eval_return,eval_episode_len,eval_success
robot_000,1,1,21.01,0.0,0.9997,eval,21.01,26.0,0.0
robot_000,2,1001,70.034,0.0,0.7432,eval,70.034,42.7,0.0
robot_000,3,2001,180.015,0.0,0.5618,eval,180.015,87.7,0.0
robot_000,4,3001,192.936,0.0,0.4318,eval,192.936,90.0,0.0
robot_000,5,4001,205.633,0.0,0.3336,eval,205.633,92.3,0.0
robot_000,6,5001,212.146,0.0,0.2579,eval,212.146,95.0,0.0
robot_000,7,6001,223.29,0.0,0.2012,eval,223.29,98.7,0.0
robot_000,8,7001,234.435,0.0,0.1553,eval,234.435,101.7,0.0
robot_000,9,8001,238.151,0.0,0.1231,eval,238.151,102.0,0.0
robot_000,10,9001,233.834,0.0,0.1002,eval,233.834,100.3,0.0
robot_000,11,10001,240.259,0.0,0.0876,eval,240.259,102.7,0.0
robot_000,12,11001,231.217,0.0,0.0793,eval,231.217,100.7,0.0
robot_000,13,12001,250.902,0.6666666666666666,0.0812,eval,250.902,106.7,0.6666666666666666
robot_000,14,13001,266.711,1.0,0.0794,eval,266.711,111.3,1.0
robot_000,15,14001,274.832,1.0,0.0724,eval,274.832,113.3,1.0
robot_000,16,15001,281.665,1.0,0.0729,eval,281.665,115.7,1.0
robot_000,17,16001,287.67,1.0,0.0766,eval,287.67,118.7,1.0
robot_000,18,17001,292.717,1.0,0.0684,eval,292.717,119.7,1.0
robot_000,19,18001,297.924,1.0,0.0638,eval,297.924,122.7,1.0
robot_000,20,19001,285.801,1.0,0.0719,eval,285.801,118.0,1.0
robot_000,21,20001,290.59,1.0,0.0642,eval,290.59,120.3,1.0
robot_000,22,21001,303.533,1.0,0.0578,eval,303.533,124.3,1.0
robot_000,23,22001,307.304,1.0,0.0778,eval,307.304,127.3,1.0
robot_000,24,23001,308.029,1.0,0.075,eval,308.029,127.0,1.0
robot_000,25,24001,308.243,1.0,0.0553,eval,308.243,127.3,1.0
robot_000,26,25001,309.557,1.0,0.0477,eval,309.557,128.3,1.0
robot_000,27,26001,308.443,1.0,0.0602,eval,308.443,128.3,1.0
robot_000,28,27001,312.072,1.0,0.0507,eval,312.072,129.7,1.0
robot_000,29,28001,316.055,1.0,0.051,eval,316.055,130.7,1.0
robot_000,30,29001,313.459,1.0,0.051,eval,313.459,128.0,1.0
robot_000,31,30001,323.51,1.0,0.0509,eval,323.51,129.7,1.0
robot_000,32,31001,327.261,1.0,0.0462,eval,327.261,127.7,1.0
robot_000,33,32001,346.042,1.0,0.0499,eval,346.042,133.3,1.0
robot_000,34,33001,342.708,1.0,0.046,eval,342.708,132.7,1.0
robot_000,35,34001,342.235,1.0,0.0478,eval,342.235,133.3,1.0
robot_000,36,35001,368.313,1.0,0.046,eval,368.313,140.7,1.0
robot_000,37,36001,364.472,1.0,0.0418,eval,364.472,140.3,1.0
robot_000,38,37001,365.303,1.0,0.0403,eval,365.303,140.3,1.0
robot_000,39,38001,357.966,1.0,0.0411,eval,357.966,138.0,1.0
robot_000,40,39001,366.76,1.0,0.0468,eval,366.76,139.0,1.0
robot_000,41,40001,391.445,1.0,0.0433,eval,391.445,147.0,1.0
robot_000,42,41001,431.204,1.0,0.0425,eval,431.204,159.7,1.0
robot_000,43,42001,456.201,1.0,0.0421,eval,456.201,166.7,1.0
robot_000,44,43001,550.994,1.0,0.0435,eval,550.994,192.0,1.0
robot_000,45,44001,569.583,1.0,0.0455,eval,569.583,196.0,1.0
robot_000,46,45001,605.469,1.0,0.0451,eval,605.469,202.0,1.0
robot_000,47,46001,604.395,1.0,0.0445,eval,604.395,202.7,1.0
robot_000,48,47001,602.399,1.0,0.0427,eval,602.399,204.7,1.0
robot_000,49,48001,601.354,1.0,0.0418,eval,601.354,199.0,1.0
robot_000,50,49001,560.433,1.0,0.0372,eval,560.433,189.0,1.0
robot_000,51,50001,575.12,1.0,0.035,eval,575.12,192.3,1.0
robot_000,52,51001,595.851,1.0,0.0377,eval,595.851,198.3,1.0
robot_000,53,52001,594.423,1.0,0.0405,eval,594.423,195.3,1.0
robot_000,54,53001,602.74,1.0,0.0403,eval,602.74,199.7,1.0
robot_000,55,54001,613.957,1.0,0.0442,eval,613.957,203.0,1.0
robot_000,56,55001,639.653,1.0,0.0503,eval,639.653,208.7,1.0
robot_000,57,56001,640.859,1.0,0.0534,eval,640.859,208.7,1.0
robot_000,58,57001,654.828,1.0,0.0534,eval,654.828,215.3,1.0
robot_000,59,58001,679.168,1.0,0.0513,eval,679.168,222.7,1.0
robot_000,60,59001,720.435,1.0,0.0608,eval,720.435,234.7,1.0
robot_000,61,60001,695.697,1.0,0.065,eval,695.697,229.0,1.0
robot_000,62,61001,787.396,1.0,0.0709,eval,787.396,251.3,1.0
robot_000,63,62001,797.018,1.0,0.0769,eval,797.018,248.7,1.0
robot_000,64,63001,806.616,1.0,0.0811,eval,806.616,251.0,1.0
robot_000,65,64001,799.132,1.0,0.0803,eval,799.132,256.0,1.0
robot_000,66,65001,796.389,1.0,0.0742,eval,796.389,251.7,1.0
robot_000,67,66001,819.698,1.0,0.0701,eval,819.698,258.0,1.0
robot_000,68,67001,819.535,1.0,0.0714,eval,819.535,256.0,1.0
robot_000,69,68001,831.283,1.0,0.0801,eval,831.283,260.3,1.0
robot_000,70,69001,807.047,1.0,0.0786,eval,807.047,250.3,1.0
robot_000,71,70001,765.065,1.0,0.0726,eval,765.065,238.0,1.0
robot_000,72,71001,761.693,1.0,0.0704,eval,761.693,236.7,1.0
robot_000,73,72001,881.401,1.0,0.0749,eval,881.401,273.3,1.0
robot_000,74,73001,946.888,1.0,0.0709,eval,946.888,290.3,1.0
robot_000,75,74001,886.945,1.0,0.0721,eval,886.945,274.0,1.0
robot_000,76,75001,902.606,1.0,0.0722,eval,902.606,278.7,1.0
robot_000,77,76001,888.402,1.0,0.0739,eval,888.402,273.0,1.0
robot_000,78,77001,889.797,1.0,0.073,eval,889.797,274.3,1.0
robot_000,79,78001,934.133,1.0,0.0725,eval,934.133,288.3,1.0
robot_000,80,79001,943.049,1.0,0.0722,eval,943.049,291.3,1.0
robot_000,81,80001,986.733,1.0,0.0701,eval,986.733,301.0,1.0
robot_000,82,81001,958.462,1.0,0.0698,eval,958.462,295.0,1.0
robot_000,83,82001,1013.314,1.0,0.0695,eval,1013.314,308.0,1.0
robot_000,84,83001,1060.714,1.0,0.0716,eval,1060.714,321.7,1.0
robot_000,85,84001,1043.418,1.0,0.0723,eval,1043.418,317.3,1.0
robot_000,86,85001,1413.388,1.0,0.0744,eval,1413.388,426.0,1.0
robot_000,87,86001,1520.469,1.0,0.0765,eval,1520.469,459.0,1.0
robot_000,88,87001,1599.264,1.0,0.0789,eval,1599.264,479.0,1.0
robot_000,89,88001,1490.401,1.0,0.0806,eval,1490.401,448.3,1.0
robot_000,90,89001,1599.085,1.0,0.0804,eval,1599.085,473.3,1.0
robot_000,91,90001,1499.202,1.0,0.0785,eval,1499.202,447.0,1.0
robot_000,92,91001,1268.873,1.0,0.0767,eval,1268.873,379.0,1.0
robot_000,93,92001,1282.235,1.0,0.0707,eval,1282.235,381.0,1.0
robot_000,94,93001,1364.02,1.0,0.0707,eval,1364.02,404.0,1.0
robot_000,95,94001,1348.057,1.0,0.0715,eval,1348.057,400.7,1.0
robot_000,96,95001,1281.242,1.0,0.0698,eval,1281.242,384.0,1.0
robot_000,97,96001,1357.599,1.0,0.0677,eval,1357.599,406.3,1.0
robot_000,98,97001,1271.083,1.0,0.0668,eval,1271.083,382.3,1.0
robot_000,99,98001,1417.656,1.0,0.0666,eval,1417.656,423.7,1.0
robot_000,100,99001,1734.829,1.0,0.0685,eval,1734.829,515.3,1.0
robot_000,101,100001,2056.972,1.0,0.0699,eval,2056.972,612.0,1.0
robot_000,102,101001,2116.063,1.0,0.0788,eval,2116.063,631.3,1.0
robot_000,103,102001,2858.737,1.0,0.0777,eval,2858.737,850.3,1.0
robot_000,104,103001,2164.374,1.0,0.0769,eval,2164.374,643.7,1.0
robot_000,105,104001,2188.797,1.0,0.0702,eval,2188.797,645.0,1.0
robot_000,106,105001,2121.967,1.0,0.0685,eval,2121.967,627.3,1.0
robot_000,107,106001,2563.97,1.0,0.072,eval,2563.97,758.0,1.0
robot_000,108,107001,1803.024,1.0,0.0743,eval,1803.024,534.7,1.0
robot_000,109,108001,2179.282,1.0,0.0776,eval,2179.282,643.3,1.0
robot_000,110,109001,2613.32,1.0,0.0781,eval,2613.32,772.7,1.0
robot_000,111,110001,2667.474,1.0,0.0774,eval,2667.474,784.3,1.0
robot_000,112,111001,2109.149,1.0,0.0749,eval,2109.149,620.3,1.0
robot_000,113,112001,2192.761,1.0,0.0708,eval,2192.761,644.0,1.0
robot_000,114,113001,2509.078,1.0,0.0746,eval,2509.078,740.3,1.0
robot_000,115,114001,3219.313,1.0,0.0735,eval,3219.313,1000.0,1.0
robot_000,116,115001,2583.949,1.0,0.077,eval,2583.949,763.7,1.0
robot_000,117,116001,3055.268,1.0,0.0745,eval,3055.268,897.0,1.0
robot_000,118,117001,2318.124,1.0,0.0762,eval,2318.124,678.7,1.0
robot_000,119,118001,3037.647,1.0,0.0775,eval,3037.647,911.0,1.0
robot_000,120,119001,2804.71,1.0,0.0763,eval,2804.71,836.7,1.0
robot_000,121,120001,2517.737,1.0,0.0741,eval,2517.737,740.7,1.0
robot_000,122,121001,2365.892,1.0,0.0739,eval,2365.892,696.7,1.0
robot_000,123,122001,2412.13,1.0,0.0729,eval,2412.13,712.7,1.0
robot_000,124,123001,2506.435,1.0,0.0745,eval,2506.435,736.3,1.0
robot_000,125,124001,1990.819,1.0,0.0772,eval,1990.819,586.0,1.0
robot_000,126,125001,2862.752,1.0,0.0778,eval,2862.752,861.0,1.0
robot_000,127,126001,2747.4,1.0,0.0752,eval,2747.4,814.7,1.0
robot_000,128,127001,3135.844,1.0,0.0796,eval,3135.844,955.0,1.0
robot_000,129,128001,2568.464,1.0,0.079,eval,2568.464,764.3,1.0
robot_000,130,129001,2983.105,1.0,0.076,eval,2983.105,896.0,1.0
robot_000,131,130001,3149.829,1.0,0.0727,eval,3149.829,947.0,1.0
robot_000,132,131001,3233.662,1.0,0.0738,eval,3233.662,1000.0,1.0
robot_000,133,132001,3240.253,1.0,0.0721,eval,3240.253,1000.0,1.0
robot_000,134,133001,3251.233,1.0,0.0691,eval,3251.233,1000.0,1.0
robot_000,135,134001,3252.437,1.0,0.0673,eval,3252.437,1000.0,1.0
robot_000,136,135001,3245.646,1.0,0.0663,eval,3245.646,1000.0,1.0
robot_000,137,136001,2453.232,1.0,0.0672,eval,2453.232,719.3,1.0
robot_000,138,137001,3150.508,1.0,0.0685,eval,3150.508,956.7,1.0
robot_000,139,138001,3219.727,1.0,0.067,eval,3219.727,1000.0,1.0
robot_000,140,139001,3244.763,1.0,0.0652,eval,3244.763,1000.0,1.0
