round,train_loss,mean_reward,success_rate,policy_entropy,cpu_usage,gpu_usage,network_mb,train_time,total_latency
1,14.936146,18.8678,0.0,0.9997,24.0,0.0,22.562,0.0,156.18
2,1.978624,37.2304,0.0,0.7431,99.12,0.0,11.519,0.0,32.14
3,5.541743,124.1464,0.0,0.5625,98.81,0.0,11.499,0.0,29.01
4,10.43755,187.4508,0.0,0.4334,98.33,0.0,11.602,0.0,32.05
5,14.908797,204.7534,0.0,0.3341,99.06,0.0,11.601,0.0,32.19
6,18.315411,213.711,0.0,0.2567,98.83,0.0,11.558,0.0,31.92
7,20.847243,234.7313,0.0,0.199,99.05,0.0,11.57,0.0,29.69
8,22.70442,242.3033,0.0,0.1563,98.93,0.0,11.58,0.0,29.89
9,24.405308,259.9508,0.0,0.1254,98.98,0.0,11.632,0.0,28.32
10,25.55001,255.2497,0.0,0.103,96.35,0.0,11.542,0.0,22.71
11,26.567827,265.0138,0.0,0.0881,93.07,0.0,11.671,0.0,23.04
12,26.780994,264.5495,0.0,0.0788,98.44,0.0,11.643,0.0,30.55
13,26.953743,269.068,0.0,0.0739,98.66,0.0,11.677,0.0,33.48
14,27.452208,255.4173,0.0,0.0715,97.79,0.0,11.825,0.0,33.01
15,28.195419,256.8543,0.0,0.0711,98.87,0.0,11.702,0.0,28.42
16,28.621529,269.9587,0.0,0.0723,98.64,0.0,11.791,0.0,31.16
17,29.332988,263.6781,0.0,0.0745,99.05,0.0,11.728,0.0,29.69
18,29.171571,254.3402,0.0,0.0767,98.21,0.0,11.773,0.0,31.29
19,29.73439,278.616,0.0,0.0762,98.07,0.0,11.79,0.0,35.83
20,29.402562,291.0177,0.0,0.077,97.77,0.0,11.794,0.0,31.21
21,29.372777,311.5671,0.0,0.0778,97.89,0.0,11.832,0.0,31.49
22,29.373854,312.0503,0.0,0.0781,96.83,0.0,11.856,0.0,25.39
23,29.351534,354.0882,0.0,0.0767,96.59,0.0,11.637,0.0,23.96
24,29.167759,308.1727,0.0,0.0755,98.36,0.0,11.869,0.0,24.61
25,28.690445,320.3051,0.0,0.0751,98.56,0.0,11.963,0.0,31.78
26,28.406759,332.8802,0.0,0.0758,98.93,0.0,11.912,0.0,33.84
27,27.948612,324.4125,0.0,0.0747,99.17,0.0,11.928,0.0,32.94
28,27.859795,319.9002,0.0,0.074,98.67,0.0,11.939,0.0,29.48
29,27.656656,344.9437,0.0,0.076,98.14,0.0,12.064,0.0,29.45
30,27.14398,351.8962,0.0,0.0744,99.03,0.0,11.964,0.0,27.89
31,26.828752,378.1423,0.0,0.0743,98.57,0.0,12.005,0.0,31.29
32,26.808834,363.101,0.0,0.0757,98.81,0.0,12.467,0.0,37.49
33,26.607245,380.0826,0.0,0.0768,97.49,0.0,12.036,0.0,33.11
34,26.395541,388.2346,0.0,0.076,95.67,0.0,12.095,0.0,30.05
35,27.089917,389.7364,0.0,0.0748,92.37,0.0,11.751,0.0,15.65
36,26.853165,429.6385,0.0,0.0747,77.72,0.0,11.761,0.0,15.42
37,26.841817,468.7852,0.0,0.0757,68.73,0.0,11.772,0.0,15.27
38,27.426975,447.0846,0.0,0.0761,54.77,0.0,11.782,0.0,14.31
39,27.281766,479.0733,0.0,0.0763,42.43,0.0,11.782,0.0,14.51
40,28.233863,514.5735,0.0,0.0765,40.11,0.0,11.795,0.0,15.31
41,28.329005,558.2039,0.0,0.0778,40.46,0.0,11.808,0.0,14.17
42,28.424002,587.2706,0.0,0.0781,40.47,0.0,11.824,0.0,13.92
43,28.941305,545.3266,0.0,0.0795,40.57,0.0,11.825,0.0,13.83
44,29.756125,608.6083,0.0,0.0808,40.59,0.0,11.841,0.0,13.59
45,29.684192,615.0029,0.0,0.0818,40.51,0.0,11.842,0.0,15.43
46,30.179242,587.4284,0.0,0.082,40.45,0.0,11.854,0.0,14.0
47,30.686904,543.3129,0.0,0.0813,40.42,0.0,11.895,0.0,15.08
48,31.362161,653.1445,0.0,0.0811,40.72,0.0,11.876,0.0,15.19
49,30.817365,629.6657,0.0,0.0812,41.25,0.0,11.873,0.0,12.69
50,31.480822,607.8696,0.0,0.0803,41.09,0.0,11.885,0.0,13.43
51,31.066768,655.9794,0.0,0.0802,40.99,0.0,11.895,0.0,13.72
52,30.934542,647.3571,0.0,0.0809,40.95,0.0,11.907,0.0,13.73
53,30.390642,642.7788,0.0,0.0816,40.73,0.0,11.912,0.0,14.04
54,30.160749,701.9941,0.0,0.081,46.92,0.0,22.307,0.0,14.83
55,30.445902,696.747,0.0,0.0803,97.93,0.0,12.023,0.0,23.47
56,29.952622,718.9786,0.0,0.081,97.92,0.0,12.459,0.0,31.14
57,30.950355,745.4823,0.0,0.0799,98.26,0.0,12.472,0.0,29.95
58,29.710636,737.427,0.0,0.0804,98.6,0.0,12.498,0.0,30.26
59,29.78307,726.2879,0.0,0.0798,97.71,0.0,12.495,0.0,26.26
60,29.66948,807.7652,0.0,0.0791,97.9,0.0,12.525,0.0,35.88
61,28.599365,742.9503,0.0,0.0781,98.77,0.0,12.549,0.0,30.95
62,28.836366,712.5009,0.0,0.0782,98.33,0.0,12.562,0.0,29.09
63,28.413077,763.5702,0.0,0.0773,98.1,0.0,12.586,0.0,32.81
64,28.034118,778.6559,0.0,0.0773,97.36,0.0,12.691,0.0,32.21
65,27.661202,767.8377,0.0,0.0774,98.15,0.0,12.622,0.0,30.21
66,28.04759,801.1424,0.0,0.0771,93.16,0.0,12.629,0.0,21.69
67,27.507853,834.576,0.0,0.076,97.72,0.0,12.677,0.0,32.91
68,28.011295,854.8738,0.0,0.0751,98.2,0.0,12.669,0.0,27.9
69,28.366535,767.8917,0.0,0.0744,97.67,0.0,12.69,0.0,32.93
70,27.941531,799.5377,0.0,0.0734,98.28,0.0,13.353,0.0,33.0
71,28.472572,869.0689,0.0,0.0735,98.11,0.0,13.393,0.0,45.06
72,27.696897,858.4573,0.0,0.0736,98.52,0.0,12.75,0.0,32.55
73,28.170389,947.3797,0.0,0.0731,98.15,0.0,13.491,0.0,35.73
74,27.240989,867.2547,0.0,0.0733,97.72,0.0,12.765,0.0,28.31
75,26.727445,924.7768,0.0,0.0725,97.7,0.0,12.812,0.0,35.42
76,25.678836,870.1705,0.0,0.0724,97.74,0.0,12.812,0.0,29.62
77,26.513809,891.2788,0.0,0.0723,96.79,0.0,12.822,0.0,26.53
78,26.849412,950.1466,0.0,0.0713,97.3,0.0,12.818,0.0,23.72
79,25.230325,910.4677,0.0,0.0706,99.06,0.0,12.84,0.0,27.97
80,25.929467,927.173,0.0,0.0704,99.21,0.0,12.828,0.0,31.36
81,25.456283,968.7241,0.0,0.07,98.45,0.0,12.86,0.0,26.91
82,24.913856,882.8756,0.0,0.07,98.14,0.0,12.827,0.0,26.39
