round,cpu_usage,gpu_usage
1,24.0,0.0
2,99.12,0.0
3,98.81,0.0
4,98.33,0.0
5,99.06,0.0
6,98.83,0.0
7,99.05,0.0
8,98.93,0.0
9,98.98,0.0
10,96.35,0.0
11,93.07,0.0
12,98.44,0.0
13,98.66,0.0
14,97.79,0.0
15,98.87,0.0
16,98.64,0.0
17,99.05,0.0
18,98.21,0.0
19,98.07,0.0
20,97.77,0.0
21,97.89,0.0
22,96.83,0.0
23,96.59,0.0
24,98.36,0.0
25,98.56,0.0
26,98.93,0.0
27,99.17,0.0
28,98.67,0.0
29,98.14,0.0
30,99.03,0.0
31,98.57,0.0
32,98.81,0.0
33,97.49,0.0
34,95.67,0.0
35,92.37,0.0
36,77.72,0.0
37,68.73,0.0
38,54.77,0.0
39,42.43,0.0
40,40.11,0.0
41,40.46,0.0
42,40.47,0.0
43,40.57,0.0
44,40.59,0.0
45,40.51,0.0
46,40.45,0.0
47,40.42,0.0
48,40.72,0.0
49,41.25,0.0
50,41.09,0.0
51,40.99,0.0
52,40.95,0.0
53,40.73,0.0
54,46.92,0.0
55,97.93,0.0
56,97.92,0.0
57,98.26,0.0
58,98.6,0.0
59,97.71,0.0
60,97.9,0.0
61,98.77,0.0
62,98.33,0.0
63,98.1,0.0
64,97.36,0.0
65,98.15,0.0
66,93.16,0.0
67,97.72,0.0
68,98.2,0.0
69,97.67,0.0
70,98.28,0.0
71,98.11,0.0
72,98.52,0.0
73,98.15,0.0
74,97.72,0.0
75,97.7,0.0
76,97.74,0.0
77,96.79,0.0
78,97.3,0.0
79,99.06,0.0
80,99.21,0.0
81,98.45,0.0
82,98.14,0.0
83,97.92,0.0
84,98.0,0.0
85,98.2,0.0
86,97.27,0.0
87,94.23,0.0
88,94.2,0.0
89,94.22,0.0
90,93.57,0.0
91,84.58,0.0
92,66.77,0.0
93,47.51,0.0
94,40.55,0.0
95,40.49,0.0
96,40.3,0.0
97,40.14,0.0
98,41.04,0.0
99,40.91,0.0
100,40.45,0.0
101,40.64,0.0
102,40.55,0.0
103,48.67,0.0
104,98.44,0.0
105,98.59,0.0
106,98.43,0.0
107,98.53,0.0
108,97.81,0.0
109,98.68,0.0
110,98.66,0.0
111,98.16,0.0
112,98.27,0.0
113,97.88,0.0
114,95.42,0.0
115,97.68,0.0
116,98.86,0.0
117,98.96,0.0
118,99.35,0.0
119,99.36,0.0
120,98.96,0.0
121,99.26,0.0
122,99.48,0.0
123,99.44,0.0
124,98.99,0.0
125,98.94,0.0
126,98.2,0.0
127,99.07,0.0
128,97.16,0.0
129,97.32,0.0
130,99.26,0.0
131,99.46,0.0
132,98.8,0.0
133,98.34,0.0
134,99.16,0.0
135,99.09,0.0
136,99.3,0.0
137,99.18,0.0
138,95.16,0.0
139,92.25,0.0
140,91.2,0.0
141,85.87,0.0
142,80.17,0.0
143,67.8,0.0
144,54.5,0.0
145,48.73,0.0
146,47.99,0.0
147,48.79,0.0
148,49.07,0.0
149,48.98,0.0
150,48.98,0.0
