round,total_latency,train_time
1,156.18,0.0
2,32.14,0.0
3,29.01,0.0
4,32.05,0.0
5,32.19,0.0
6,31.92,0.0
7,29.69,0.0
8,29.89,0.0
9,28.32,0.0
10,22.71,0.0
11,23.04,0.0
12,30.55,0.0
13,33.48,0.0
14,33.01,0.0
15,28.42,0.0
16,31.16,0.0
17,29.69,0.0
18,31.29,0.0
19,35.83,0.0
20,31.21,0.0
21,31.49,0.0
22,25.39,0.0
23,23.96,0.0
24,24.61,0.0
25,31.78,0.0
26,33.84,0.0
27,32.94,0.0
28,29.48,0.0
29,29.45,0.0
30,27.89,0.0
31,31.29,0.0
32,37.49,0.0
33,33.11,0.0
34,30.05,0.0
35,15.65,0.0
36,15.42,0.0
37,15.27,0.0
38,14.31,0.0
39,14.51,0.0
40,15.31,0.0
41,14.17,0.0
42,13.92,0.0
43,13.83,0.0
44,13.59,0.0
45,15.43,0.0
46,14.0,0.0
47,15.08,0.0
48,15.19,0.0
49,12.69,0.0
50,13.43,0.0
51,13.72,0.0
52,13.73,0.0
53,14.04,0.0
54,14.83,0.0
55,23.47,0.0
56,31.14,0.0
57,29.95,0.0
58,30.26,0.0
59,26.26,0.0
60,35.88,0.0
61,30.95,0.0
62,29.09,0.0
63,32.81,0.0
64,32.21,0.0
65,30.21,0.0
66,21.69,0.0
67,32.91,0.0
68,27.9,0.0
69,32.93,0.0
70,33.0,0.0
71,45.06,0.0
72,32.55,0.0
73,35.73,0.0
74,28.31,0.0
75,35.42,0.0
76,29.62,0.0
77,26.53,0.0
78,23.72,0.0
79,27.97,0.0
80,31.36,0.0
81,26.91,0.0
82,26.39,0.0
83,29.88,0.0
84,30.66,0.0
85,28.52,0.0
86,30.75,0.0
87,23.39,0.0
88,23.43,0.0
89,22.67,0.0
90,23.18,0.0
91,15.97,0.0
92,15.17,0.0
93,14.76,0.0
94,14.42,0.0
95,14.4,0.0
96,14.43,0.0
97,13.86,0.0
98,14.33,0.0
99,13.57,0.0
100,13.95,0.0
101,13.91,0.0
102,14.06,0.0
103,15.34,0.0
104,25.45,0.0
105,32.99,0.0
106,28.28,0.0
107,34.08,0.0
108,31.09,0.0
109,31.11,0.0
110,30.32,0.0
111,29.5,0.0
112,34.17,0.0
113,28.47,0.0
114,30.01,0.0
115,24.43,0.0
116,27.21,0.0
117,30.37,0.0
118,29.63,0.0
119,30.04,0.0
120,28.53,0.0
121,29.13,0.0
122,29.15,0.0
123,28.0,0.0
124,28.31,0.0
125,26.73,0.0
126,26.06,0.0
127,29.28,0.0
128,24.12,0.0
129,25.45,0.0
130,28.55,0.0
131,29.9,0.0
132,28.52,0.0
133,29.8,0.0
134,28.25,0.0
135,30.5,0.0
136,28.95,0.0
137,29.79,0.0
138,22.22,0.0
139,16.46,0.0
140,15.98,0.0
141,15.96,0.0
142,15.75,0.0
143,16.64,0.0
144,15.2,0.0
145,14.73,0.0
146,16.24,0.0
147,13.96,0.0
148,13.9,0.0
149,14.16,0.0
150,14.19,0.0
