round,network_mb
1,22.562
2,11.519
3,11.499
4,11.602
5,11.601
6,11.558
7,11.57
8,11.58
9,11.632
10,11.542
11,11.671
12,11.643
13,11.677
14,11.825
15,11.702
16,11.791
17,11.728
18,11.773
19,11.79
20,11.794
21,11.832
22,11.856
23,11.637
24,11.869
25,11.963
26,11.912
27,11.928
28,11.939
29,12.064
30,11.964
31,12.005
32,12.467
33,12.036
34,12.095
35,11.751
36,11.761
37,11.772
38,11.782
39,11.782
40,11.795
41,11.808
42,11.824
43,11.825
44,11.841
45,11.842
46,11.854
47,11.895
48,11.876
49,11.873
50,11.885
51,11.895
52,11.907
53,11.912
54,22.307
55,12.023
56,12.459
57,12.472
58,12.498
59,12.495
60,12.525
61,12.549
62,12.562
63,12.586
64,12.691
65,12.622
66,12.629
67,12.677
68,12.669
69,12.69
70,13.353
71,13.393
72,12.75
73,13.491
74,12.765
75,12.812
76,12.812
77,12.822
78,12.818
79,12.84
80,12.828
81,12.86
82,12.827
83,12.894
84,12.882
85,12.84
86,12.874
87,12.862
88,12.134
89,12.126
90,12.907
91,12.126
92,12.13
93,12.131
94,12.125
95,12.198
96,12.313
97,12.129
98,20.218
99,12.129
100,12.125
101,12.134
102,12.118
103,22.517
104,12.853
105,12.841
106,12.817
107,12.826
108,12.827
109,12.925
110,12.833
111,12.819
112,13.533
113,12.822
114,12.827
115,12.828
116,12.123
117,12.911
118,12.823
119,12.956
120,12.825
121,12.825
122,12.835
123,12.838
124,12.834
125,12.839
126,12.836
127,12.889
128,12.838
129,12.957
130,12.887
131,12.841
132,12.833
133,12.841
134,12.134
135,12.838
136,12.978
137,12.844
138,12.963
139,12.134
140,12.138
141,12.138
142,12.138
143,12.839
144,12.14
145,12.132
146,12.139
147,12.131
148,12.134
149,12.136
150,12.136
