robot_id,fl_round,training_step,reward,success_rate_rolling10,policy_entropy,status,eval_return,eval_episode_len,eval_success
robot_000,1,1,21.013,0.0,0.9997,eval,21.013,26.0,0.0
robot_000,2,1001,70.308,0.0,0.7426,eval,70.308,43.0,0.0
robot_000,3,2001,186.345,0.0,0.5621,eval,186.345,86.0,0.0
robot_000,4,3001,199.902,0.0,0.433,eval,199.902,90.3,0.0
robot_000,5,4001,223.986,0.0,0.3344,eval,223.986,98.3,0.0
robot_000,6,5001,222.682,0.0,0.2557,eval,222.682,98.3,0.0
robot_000,7,6001,244.055,0.0,0.1951,eval,244.055,105.3,0.0
robot_000,8,7001,262.544,1.0,0.1498,eval,262.544,109.0,1.0
robot_000,9,8001,272.79,1.0,0.1195,eval,272.79,112.7,1.0
robot_000,10,9001,276.716,1.0,0.0982,eval,276.716,114.0,1.0
robot_000,11,10001,285.305,1.0,0.0857,eval,285.305,116.0,1.0
robot_000,12,11001,274.465,1.0,0.0759,eval,274.465,110.0,1.0
robot_000,13,12001,282.165,1.0,0.0696,eval,282.165,111.7,1.0
robot_000,14,13001,276.584,1.0,0.0707,eval,276.584,111.0,1.0
robot_000,15,14001,280.832,1.0,0.0683,eval,280.832,113.3,1.0
robot_000,16,15001,273.896,1.0,0.072,eval,273.896,111.7,1.0
robot_000,17,16001,297.858,1.0,0.0749,eval,297.858,120.3,1.0
robot_000,18,17001,304.239,1.0,0.0807,eval,304.239,123.7,1.0
robot_000,19,18001,317.046,1.0,0.0748,eval,317.046,126.7,1.0
robot_000,20,19001,329.38,1.0,0.0831,eval,329.38,129.3,1.0
robot_000,21,20001,330.175,1.0,0.0817,eval,330.175,129.7,1.0
robot_000,22,21001,348.843,1.0,0.0793,eval,348.843,131.7,1.0
robot_000,23,22001,362.012,1.0,0.0719,eval,362.012,135.3,1.0
robot_000,24,23001,384.57,1.0,0.0776,eval,384.57,142.0,1.0
robot_000,25,24001,369.968,1.0,0.0662,eval,369.968,141.0,1.0
robot_000,26,25001,373.137,1.0,0.0723,eval,373.137,142.0,1.0
robot_000,27,26001,422.7,1.0,0.0789,eval,422.7,152.7,1.0
robot_000,28,27001,452.952,1.0,0.0814,eval,452.952,162.0,1.0
robot_000,29,28001,421.136,1.0,0.0828,eval,421.136,155.7,1.0
robot_000,30,29001,484.373,1.0,0.0836,eval,484.373,170.3,1.0
robot_000,31,30001,401.587,1.0,0.0843,eval,401.587,155.3,1.0
robot_000,32,31001,569.324,1.0,0.0881,eval,569.324,186.7,1.0
robot_000,33,32001,587.63,1.0,0.0912,eval,587.63,195.3,1.0
robot_000,34,33001,452.754,1.0,0.0939,eval,452.754,163.0,1.0
robot_000,35,34001,562.137,1.0,0.0973,eval,562.137,185.0,1.0
robot_000,36,35001,559.4,1.0,0.1009,eval,559.4,182.7,1.0
robot_000,37,36001,555.57,1.0,0.1053,eval,555.57,182.7,1.0
robot_000,38,37001,617.426,1.0,0.1131,eval,617.426,198.0,1.0
robot_000,39,38001,657.067,1.0,0.106,eval,657.067,208.7,1.0
robot_000,40,39001,685.43,1.0,0.0935,eval,685.43,215.3,1.0
robot_000,41,40001,684.2,1.0,0.0894,eval,684.2,216.0,1.0
robot_000,42,41001,704.84,1.0,0.085,eval,704.84,226.0,1.0
robot_000,43,42001,821.802,1.0,0.0851,eval,821.802,260.7,1.0
robot_000,44,43001,817.5,1.0,0.086,eval,817.5,257.7,1.0
robot_000,45,44001,789.408,1.0,0.0869,eval,789.408,250.7,1.0
robot_000,46,45001,789.819,1.0,0.0807,eval,789.819,248.0,1.0
robot_000,47,46001,806.427,1.0,0.0745,eval,806.427,252.0,1.0
robot_000,48,47001,789.73,1.0,0.075,eval,789.73,247.7,1.0
robot_000,49,48001,698.923,1.0,0.0751,eval,698.923,224.0,1.0
robot_000,50,49001,713.195,1.0,0.0739,eval,713.195,227.0,1.0
robot_000,51,50001,702.588,1.0,0.0719,eval,702.588,224.3,1.0
robot_000,52,51001,732.465,1.0,0.0697,eval,732.465,228.3,1.0
robot_000,53,52001,762.876,1.0,0.0686,eval,762.876,235.3,1.0
robot_000,54,53001,822.315,1.0,0.0673,eval,822.315,251.0,1.0
robot_000,55,54001,824.578,1.0,0.0654,eval,824.578,251.3,1.0
robot_000,56,55001,819.597,1.0,0.0661,eval,819.597,253.0,1.0
robot_000,57,56001,887.06,1.0,0.0653,eval,887.06,275.3,1.0
robot_000,58,57001,959.062,1.0,0.0687,eval,959.062,296.7,1.0
robot_000,59,58001,951.506,1.0,0.0678,eval,951.506,295.0,1.0
robot_000,60,59001,995.151,1.0,0.0682,eval,995.151,307.3,1.0
robot_000,61,60001,951.057,1.0,0.0668,eval,951.057,294.3,1.0
robot_000,62,61001,937.485,1.0,0.0686,eval,937.485,289.3,1.0
robot_000,63,62001,963.206,1.0,0.069,eval,963.206,297.0,1.0
robot_000,64,63001,1004.66,1.0,0.0647,eval,1004.66,309.3,1.0
robot_000,65,64001,980.97,1.0,0.0638,eval,980.97,301.7,1.0
robot_000,66,65001,1045.647,1.0,0.0621,eval,1045.647,318.7,1.0
robot_000,67,66001,1105.741,1.0,0.0614,eval,1105.741,334.3,1.0
robot_000,68,67001,1056.064,1.0,0.0612,eval,1056.064,320.7,1.0
robot_000,69,68001,1096.215,1.0,0.0611,eval,1096.215,332.0,1.0
robot_000,70,69001,1192.276,1.0,0.0604,eval,1192.276,360.3,1.0
robot_000,71,70001,1064.236,1.0,0.0615,eval,1064.236,328.0,1.0
robot_000,72,71001,1134.902,1.0,0.0574,eval,1134.902,345.0,1.0
robot_000,73,72001,1191.726,1.0,0.0566,eval,1191.726,359.7,1.0
robot_000,74,73001,1043.132,1.0,0.0578,eval,1043.132,319.0,1.0
robot_000,75,74001,1248.938,1.0,0.057,eval,1248.938,382.3,1.0
robot_000,76,75001,1180.59,1.0,0.0558,eval,1180.59,358.3,1.0
robot_000,77,76001,1153.209,1.0,0.0591,eval,1153.209,348.0,1.0
robot_000,78,77001,985.871,1.0,0.0599,eval,985.871,302.7,1.0
robot_000,79,78001,1318.071,1.0,0.056,eval,1318.071,398.0,1.0
robot_000,80,79001,1174.583,1.0,0.0547,eval,1174.583,353.0,1.0
robot_000,81,80001,1289.006,1.0,0.0555,eval,1289.006,393.0,1.0
robot_000,82,81001,1302.088,1.0,0.054,eval,1302.088,398.7,1.0
robot_000,83,82001,1291.568,1.0,0.0537,eval,1291.568,393.7,1.0
robot_000,84,83001,1111.566,1.0,0.0559,eval,1111.566,337.3,1.0
robot_000,85,84001,1184.887,1.0,0.0553,eval,1184.887,356.3,1.0
robot_000,86,85001,1102.664,1.0,0.0528,eval,1102.664,338.0,1.0
robot_000,87,86001,1333.703,1.0,0.051,eval,1333.703,403.0,1.0
robot_000,88,87001,1224.908,1.0,0.052,eval,1224.908,373.0,1.0
robot_000,89,88001,1449.004,1.0,0.0517,eval,1449.004,435.3,1.0
robot_000,90,89001,1449.51,1.0,0.052,eval,1449.51,439.7,1.0
robot_000,91,90001,1230.248,1.0,0.0504,eval,1230.248,381.0,1.0
robot_000,92,91001,1617.457,1.0,0.05,eval,1617.457,491.7,1.0
robot_000,93,92001,1259.399,1.0,0.0485,eval,1259.399,381.7,1.0
robot_000,94,93001,1895.474,1.0,0.0487,eval,1895.474,577.7,1.0
robot_000,95,94001,1593.864,1.0,0.0479,eval,1593.864,487.3,1.0
robot_000,96,95001,1825.366,1.0,0.05,eval,1825.366,554.7,1.0
robot_000,97,96001,1833.474,1.0,0.0491,eval,1833.474,557.7,1.0
robot_000,98,97001,1495.004,1.0,0.0484,eval,1495.004,452.3,1.0
robot_000,99,98001,1589.074,1.0,0.0517,eval,1589.074,490.0,1.0
robot_000,100,99001,1618.927,1.0,0.0494,eval,1618.927,491.3,1.0
robot_000,101,100001,1547.681,1.0,0.0491,eval,1547.681,470.3,1.0
robot_000,102,101001,1244.326,1.0,0.0492,eval,1244.326,383.7,1.0
robot_000,103,102001,1160.69,1.0,0.0483,eval,1160.69,360.3,1.0
robot_000,104,103001,1110.542,1.0,0.0479,eval,1110.542,344.7,1.0
robot_000,105,104001,1314.456,1.0,0.0481,eval,1314.456,401.7,1.0
robot_000,106,105001,1506.273,1.0,0.0472,eval,1506.273,457.3,1.0
robot_000,107,106001,1285.646,1.0,0.0492,eval,1285.646,392.3,1.0
robot_000,108,107001,1268.713,1.0,0.0491,eval,1268.713,389.3,1.0
robot_000,109,108001,1322.489,1.0,0.0473,eval,1322.489,404.3,1.0
robot_000,110,109001,1263.148,1.0,0.0478,eval,1263.148,390.0,1.0
robot_000,111,110001,1084.332,1.0,0.0471,eval,1084.332,337.7,1.0
robot_000,112,111001,1202.413,1.0,0.0475,eval,1202.413,371.0,1.0
robot_000,113,112001,1151.647,1.0,0.0465,eval,1151.647,353.0,1.0
robot_000,114,113001,1875.437,1.0,0.0462,eval,1875.437,568.3,1.0
robot_000,115,114001,1845.952,1.0,0.0466,eval,1845.952,558.0,1.0
robot_000,116,115001,1917.11,1.0,0.0471,eval,1917.11,584.0,1.0
robot_000,117,116001,1928.854,1.0,0.0499,eval,1928.854,583.0,1.0
robot_000,118,117001,1613.27,1.0,0.0459,eval,1613.27,481.3,1.0
robot_000,119,118001,1950.214,1.0,0.0448,eval,1950.214,583.3,1.0
