round,train_loss,mean_reward,success_rate,policy_entropy,cpu_usage,gpu_usage,network_mb,train_time,total_latency
1,14.776606,18.1948,0.0,0.9997,6.67,0.0,12.135,0.0,128.02
2,2.020795,39.2572,0.0,0.7432,67.2,0.0,11.584,0.0,16.53
3,5.569666,131.7357,0.0,0.5625,68.13,0.0,11.517,0.0,16.38
4,10.408163,189.0741,0.0,0.4334,67.87,0.0,11.568,0.0,16.0
5,14.863842,204.4766,0.0,0.3337,66.5,0.0,11.503,0.0,15.48
6,18.040383,209.9503,0.0,0.2563,67.94,0.0,11.507,0.0,16.64
7,20.143753,223.9692,0.0,0.1986,66.92,0.0,11.511,0.0,15.6
8,21.261685,234.1121,0.0,0.1561,68.11,0.0,11.551,0.0,15.97
9,22.928795,242.7885,0.0,0.1243,67.19,0.0,11.528,0.0,16.02
10,23.948005,248.5443,0.0,0.1026,75.11,0.0,22.179,0.0,16.33
11,24.394558,247.1364,0.0,0.0873,95.36,0.0,11.705,0.0,26.48
12,24.872249,251.3114,0.0,0.0772,96.52,0.0,19.761,0.0,33.33
13,24.994822,268.7474,0.0,0.0731,95.35,0.0,11.681,0.0,30.1
14,25.022078,268.6988,0.0,0.0713,95.76,0.0,11.741,0.0,31.87
15,25.576453,265.7141,0.0,0.0714,95.44,0.0,11.72,0.0,32.12
16,26.611971,264.202,0.0,0.0732,97.15,0.0,11.748,0.0,31.6
17,26.471147,260.3906,0.0,0.0736,96.27,0.0,11.754,0.0,30.84
18,26.235351,267.9024,0.0,0.073,70.64,0.0,11.757,0.0,27.15
19,25.509228,287.2031,0.0,0.072,70.16,0.0,11.825,0.0,29.54
20,26.662259,279.2492,0.0,0.0728,70.77,0.0,11.811,0.0,29.69
21,26.563153,286.0041,0.0,0.0726,69.95,0.0,11.626,0.0,22.97
22,25.55779,282.7112,0.0,0.0706,68.23,0.0,11.835,0.0,19.69
23,25.829867,290.5298,0.0,0.0692,70.17,0.0,11.874,0.0,32.73
24,25.474094,308.6848,0.0,0.0707,70.81,0.0,11.879,0.0,27.46
25,25.71239,321.708,0.0,0.0713,69.8,0.0,11.903,0.0,31.99
26,26.349942,338.4219,0.0,0.0725,69.04,0.0,12.163,0.0,38.77
27,26.913504,344.0319,0.0,0.0751,70.19,0.0,11.691,0.0,27.12
28,26.592094,335.8868,0.0,0.0761,69.83,0.0,11.98,0.0,32.28
29,26.586802,355.0782,0.0,0.0761,68.89,0.0,12.014,0.0,33.13
30,25.460542,362.2397,0.0,0.0755,64.87,0.0,12.249,0.0,30.76
31,26.026593,383.7648,0.0,0.076,67.58,0.0,12.214,0.0,24.47
32,26.299801,381.3674,0.0,0.0764,68.65,0.0,12.266,0.0,28.36
33,25.944084,392.6309,0.0,0.0776,68.57,0.0,12.286,0.0,31.02
34,25.596173,378.5449,0.0,0.0775,67.13,0.0,12.266,0.0,30.18
35,25.603208,385.8064,0.0,0.0773,70.47,0.0,12.088,0.0,23.62
36,25.630401,396.0704,0.0,0.077,70.54,0.0,12.103,0.0,32.24
37,25.572964,414.9987,0.0,0.077,69.75,0.0,12.123,0.0,29.88
38,24.964487,464.3225,0.0,0.0748,70.66,0.0,12.141,0.0,25.35
39,25.223528,487.4527,0.0,0.0769,70.6,0.0,11.843,0.0,26.95
40,25.097304,442.2618,0.0,0.0773,70.47,0.0,12.222,0.0,29.71
41,24.892477,441.8119,0.0,0.0762,70.4,0.0,12.198,0.0,29.75
42,25.186037,483.934,0.0,0.0753,70.39,0.0,11.826,0.0,27.68
43,24.806929,474.9828,0.0,0.0756,69.74,0.0,12.273,0.0,25.33
44,25.621638,494.6478,0.0,0.0766,70.16,0.0,12.249,0.0,26.36
45,25.602038,527.8258,0.0,0.0774,70.29,0.0,12.368,0.0,26.36
46,26.662431,497.1833,0.0,0.0775,70.35,0.0,11.861,0.0,24.23
47,26.718293,559.804,0.0,0.0779,70.16,0.0,12.299,0.0,21.74
48,27.968959,495.3459,0.0,0.0777,68.41,0.0,11.873,0.0,16.74
49,28.494473,640.4138,0.0,0.0782,65.55,0.0,11.891,0.0,16.31
50,29.633912,592.2085,0.0,0.0761,57.34,0.0,11.901,0.0,16.88
51,30.331562,553.5826,0.0,0.0751,50.53,0.0,11.92,0.0,15.73
52,29.220085,603.4865,0.0,0.0747,50.11,0.0,11.915,0.0,14.95
53,28.704625,606.301,0.0,0.0759,50.02,0.0,12.068,0.0,14.86
54,28.740453,613.2682,0.0,0.0757,49.83,0.0,11.945,0.0,14.97
55,29.008951,564.164,0.0,0.0757,46.24,0.0,11.949,0.0,15.36
56,28.211443,579.9545,0.0,0.0752,41.83,0.0,11.959,0.0,14.84
57,28.810503,625.2602,0.0,0.075,41.52,0.0,11.972,0.0,14.99
58,28.772908,600.3983,0.0,0.0756,41.55,0.0,11.971,0.0,14.73
59,28.111491,639.4683,0.0,0.0763,41.84,0.0,11.997,0.0,14.45
60,27.708648,742.4142,0.0,0.0762,40.46,0.0,12.217,0.0,14.86
61,27.218076,669.1511,0.0,0.0743,40.38,0.0,12.2,0.0,15.85
62,27.696742,744.4745,0.0,0.0747,40.44,0.0,12.211,0.0,15.74
63,26.837521,738.1197,0.0,0.0746,40.37,0.0,12.224,0.0,16.01
64,25.896209,771.1329,0.0,0.0736,40.97,0.0,12.246,0.0,15.66
65,26.114964,756.1438,0.0,0.0736,43.55,0.0,22.573,0.0,14.53
66,25.891182,760.4471,0.0,0.0733,69.87,0.0,12.07,0.0,23.71
67,25.77092,820.9172,0.0,0.0734,69.12,0.0,12.684,0.0,29.11
68,24.968684,818.5808,0.0,0.0728,69.09,0.0,13.303,0.0,31.54
69,24.747303,753.4624,0.0,0.073,68.92,0.0,12.862,0.0,31.92
70,24.963557,755.6246,0.0,0.0733,68.87,0.0,12.747,0.0,33.81
71,24.718121,955.1193,0.0,0.0736,69.36,0.0,12.746,0.0,31.87
72,25.197696,842.3034,0.0,0.0728,67.73,0.0,12.772,0.0,30.03
73,24.101357,883.5849,0.0,0.0729,69.83,0.0,12.767,0.0,29.61
74,25.273084,1047.4176,0.0,0.0727,68.84,0.0,12.815,0.0,36.27
75,24.410118,952.3587,0.0,0.0723,69.3,0.0,12.814,0.0,29.97
76,24.071153,1045.0884,0.0,0.0712,70.21,0.0,13.527,0.0,35.89
77,24.122019,951.6889,0.0,0.0708,66.76,0.0,12.829,0.0,26.15
78,23.767901,917.3804,0.0,0.0698,69.34,0.0,12.293,0.0,26.24
79,23.31221,896.1969,0.0,0.0701,70.23,0.0,13.523,0.0,30.57
80,23.668091,865.194,0.0,0.0694,69.63,0.0,12.139,0.0,28.43
81,23.539238,1055.7249,0.0,0.0688,69.54,0.0,12.84,0.0,30.92
82,22.771857,990.434,0.0,0.0693,68.92,0.0,12.852,0.0,39.38
83,22.66792,916.5286,0.0,0.0687,69.0,0.0,12.833,0.0,30.26
84,23.453369,900.6351,0.0,0.0682,69.06,0.0,12.849,0.0,32.65
85,22.356732,1007.3206,0.0,0.0682,68.77,0.0,12.84,0.0,33.03
86,22.8103,842.9924,0.0,0.0681,67.91,0.0,12.837,0.0,28.08
87,22.061354,936.0941,0.0,0.0683,68.92,0.0,13.692,0.0,37.42
88,22.406984,1196.6014,0.0,0.0679,69.12,0.0,12.827,0.0,29.82
89,21.850106,1030.1922,0.0,0.0674,69.34,0.0,12.833,0.0,31.02
90,22.171092,1091.5433,0.0,0.0669,66.74,0.0,12.363,0.0,18.65
91,21.757681,1093.1901,0.0,0.0661,67.5,0.0,13.744,0.0,32.11
92,22.730882,881.5342,0.0,0.0662,65.63,0.0,13.013,0.0,25.9
93,21.412209,964.1842,0.0,0.0661,67.77,0.0,12.417,0.0,26.69
94,21.731075,1109.732,0.0,0.0663,65.28,0.0,13.182,0.0,41.62
95,21.11447,1095.7358,0.0,0.0663,67.74,0.0,12.136,0.0,27.52
96,21.392846,1271.7807,0.0,0.0661,68.84,0.0,12.842,0.0,29.68
97,21.345327,1383.5584,0.0,0.0653,66.11,0.0,13.022,0.0,31.93
98,21.250399,1284.6095,0.0,0.0654,65.76,0.0,12.926,0.0,33.35
99,20.682528,1272.7744,0.0,0.0654,65.8,0.0,13.563,0.0,38.76
100,21.234815,1338.6665,0.0,0.0652,66.32,0.0,12.853,0.0,36.64
101,20.465168,1218.9976,0.0,0.0645,65.05,0.0,12.135,0.0,18.41
102,20.290022,1113.7992,0.0,0.0641,65.68,0.0,12.151,0.0,17.76
103,19.929881,1308.9832,0.0,0.0636,62.93,0.0,12.143,0.0,17.04
104,19.087044,1091.5741,0.0,0.0632,56.4,0.0,12.138,0.0,16.64
105,19.507582,1045.4533,0.0,0.0623,50.18,0.0,12.136,0.0,15.36
106,19.488499,1147.2434,0.0,0.0626,49.73,0.0,12.148,0.0,15.2
107,18.934027,1325.5908,0.0,0.0623,48.79,0.0,12.153,0.0,15.3
108,19.542856,1598.4726,0.0,0.0622,43.05,0.0,12.145,0.0,14.29
109,18.473169,1379.2027,0.0,0.0618,41.48,0.0,12.255,0.0,15.04
110,18.692886,1104.311,0.0,0.0607,41.36,0.0,12.333,0.0,14.5
111,19.250492,1071.2698,0.0,0.0605,40.98,0.0,12.141,0.0,15.89
112,18.674589,1284.9006,0.0,0.0606,41.52,0.0,12.145,0.0,16.24
113,18.590515,1142.8206,0.0,0.0602,41.36,0.0,12.147,0.0,16.22
114,19.002101,1246.6646,0.0,0.0593,44.08,0.0,22.576,0.0,16.17
115,18.67731,1282.0485,0.0,0.0593,68.66,0.0,13.558,0.0,33.3
116,17.982822,1368.492,0.0,0.0596,68.08,0.0,12.844,0.0,36.78
117,18.454105,1261.1505,0.0,0.0588,66.23,0.0,12.839,0.0,32.79
118,17.827595,1363.4549,0.0,0.0585,66.75,0.0,12.841,0.0,29.04
119,17.689679,1370.3968,0.0,0.058,67.23,0.0,12.842,0.0,30.42
120,18.144211,1492.7279,0.0,0.0577,66.03,0.0,13.095,0.0,30.95
121,17.833975,1352.7286,0.0,0.0578,64.57,0.0,13.069,0.0,36.78
122,17.932835,1369.1422,0.0,0.0575,64.89,0.0,13.088,0.0,37.47
123,17.500404,1550.4741,0.0,0.0566,65.7,0.0,13.769,0.0,34.11
124,17.520466,1120.042,0.0,0.0566,67.17,0.0,12.362,0.0,23.09
125,17.107626,1309.7848,0.0,0.0564,68.66,0.0,12.851,0.0,20.99
126,16.383196,1337.4384,0.0,0.0558,63.52,0.0,12.842,0.0,27.53
127,16.695164,1567.3204,0.0,0.0553,66.16,0.0,13.56,0.0,39.51
128,17.426359,1664.6787,0.0,0.0553,67.88,0.0,12.845,0.0,28.12
129,16.276576,1637.5269,0.0,0.055,67.23,0.0,13.772,0.0,39.69
130,16.511551,1558.6224,0.0,0.0545,66.25,0.0,12.875,0.0,29.06
131,16.326679,1298.3964,0.0,0.0539,67.28,0.0,13.555,0.0,30.91
132,15.730433,1355.8585,0.0,0.0536,67.41,0.0,12.84,0.0,30.63
133,16.208605,1427.7978,0.0,0.0531,66.41,0.0,12.85,0.0,32.96
134,16.139317,1372.2762,0.0,0.0529,64.43,0.0,12.856,0.0,35.2
135,15.503625,1411.955,0.0,0.0527,67.25,0.0,12.852,0.0,32.94
136,15.305528,1477.3427,0.0,0.0526,67.23,0.0,12.144,0.0,24.78
137,15.576011,1519.4249,0.0,0.0519,68.97,0.0,12.153,0.0,29.66
138,15.608327,1507.9715,0.0,0.0514,67.8,0.0,13.081,0.0,32.15
139,14.797314,1393.342,0.0,0.051,68.78,0.0,12.853,0.0,27.42
140,15.804014,1444.0163,0.0,0.0511,63.84,0.0,13.084,0.0,29.11
141,15.113833,1342.6241,0.0,0.0513,64.21,0.0,13.765,0.0,35.33
142,14.703322,1438.767,0.0,0.0512,64.44,0.0,13.238,0.0,32.06
143,14.289088,1394.6971,0.0,0.0504,64.36,0.0,13.827,0.0,35.12
144,14.118224,1466.2124,0.0,0.0499,64.16,0.0,13.145,0.0,37.13
145,13.563144,1444.3448,0.0,0.0498,67.4,0.0,12.854,0.0,28.79
146,13.395631,1501.6482,0.0,0.0497,67.07,0.0,12.364,0.0,24.81
147,12.676708,1589.4271,0.0,0.0489,68.2,0.0,12.15,0.0,23.77
148,12.643009,1194.9764,0.0,0.0485,65.95,0.0,12.138,0.0,17.96
149,12.255386,1288.963,0.0,0.0483,56.42,0.0,12.157,0.0,16.31
150,11.434257,1125.186,0.0,0.0477,50.07,0.0,12.147,0.0,15.4
