round,cpu_usage,gpu_usage
1,6.67,0.0
2,67.2,0.0
3,68.13,0.0
4,67.87,0.0
5,66.5,0.0
6,67.94,0.0
7,66.92,0.0
8,68.11,0.0
9,67.19,0.0
10,75.11,0.0
11,95.36,0.0
12,96.52,0.0
13,95.35,0.0
14,95.76,0.0
15,95.44,0.0
16,97.15,0.0
17,96.27,0.0
18,70.64,0.0
19,70.16,0.0
20,70.77,0.0
21,69.95,0.0
22,68.23,0.0
23,70.17,0.0
24,70.81,0.0
25,69.8,0.0
26,69.04,0.0
27,70.19,0.0
28,69.83,0.0
29,68.89,0.0
30,64.87,0.0
31,67.58,0.0
32,68.65,0.0
33,68.57,0.0
34,67.13,0.0
35,70.47,0.0
36,70.54,0.0
37,69.75,0.0
38,70.66,0.0
39,70.6,0.0
40,70.47,0.0
41,70.4,0.0
42,70.39,0.0
43,69.74,0.0
44,70.16,0.0
45,70.29,0.0
46,70.35,0.0
47,70.16,0.0
48,68.41,0.0
49,65.55,0.0
50,57.34,0.0
51,50.53,0.0
52,50.11,0.0
53,50.02,0.0
54,49.83,0.0
55,46.24,0.0
56,41.83,0.0
57,41.52,0.0
58,41.55,0.0
59,41.84,0.0
60,40.46,0.0
61,40.38,0.0
62,40.44,0.0
63,40.37,0.0
64,40.97,0.0
65,43.55,0.0
66,69.87,0.0
67,69.12,0.0
68,69.09,0.0
69,68.92,0.0
70,68.87,0.0
71,69.36,0.0
72,67.73,0.0
73,69.83,0.0
74,68.84,0.0
75,69.3,0.0
76,70.21,0.0
77,66.76,0.0
78,69.34,0.0
79,70.23,0.0
80,69.63,0.0
81,69.54,0.0
82,68.92,0.0
83,69.0,0.0
84,69.06,0.0
85,68.77,0.0
86,67.91,0.0
87,68.92,0.0
88,69.12,0.0
89,69.34,0.0
90,66.74,0.0
91,67.5,0.0
92,65.63,0.0
93,67.77,0.0
94,65.28,0.0
95,67.74,0.0
96,68.84,0.0
97,66.11,0.0
98,65.76,0.0
99,65.8,0.0
100,66.32,0.0
101,65.05,0.0
102,65.68,0.0
103,62.93,0.0
104,56.4,0.0
105,50.18,0.0
106,49.73,0.0
107,48.79,0.0
108,43.05,0.0
109,41.48,0.0
110,41.36,0.0
111,40.98,0.0
112,41.52,0.0
113,41.36,0.0
114,44.08,0.0
115,68.66,0.0
116,68.08,0.0
117,66.23,0.0
118,66.75,0.0
119,67.23,0.0
120,66.03,0.0
121,64.57,0.0
122,64.89,0.0
123,65.7,0.0
124,67.17,0.0
125,68.66,0.0
126,63.52,0.0
127,66.16,0.0
128,67.88,0.0
129,67.23,0.0
130,66.25,0.0
131,67.28,0.0
132,67.41,0.0
133,66.41,0.0
134,64.43,0.0
135,67.25,0.0
136,67.23,0.0
137,68.97,0.0
138,67.8,0.0
139,68.78,0.0
140,63.84,0.0
141,64.21,0.0
142,64.44,0.0
143,64.36,0.0
144,64.16,0.0
145,67.4,0.0
146,67.07,0.0
147,68.2,0.0
148,65.95,0.0
149,56.42,0.0
150,50.07,0.0
