round,total_latency,train_time
1,128.02,0.0
2,16.53,0.0
3,16.38,0.0
4,16.0,0.0
5,15.48,0.0
6,16.64,0.0
7,15.6,0.0
8,15.97,0.0
9,16.02,0.0
10,16.33,0.0
11,26.48,0.0
12,33.33,0.0
13,30.1,0.0
14,31.87,0.0
15,32.12,0.0
16,31.6,0.0
17,30.84,0.0
18,27.15,0.0
19,29.54,0.0
20,29.69,0.0
21,22.97,0.0
22,19.69,0.0
23,32.73,0.0
24,27.46,0.0
25,31.99,0.0
26,38.77,0.0
27,27.12,0.0
28,32.28,0.0
29,33.13,0.0
30,30.76,0.0
31,24.47,0.0
32,28.36,0.0
33,31.02,0.0
34,30.18,0.0
35,23.62,0.0
36,32.24,0.0
37,29.88,0.0
38,25.35,0.0
39,26.95,0.0
40,29.71,0.0
41,29.75,0.0
42,27.68,0.0
43,25.33,0.0
44,26.36,0.0
45,26.36,0.0
46,24.23,0.0
47,21.74,0.0
48,16.74,0.0
49,16.31,0.0
50,16.88,0.0
51,15.73,0.0
52,14.95,0.0
53,14.86,0.0
54,14.97,0.0
55,15.36,0.0
56,14.84,0.0
57,14.99,0.0
58,14.73,0.0
59,14.45,0.0
60,14.86,0.0
61,15.85,0.0
62,15.74,0.0
63,16.01,0.0
64,15.66,0.0
65,14.53,0.0
66,23.71,0.0
67,29.11,0.0
68,31.54,0.0
69,31.92,0.0
70,33.81,0.0
71,31.87,0.0
72,30.03,0.0
73,29.61,0.0
74,36.27,0.0
75,29.97,0.0
76,35.89,0.0
77,26.15,0.0
78,26.24,0.0
79,30.57,0.0
80,28.43,0.0
81,30.92,0.0
82,39.38,0.0
83,30.26,0.0
84,32.65,0.0
85,33.03,0.0
86,28.08,0.0
87,37.42,0.0
88,29.82,0.0
89,31.02,0.0
90,18.65,0.0
91,32.11,0.0
92,25.9,0.0
93,26.69,0.0
94,41.62,0.0
95,27.52,0.0
96,29.68,0.0
97,31.93,0.0
98,33.35,0.0
99,38.76,0.0
100,36.64,0.0
101,18.41,0.0
102,17.76,0.0
103,17.04,0.0
104,16.64,0.0
105,15.36,0.0
106,15.2,0.0
107,15.3,0.0
108,14.29,0.0
109,15.04,0.0
110,14.5,0.0
111,15.89,0.0
112,16.24,0.0
113,16.22,0.0
114,16.17,0.0
115,33.3,0.0
116,36.78,0.0
117,32.79,0.0
118,29.04,0.0
119,30.42,0.0
120,30.95,0.0
121,36.78,0.0
122,37.47,0.0
123,34.11,0.0
124,23.09,0.0
125,20.99,0.0
126,27.53,0.0
127,39.51,0.0
128,28.12,0.0
129,39.69,0.0
130,29.06,0.0
131,30.91,0.0
132,30.63,0.0
133,32.96,0.0
134,35.2,0.0
135,32.94,0.0
136,24.78,0.0
137,29.66,0.0
138,32.15,0.0
139,27.42,0.0
140,29.11,0.0
141,35.33,0.0
142,32.06,0.0
143,35.12,0.0
144,37.13,0.0
145,28.79,0.0
146,24.81,0.0
147,23.77,0.0
148,17.96,0.0
149,16.31,0.0
150,15.4,0.0
