round,network_mb
1,12.135
2,11.584
3,11.517
4,11.568
5,11.503
6,11.507
7,11.511
8,11.551
9,11.528
10,22.179
11,11.705
12,19.761
13,11.681
14,11.741
15,11.72
16,11.748
17,11.754
18,11.757
19,11.825
20,11.811
21,11.626
22,11.835
23,11.874
24,11.879
25,11.903
26,12.163
27,11.691
28,11.98
29,12.014
30,12.249
31,12.214
32,12.266
33,12.286
34,12.266
35,12.088
36,12.103
37,12.123
38,12.141
39,11.843
40,12.222
41,12.198
42,11.826
43,12.273
44,12.249
45,12.368
46,11.861
47,12.299
48,11.873
49,11.891
50,11.901
51,11.92
52,11.915
53,12.068
54,11.945
55,11.949
56,11.959
57,11.972
58,11.971
59,11.997
60,12.217
61,12.2
62,12.211
63,12.224
64,12.246
65,22.573
66,12.07
67,12.684
68,13.303
69,12.862
70,12.747
71,12.746
72,12.772
73,12.767
74,12.815
75,12.814
76,13.527
77,12.829
78,12.293
79,13.523
80,12.139
81,12.84
82,12.852
83,12.833
84,12.849
85,12.84
86,12.837
87,13.692
88,12.827
89,12.833
90,12.363
91,13.744
92,13.013
93,12.417
94,13.182
95,12.136
96,12.842
97,13.022
98,12.926
99,13.563
100,12.853
101,12.135
102,12.151
103,12.143
104,12.138
105,12.136
106,12.148
107,12.153
108,12.145
109,12.255
110,12.333
111,12.141
112,12.145
113,12.147
114,22.576
115,13.558
116,12.844
117,12.839
118,12.841
119,12.842
120,13.095
121,13.069
122,13.088
123,13.769
124,12.362
125,12.851
126,12.842
127,13.56
128,12.845
129,13.772
130,12.875
131,13.555
132,12.84
133,12.85
134,12.856
135,12.852
136,12.144
137,12.153
138,13.081
139,12.853
140,13.084
141,13.765
142,13.238
143,13.827
144,13.145
145,12.854
146,12.364
147,12.15
148,12.138
149,12.157
150,12.147
