condition,robot_id,migration_event_id,timestamp,fl_round,src_node,dst_node,trigger_to_dump_ms,dump_to_transfer_ms,transfer_to_restore_ms,policy_load_ms,downtime_ms,total_MTT_ms,success_rate_pre,success_rate_post,regression_pct,fl_rounds_to_recover,replay_buffer_entries_restored,gpu_util_pre_migration,gpu_util_during_migration,gpu_util_post_migration,cpu_util_pre_migration,cpu_util_during_migration,cpu_util_post_migration,network_bytes_transferred,checkpoint_size_mb,checkpoint_mode,throughput_post_60s,recovery_tasks_to_pre,background_bandwidth_mb,concurrency_level,fault_injected,retry_count,total_recovery_ms,policy_action_mse,policy_weight_l2,dht_put_ms,dht_get_ms
tcp_scp,robot_010,1,1783967732.5154147,30,n020.cluster.pssclabs.com,n016.cluster.pssclabs.com,0.25758519768714905,5184.645025990903,0,34.97,5219.615025990904,5791.563735343516,1.0,-1,-1,-1,29000,0,0,0,0,0,0,6247010,5.958,tcp,0,-1,0,2,0,0,0,0.0,0.0,0,0
tcp_scp,robot_015,2,1783967732.758792,30,n020.cluster.pssclabs.com,n016.cluster.pssclabs.com,0.34869369119405746,5128.591140732169,0,27.72,5156.311140732169,6035.5901485309005,1.0,-1,-1,-1,29000,0,0,0,0,0,0,6247008,5.958,tcp,0,-1,0,1,0,0,0,0.0,0.0,0,0
tcp_scp,robot_000,3,1783967735.393211,30,n016.cluster.pssclabs.com,n020.cluster.pssclabs.com,0.24596042931079865,5796.898279339075,0,24.61,5821.508279339075,8668.170855380595,1.0,-1,-1,-1,29000,0,0,0,0,0,0,6247009,5.958,tcp,0,-1,0,4,0,0,0,0.0,0.0,0,0
tcp_scp,robot_005,4,1783967735.4155648,30,n016.cluster.pssclabs.com,n020.cluster.pssclabs.com,0.34411437809467316,5823.96693341434,0,14.06,5838.02693341434,8691.068219952285,1.0,-1,-1,-1,29000,0,0,0,0,0,0,6247009,5.958,tcp,0,-1,0,3,0,0,0,0.0,0.0,0,0
tcp_scp,robot_011,5,1783967763.294313,31,n020.cluster.pssclabs.com,n016.cluster.pssclabs.com,0.629885122179985,4410.429599694908,0,91.01,4501.439599694908,5039.31562229991,1.0,-1,-1,-1,30000,0,0,0,0,0,0,6355006,6.061,tcp,0,-1,0,3,0,0,0,0.0,0.0,0,0
tcp_scp,robot_016,6,1783967763.3603551,31,n020.cluster.pssclabs.com,n016.cluster.pssclabs.com,0.681689940392971,4488.29236254096,0,37.11,4525.40236254096,5106.958515942097,1.0,-1,-1,-1,30000,0,0,0,0,0,0,6355007,6.061,tcp,0,-1,0,1,0,0,0,0.0,0.0,0,0
tcp_scp,robot_006,7,1783967764.8927782,31,n016.cluster.pssclabs.com,n020.cluster.pssclabs.com,0.39932597428560257,4914.075271226466,0,10.77,4924.845271226466,6638.927823863924,1.0,-1,-1,-1,30000,0,0,0,0,0,0,6355006,6.061,tcp,0,-1,0,2,0,0,0,0.0,0.0,0,0
tcp_scp,robot_001,8,1783967765.098582,31,n016.cluster.pssclabs.com,n020.cluster.pssclabs.com,0.31262729316949844,4979.072560556233,0,11.41,4990.482560556233,6843.098115175962,1.0,-1,-1,-1,30000,0,0,0,0,0,0,6355008,6.061,tcp,0,-1,0,4,0,0,0,0.0,0.0,0,0
tcp_scp,robot_012,9,1783967786.453866,32,n020.cluster.pssclabs.com,n016.cluster.pssclabs.com,0.287533737719059,2539.948532357812,0,13.88,2553.828532357812,3172.170862555504,1.0,-1,-1,-1,31000,0,0,0,0,0,0,6463006,6.164,tcp,0,-1,0,4,0,0,0,0.0,0.0,0,0
tcp_scp,robot_017,10,1783967786.7957003,32,n020.cluster.pssclabs.com,n016.cluster.pssclabs.com,0.6467048078775406,2589.109712280333,0,26.95,2616.059712280333,3516.3969043642282,1.0,-1,-1,-1,31000,0,0,0,0,0,0,6463007,6.164,tcp,0,-1,0,1,0,0,0,0.0,0.0,0,0
tcp_scp,robot_007,11,1783967787.7027793,32,n016.cluster.pssclabs.com,n020.cluster.pssclabs.com,0.4491284489631653,2911.5650998428464,0,12.03,2923.5950998428466,4423.045883886516,1.0,-1,-1,-1,31000,0,0,0,0,0,0,6463007,6.164,tcp,0,-1,0,2,0,0,0,0.0,0.0,0,0
tcp_scp,robot_002,12,1783967788.0841966,32,n016.cluster.pssclabs.com,n020.cluster.pssclabs.com,0.3871554508805275,3218.7714027240872,0,13.83,3232.601402724087,4803.64396981895,1.0,-1,-1,-1,31000,0,0,0,0,0,0,6463007,6.164,tcp,0,-1,0,3,0,0,0,0.0,0.0,0,0
tcp_scp,robot_018,13,1783967816.4178534,33,n020.cluster.pssclabs.com,n016.cluster.pssclabs.com,0.43945107609033585,3205.715123564005,0,65.17,3270.885123564005,4109.407731331885,1.0,-1,-1,-1,32000,0,0,0,0,0,0,6571007,6.267,tcp,0,-1,0,2,0,0,0,0.0,0.0,0,0
tcp_scp,robot_013,14,1783967816.9022229,33,n020.cluster.pssclabs.com,n016.cluster.pssclabs.com,0.40276627987623215,3704.36386577785,0,35.0,3739.36386577785,4594.252100214362,1.0,-1,-1,-1,32000,0,0,0,0,0,0,6571008,6.267,tcp,0,-1,0,1,0,0,0,0.0,0.0,0,0
tcp_scp,robot_003,15,1783967817.5300648,33,n016.cluster.pssclabs.com,n020.cluster.pssclabs.com,0.3177886828780174,3593.760946765542,0,10.82,3604.580946765542,5220.9256095811725,1.0,-1,-1,-1,32000,0,0,0,0,0,0,6571007,6.267,tcp,0,-1,0,3,0,0,0,0.0,0.0,0,0
tcp_scp,robot_008,16,1783967817.5569434,33,n016.cluster.pssclabs.com,n020.cluster.pssclabs.com,0.2654148265719414,3626.726111397147,0,15.65,3642.3761113971473,5246.923984959722,1.0,-1,-1,-1,32000,0,0,0,0,0,0,6571007,6.267,tcp,0,-1,0,4,0,0,0,0.0,0.0,0,0
tcp_scp,robot_014,17,1783967848.1302347,34,n020.cluster.pssclabs.com,n016.cluster.pssclabs.com,0.4079798236489296,3644.889918155968,0,76.92,3721.8099181559683,4291.339717805386,1.0,-1,-1,-1,33000,0,0,0,0,0,0,6679009,6.37,tcp,0,-1,0,2,0,0,0,0.0,0.0,0,0
