robot_id,fl_round,training_step,reward,success_rate_rolling10,policy_entropy,status,eval_return,eval_episode_len,eval_success
robot_000,1,1,20.947,0.0,0.9997,eval,20.947,26.0,0.0
robot_000,2,1001,65.323,0.0,0.7434,eval,65.323,39.7,0.0
robot_000,3,2001,189.403,0.0,0.5622,eval,189.403,89.0,0.0
robot_000,4,3001,191.387,0.0,0.4354,eval,191.387,87.7,0.0
robot_000,5,4001,203.857,0.0,0.338,eval,203.857,91.3,0.0
robot_000,6,5001,218.484,0.0,0.2603,eval,218.484,97.3,0.0
robot_000,7,6001,220.387,0.0,0.2021,eval,220.387,97.0,0.0
robot_000,8,7001,242.02,0.0,0.1566,eval,242.02,103.3,0.0
robot_000,9,8001,240.468,0.0,0.1218,eval,240.468,101.3,0.0
robot_000,10,9001,253.377,1.0,0.0979,eval,253.377,106.0,1.0
robot_000,11,10001,253.886,1.0,0.078,eval,253.886,106.7,1.0
robot_000,12,11001,259.667,1.0,0.0678,eval,259.667,109.0,1.0
robot_000,13,12001,259.094,1.0,0.066,eval,259.094,108.3,1.0
robot_000,14,13001,250.505,0.6666666666666666,0.0682,eval,250.505,105.7,0.6666666666666666
robot_000,15,14001,251.996,1.0,0.0681,eval,251.996,106.3,1.0
robot_000,16,15001,257.641,1.0,0.0679,eval,257.641,108.3,1.0
robot_000,17,16001,258.554,1.0,0.0725,eval,258.554,107.7,1.0
robot_000,18,17001,274.559,1.0,0.0821,eval,274.559,113.3,1.0
robot_000,19,18001,282.441,1.0,0.0672,eval,282.441,117.3,1.0
robot_000,20,19001,288.367,1.0,0.0829,eval,288.367,118.3,1.0
robot_000,21,20001,293.314,1.0,0.0843,eval,293.314,121.3,1.0
robot_000,22,21001,331.442,1.0,0.0826,eval,331.442,130.3,1.0
robot_000,23,22001,295.029,1.0,0.0906,eval,295.029,123.7,1.0
robot_000,24,23001,306.824,1.0,0.0986,eval,306.824,128.0,1.0
robot_000,25,24001,295.815,1.0,0.0991,eval,295.815,126.0,1.0
robot_000,26,25001,316.197,1.0,0.1031,eval,316.197,130.3,1.0
robot_000,27,26001,328.514,1.0,0.1127,eval,328.514,131.7,1.0
robot_000,28,27001,389.521,1.0,0.1164,eval,389.521,145.0,1.0
robot_000,29,28001,395.809,1.0,0.1037,eval,395.809,148.0,1.0
robot_000,30,29001,402.412,1.0,0.0942,eval,402.412,148.0,1.0
robot_000,31,30001,413.807,1.0,0.1007,eval,413.807,150.3,1.0
