condition,robot_id,migration_event_id,timestamp,trigger_to_dump_ms,dump_to_transfer_ms,transfer_to_restore_ms,policy_load_ms,downtime_ms,total_MTT_ms,success_rate_pre,success_rate_post,regression_pct,fl_rounds_to_recover,replay_buffer_entries_restored,gpu_util_pre_migration,gpu_util_during_migration,gpu_util_post_migration,cpu_util_pre_migration,cpu_util_during_migration,cpu_util_post_migration,network_bytes_transferred,checkpoint_size_mb,criu_mode
cold_restart,robot_002,1,1777426910.5418813,0.4804949858225882,0,3905.0896219996503,0,4011.508049996337,4011.508049996337,0.7,0.6,14.29,0,0,0.0,0.0,0.14,0.017,0.017,0.345,140703,0.0,cold_restart
cold_restart,robot_000,2,1777426918.6781716,2161.8743669969263,0,4264.304626994999,0,6532.004327993491,6532.004327993491,0.2,0.7,-250.0,0,0,0.0,0.0,0.16,0.028999999999999998,0.028999999999999998,0.318,657354,0.0,cold_restart
cold_restart,robot_002,3,1777426925.410563,2261.0917720012367,0,3762.1452730090823,0,6129.460218988243,6129.460218988243,0.8,0.4,50.0,0,0,0.16,0.16,0.21,0.344,0.344,0.335,332445,0.0,cold_restart
cold_restart,robot_000,4,1777426936.3662531,4198.755281002377,0,5047.252335003577,0,9351.205717000994,9351.205717000994,0.4,0.5,-25.0,0,0,0.1,0.1,0.06,0.17800000000000002,0.17800000000000002,0.332,597326,0.0,cold_restart
cold_restart,robot_002,5,1777426946.5720987,3838.1128080072813,0,5659.347534994595,0,9602.902661004919,9602.902661004919,0.2,0.6,-200.0,0,0,0.06,0.06,0.9,0.233,0.233,0.17,947282,0.0,cold_restart
cold_restart,robot_006,6,1777426958.6339934,2220.507598001859,0,8130.549848006922,0,10457.757316995412,10457.757316995412,0.7,0.5,28.57,0,0,0.0,0.0,0.0,0.012,0.012,0.16699999999999998,1020566,0.0,cold_restart
cold_restart,robot_002,7,1777426969.7723055,4472.644730005413,0,5947.576336009661,0,10525.891504992615,10525.891504992615,0.5,0.6,-20.0,0,0,0.0,0.0,0.26,0.17,0.17,0.34,1014839,0.0,cold_restart
cold_restart,robot_001,8,1777426982.4604414,5527.022098001908,0,6451.4567169972,0,12084.817658993416,12084.817658993416,0.6,0.6,0.0,0,0,0.26,0.26,0.05,0.336,0.336,0.34,1147542,0.0,cold_restart
cold_restart,robot_004,9,1777426993.663651,4454.495841011521,0,6039.648585006944,0,10600.372214990784,10600.372214990784,0.4,0.2,50.0,0,0,0.05,0.05,0.0,0.335,0.335,0.071,1205421,0.0,cold_restart
cold_restart,robot_000,10,1777427014.1400852,3491.882253001677,0,16274.882400000934,0,19872.897319990443,19872.897319990443,0.3,0.2,33.33,0,0,0.0,0.0,0.0,0.11699999999999999,0.11699999999999999,0.004,1661002,0.0,cold_restart
cold_restart,robot_006,11,1777427022.6174183,2464.161479001632,0,4302.184749991284,0,6872.773435999989,6872.773435999989,0.7,0.5,28.57,0,0,0.03,0.03,0.0,0.004,0.004,0.16699999999999998,526192,0.0,cold_restart
cold_restart,robot_001,12,1777427030.9505222,3390.1338430005126,0,4233.8597159978235,0,7730.000206007389,7730.000206007389,0.7,0.5,28.57,0,0,0.0,0.0,0.18,0.17,0.17,0.163,880304,0.0,cold_restart
cold_restart,robot_000,13,1777427038.6391919,2784.2640980088618,0,4193.901430000551,0,7083.924780003144,7083.924780003144,0.5,0.6,-20.0,0,0,0.18,0.18,0.15,0.175,0.175,0.079,671306,0.0,cold_restart
cold_restart,robot_002,14,1777427049.0973716,4862.98173799878,0,4885.542774005444,0,9854.825333997724,9854.825333997724,0.7,0.5,28.57,0,0,0.15,0.15,0.3,0.004,0.004,0.113,635706,0.0,cold_restart
cold_restart,robot_005,15,1777427059.8228202,3581.0578370001167,0,6434.576377010671,0,10122.164550004527,10122.164550004527,0.4,0.6,-50.0,0,0,0.3,0.3,0.0,0.004,0.004,0.17,543172,0.0,cold_restart
cold_restart,robot_004,16,1777427070.0356295,3643.643549992703,0,5860.003601002973,0,9609.712278994266,9609.712278994266,0.6,0.6,0.0,0,0,0.0,0.0,0.0,0.174,0.174,0.17,839916,0.0,cold_restart
cold_restart,robot_007,17,1777427080.3959324,3928.991245003999,0,5722.8118749917485,0,9757.630749008968,9757.630749008968,0.5,0.7,-40.0,0,0,0.0,0.0,0.0,0.17,0.17,0.16699999999999998,800411,0.0,cold_restart
cold_restart,robot_003,18,1777427090.396519,3297.229015995981,0,5994.37557598867,0,9397.854707000079,9397.854707000079,0.8,0.5,37.5,0,0,0.0,0.0,0.18,0.17800000000000002,0.17800000000000002,0.17,925224,0.0,cold_restart
cold_restart,robot_006,19,1777427101.8691268,4312.16389099427,0,5448.379888999625,0,9867.041971010622,9867.041971010622,0.4,0.3,25.0,0,0,0.0,0.0,0.03,0.004,0.004,0.17,513442,0.0,cold_restart
cold_restart,robot_001,20,1777427113.4405036,3136.999017006019,0,7725.156562999473,0,10967.87472300639,10967.87472300639,0.3,0.4,-33.33,0,0,0.03,0.03,0.35,0.174,0.174,0.171,983211,0.0,cold_restart
cold_restart,robot_000,21,1777427122.5734906,3214.3422119988827,0,5209.313308994751,0,8530.094068002654,8530.094068002654,0.7,0.6,14.29,0,0,0.35,0.35,0.09,0.10400000000000001,0.10400000000000001,0.16699999999999998,650632,0.0,cold_restart
cold_restart,robot_002,22,1777427131.0428717,3263.4121579903876,0,4496.770618992741,0,7866.356607992202,7866.356607992202,0.3,0.4,-33.33,0,0,0.09,0.09,0.25,0.004,0.004,0.0,640576,0.0,cold_restart
cold_restart,robot_005,23,1777427145.4941428,6088.362080001389,0,7653.046972001903,0,13848.254448996158,13848.254448996158,0.6,0.7,-16.67,0,0,0.25,0.25,0.01,0.004,0.004,0.17,583462,0.0,cold_restart
cold_restart,robot_004,24,1777427155.7425563,3344.9949040077627,0,5693.624827006715,0,9144.165099001839,9144.165099001839,0.4,0.6,-50.0,0,0,0.01,0.01,0.0,0.171,0.171,0.16699999999999998,776289,0.0,cold_restart
cold_restart,robot_007,25,1777427166.3442616,4633.790103005595,0,5259.7322310029995,0,9998.761025010026,9998.761025010026,0.6,0.4,33.33,0,0,0.0,0.0,0.0,0.171,0.171,0.133,783613,0.0,cold_restart
cold_restart,robot_003,26,1777427175.7980096,3399.258432997158,0,5344.740339991404,0,8850.015818999964,8850.015818999964,0.4,0.3,25.0,0,0,0.0,0.0,0.26,0.004,0.004,0.16699999999999998,485641,0.0,cold_restart
cold_restart,robot_006,27,1777427187.9987857,4939.607938998961,0,5550.065158997313,0,10596.314772992628,10596.314772992628,0.4,0.6,-50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.16699999999999998,513902,0.0,cold_restart
cold_restart,robot_001,28,1777427199.2679543,3721.4815329934936,0,6839.534832004574,0,10666.328018996865,10666.328018996865,0.4,0.5,-25.0,0,0,0.0,0.0,0.09,0.17,0.17,0.174,635751,0.0,cold_restart
cold_restart,robot_000,29,1777427210.3630183,3544.4815599912545,0,6841.4106629934395,0,10491.918851999799,10491.918851999799,0.5,0.5,0.0,0,0,0.09,0.09,0.25,0.17,0.17,0.17,692838,0.0,cold_restart
cold_restart,robot_005,30,1777427219.9637618,3194.6978210035013,0,5697.492973995395,0,8998.03790700389,8998.03790700389,0.3,0.5,-66.67,0,0,0.25,0.25,0.0,0.16699999999999998,0.16699999999999998,0.171,542021,0.0,cold_restart
cold_restart,robot_004,31,1777427230.363597,3730.00463299104,0,5961.952256999211,0,9797.11870700703,9797.11870700703,0.4,0.6,-50.0,0,0,0.0,0.0,0.01,0.174,0.174,0.171,789808,0.0,cold_restart
cold_restart,robot_007,32,1777427242.3096895,3404.2944929969963,0,7833.378448005533,0,11343.324761997792,11343.324761997792,0.7,0.6,14.29,0,0,0.01,0.01,0.0,0.171,0.171,0.17,619006,0.0,cold_restart
cold_restart,robot_003,33,1777427252.757678,3066.6865179955494,0,6671.677291000378,0,9843.881619002786,9843.881619002786,0.7,0.3,57.14,0,0,0.0,0.0,0.11,0.17,0.17,0.174,929125,0.0,cold_restart
cold_restart,robot_001,34,1777427278.781554,4512.790385997505,0,19800.26924300182,0,24419.409956986783,24419.409956986783,0.7,0.3,57.14,0,0,0.0,0.0,0.0,0.004,0.004,0.004,1887597,0.0,cold_restart
cold_restart,robot_000,35,1777427290.2320454,4138.069806998828,0,6601.9823889946565,0,10846.655910994741,10846.655910994741,0.5,0.4,20.0,0,0,0.0,0.0,0.37,0.004,0.004,0.0,678296,0.0,cold_restart
cold_restart,robot_005,36,1777427301.4019701,3223.6250470014056,0,7237.24581800343,0,10566.69832499756,10566.69832499756,0.7,0.5,28.57,0,0,0.0,0.0,0.0,0.008,0.008,0.171,521189,0.0,cold_restart
cold_restart,robot_007,37,1777427314.3470585,4035.115649996442,0,8201.35575500899,0,12342.34367001045,12342.34367001045,0.4,0.6,-50.0,0,0,0.0,0.0,0.0,0.17,0.17,0.040999999999999995,579677,0.0,cold_restart
cold_restart,robot_003,38,1777427326.812123,5299.655242997687,0,6457.33103499515,0,11862.48712700035,11862.48712700035,0.6,0.3,50.0,0,0,0.0,0.0,0.16,0.008,0.008,0.004,676024,0.0,cold_restart
