condition,robot_id,migration_event_id,timestamp,trigger_to_dump_ms,dump_to_transfer_ms,transfer_to_restore_ms,policy_load_ms,downtime_ms,total_MTT_ms,success_rate_pre,success_rate_post,regression_pct,fl_rounds_to_recover,replay_buffer_entries_restored,gpu_util_pre_migration,gpu_util_during_migration,gpu_util_post_migration,cpu_util_pre_migration,cpu_util_during_migration,cpu_util_post_migration,network_bytes_transferred,checkpoint_size_mb,criu_mode
criu_warm,robot_000,1,1777411814.9601874,1176.445937002427,33546.66255800112,661.8681410036515,0,1838.3140780060785,36785.123132998706,0.5,0.4,20.0,0,0,0.06,0.07,0.28,0.012,0.008,0.0,1508735,2164.75,precopy
criu_warm,robot_000,2,1777411866.034463,450.22135600447655,37009.37155300926,641.6658460075269,0,1091.8872020120034,48968.09694600233,0.8,0.4,50.0,0,0,0.04,0.0,0.15,0.017,0.0,0.125,1864764,2137.83,precopy
criu_warm,robot_000,3,1777411938.188777,364.7457909974037,34101.903365997714,501.9282529974589,0,866.6740439948626,70047.76125599165,0.8,0.2,75.0,0,0,0.09,0.0,0.13,0.021,0.0,0.183,3836780,2164.28,precopy
criu_warm,robot_000,4,1777411981.8266234,359.53794899978675,35120.4579250043,554.5810860057827,0,914.1190350055695,41532.22272099811,0.5,0.4,20.0,0,0,0.04,0.0,0.02,0.008,0.004,0.174,3097733,2152.39,precopy
criu_warm,robot_002,5,1777412055.13933,6648.594344995217,52518.005412988714,519.1681120049907,0,7167.762457000208,72206.8519260065,0.6,0.5,16.67,0,0,0.02,0.02,0.0,0.151,0.11199999999999999,0.174,21902496,2170.92,precopy
criu_warm,robot_004,6,1777412124.8748798,6255.983209004626,48581.8355060037,553.7252810026985,0,6809.708490007324,67629.2770459986,0.5,0.2,60.0,0,0,0.14,0.02,0.0,0.083,0.08800000000000001,0.171,3945863,2205.59,precopy
criu_warm,robot_000,7,1777412193.110074,4843.040691994247,48273.19945899944,570.7946220063604,0,5413.8353140006075,66628.38767199719,0.4,0.7,-75.0,0,0,0.0,0.01,0.1,0.183,0.17,0.008,3968666,2137.84,precopy
criu_warm,robot_002,8,1777412272.729527,5919.528676997288,55512.33562499692,632.6138069998706,0,6552.142483997159,78513.92247399781,0.5,0.5,0.0,0,0,0.1,0.03,0.75,0.008,0.012,0.183,5405361,2159.92,precopy
criu_warm,robot_006,9,1777412340.0870032,6423.351650999393,45998.54874800076,656.102806009585,0,7079.454457008978,65252.06877200981,0.6,0.3,50.0,0,0,0.03,0.03,0.02,0.028999999999999998,0.013000000000000001,0.184,3976582,2141.36,precopy
criu_warm,robot_004,10,1777412409.3468466,5039.102675000322,48654.26954299619,648.825170006603,0,5687.927845006925,68155.17307400296,0.7,0.2,71.43,0,0,0.02,0.07,0.0,0.191,0.179,0.171,4410250,2204.89,precopy
criu_warm,robot_002,11,1777412479.3016453,4705.875973988441,49940.068737996626,514.873912994517,0,5220.749886982958,68850.3675069951,0.5,0.3,40.0,0,0,0.0,0.0,0.56,0.188,0.16699999999999998,0.174,4465627,2162.32,precopy
criu_warm,robot_006,12,1777412552.0040286,6051.010234994465,49901.49446300347,642.3848759877728,0,6693.395110982237,70093.26988800603,0.6,0.5,16.67,0,0,0.04,0.04,0.0,0.021,0.0,0.16699999999999998,4160714,2109.39,precopy
criu_warm,robot_004,13,1777412622.5376709,5605.84772999573,48119.22258300183,521.8449480016716,0,6127.692677997402,69428.49557400041,0.6,0.6,0.0,0,0,0.0,0.06,0.0,0.183,0.175,0.17,4237341,2207.35,precopy
criu_warm,robot_002,14,1777412697.056983,4876.503063991549,53798.1100360048,591.4884319936391,0,5467.9914959851885,72912.13029400387,0.4,0.5,-25.0,0,0,0.0,0.0,0.09,0.17800000000000002,0.172,0.046,5221200,2166.82,precopy
criu_warm,robot_006,15,1777412768.660412,5903.234531011549,46435.30906899832,523.9232049934799,0,6427.157736005029,68995.87221200636,0.6,0.4,33.33,0,0,0.07,0.08,0.0,0.017,0.008,0.171,4617835,2157.87,precopy
criu_warm,robot_004,16,1777412834.3344185,4418.050164007582,46900.08573900559,624.2996850050986,0,5042.34984901268,64065.27997599915,0.3,0.6,-100.0,0,0,0.0,0.0,0.03,0.18600000000000003,0.171,0.174,4372442,2206.14,precopy
criu_warm,robot_006,17,1777412902.4837425,4739.400342004956,49136.582606006414,584.633196995128,0,5324.033539000084,66043.75329599134,0.5,0.8,-60.0,0,0,0.04,0.04,0.0,0.187,0.16699999999999998,0.174,3481623,2152.12,precopy
criu_warm,robot_003,18,1777412973.2690713,6280.517419989337,48350.29075600323,574.4119080045493,0,6854.929327993887,69177.23754698818,0.6,0.6,0.0,0,0,0.0,0.0,0.02,0.183,0.17600000000000002,0.174,4328359,2134.9,precopy
criu_warm,robot_003,19,1777413054.0819857,354.0577310050139,46330.04090900067,677.6449199969647,0,1031.7026510019787,78706.5218439966,0.5,0.5,0.0,0,0,0.05,0.0,0.0,0.017,0.0,0.16699999999999998,4002637,2190.34,precopy
criu_warm,robot_003,20,1777413124.252071,365.5182420043275,41328.293661994394,651.4804259932134,0,1016.9986679975409,67562.20363899774,0.8,0.6,25.0,0,0,0.08,0.0,0.09,0.017,0.0,0.33299999999999996,3611192,2151.85,precopy
criu_warm,robot_003,21,1777413176.3059144,383.63277599273715,40480.13161099516,540.1187329989625,0,923.7515089916997,49947.388089000015,0.7,0.6,14.29,0,0,0.16,0.0,0.02,0.017,0.175,0.008,4330919,2170.65,precopy
criu_warm,robot_005,22,1777413249.6640618,5513.213505997555,49610.258223998244,609.7581760113826,0,6122.971682008938,70749.0167789947,0.3,0.5,-66.67,0,0,0.04,0.04,0.0,0.021,0.013000000000000001,0.179,4169320,2187.42,precopy
criu_warm,robot_007,23,1777413331.3584166,5982.669881996117,60834.6077180031,597.8473819995997,0,6580.517263995716,80086.56073600287,0.5,0.4,20.0,0,0,0.0,0.0,0.0,0.18,0.174,0.16699999999999998,4886848,2190.84,precopy
criu_warm,robot_005,24,1777413399.8863199,4468.243686002097,55140.163599004154,613.1457759911427,0,5081.38946199324,65919.25092600286,0.6,0.7,-16.67,0,0,0.04,0.04,0.0,0.19899999999999998,0.16699999999999998,0.17,4284233,2140.32,precopy
criu_warm,robot_007,25,1777413501.078839,5238.320625998313,78360.88082900096,642.8013349941466,0,5881.121960992459,99086.88780099328,0.8,0.4,50.0,0,0,0.01,0.04,0.0,0.175,0.192,0.16699999999999998,5610962,2187.92,precopy
criu_warm,robot_005,26,1777413567.6865585,3775.7039139978588,56970.9838169947,537.6441809930839,0,4313.348094990943,63999.8494629981,0.7,0.6,14.29,0,0,0.02,0.07,0.0,0.192,0.171,0.171,4706158,2159.39,precopy
criu_warm,robot_007,27,1777413644.5574777,5129.096887001651,54548.2084480027,496.39337199914735,0,5625.490259000799,74262.95272400603,0.5,0.3,40.0,0,0,0.02,0.02,0.0,0.19399999999999998,0.16699999999999998,0.172,4354238,2116.29,precopy
criu_warm,robot_005,28,1777413722.8340104,5405.465711999568,54898.02237700496,616.089634000673,0,6021.555346000241,75668.65860600956,0.5,0.4,20.0,0,0,0.0,0.0,0.0,0.18,0.16699999999999998,0.17,4366281,2159.23,precopy
criu_warm,robot_007,29,1777413800.128767,5130.437463987619,53873.847563998424,610.5857750080759,0,5741.023238995695,74685.48920399917,0.4,0.7,-75.0,0,0,0.01,0.01,0.0,0.046,0.0,0.033,4508922,2157.15,precopy
