round,train_loss,mean_reward,success_rate,policy_entropy,cpu_usage,gpu_usage,network_mb,train_time,total_latency
1,0.0,1.4972,0.9984,0.6897,25.0,7.5,4.684,11.06,103.3
2,0.0,1.5,1.0,0.6896,31.25,6.19,5.704,10.54,10.65
3,0.0,1.5,1.0,0.6896,32.81,9.5,5.626,10.17,10.26
4,-0.804213,1.5,1.0,0.6879,39.06,6.81,5.836,10.18,11.34
5,-0.816465,1.5,1.0,0.6861,12.5,7.5,5.831,11.26,11.28
6,-0.816465,1.5,1.0,0.6862,33.33,7.44,5.577,9.2,9.74
7,-0.855404,1.5,1.0,0.6838,26.56,7.38,5.581,9.97,10.41
8,-0.868646,1.5,1.0,0.6812,40.62,7.09,5.897,10.17,10.47
9,-0.868646,1.5,1.0,0.6814,27.34,9.16,5.551,8.83,9.62
10,-0.881814,1.5,1.0,0.6783,21.88,5.12,5.577,10.82,11.77
11,-0.881814,1.5,1.0,0.6786,25.0,9.34,6.199,10.64,10.65
12,-0.867762,1.5,1.0,0.675,40.94,8.69,7.208,10.97,11.08
13,-0.909548,1.5,1.0,0.6711,18.75,5.06,6.904,13.18,16.33
14,-0.909548,1.5,1.0,0.6713,18.75,9.19,7.008,11.12,11.13
15,-0.924001,1.5,1.0,0.6668,28.12,7.0,9.307,10.5,10.96
16,-0.93912,1.5,1.0,0.6618,53.12,6.78,7.051,10.36,11.01
17,-0.93912,1.5,1.0,0.662,40.62,8.97,7.022,10.74,10.76
18,-0.925789,1.5,1.0,0.6561,25.0,4.94,7.617,11.18,11.86
19,-0.925789,1.5,1.0,0.6563,28.12,8.84,7.021,10.07,10.54
20,-0.971993,1.5,1.0,0.6494,6.25,8.75,8.327,10.47,10.84
21,-0.990245,1.5,1.0,0.6417,24.22,4.66,7.961,22.82,22.83
22,-0.990245,1.5,1.0,0.6418,9.38,8.81,8.81,19.0,21.71
23,-1.008696,1.5,1.0,0.6329,30.21,6.91,8.581,20.28,23.5
24,-0.99765,1.5,1.0,0.6233,34.38,3.66,98.907,139.0,139.01
25,-0.99765,1.5,1.0,0.6233,12.5,10.12,98.136,10.11,10.49
26,-1.048826,1.5,1.0,0.6117,21.88,8.22,7.498,17.8,21.33
27,-1.048826,1.5,1.0,0.6119,28.12,8.66,8.813,17.54,20.61
28,-1.06992,1.5,1.0,0.5991,21.88,7.88,8.51,24.63,24.65
29,-1.091157,1.5,1.0,0.5849,25.0,6.31,99.164,139.62,139.64
30,-1.091157,1.5,1.0,0.586,49.48,7.53,99.227,10.06,10.08
31,-1.113553,1.5,1.0,0.57,32.81,8.16,9.645,31.84,31.86
32,-1.136006,1.5,1.0,0.5537,28.12,6.12,10.315,33.19,33.21
33,-1.136006,1.5,1.0,0.5537,31.25,8.62,10.53,29.74,29.76
34,-1.159474,1.5,1.0,0.5349,40.62,6.34,193.182,267.45,267.46
35,-1.159474,1.5,1.0,0.5351,21.88,9.84,187.115,9.56,10.37
36,-1.182623,1.5,1.0,0.5155,18.75,5.0,9.993,29.72,29.73
37,-1.169268,1.5,1.0,0.4928,27.08,6.78,10.958,32.49,32.51
38,-1.169268,1.5,1.0,0.4947,28.12,6.09,10.791,31.93,31.95
39,-1.19151,1.5,1.0,0.471,18.75,9.41,192.94,268.7,268.71
40,-1.212378,1.5,1.0,0.4481,53.12,6.88,187.153,11.05,11.07
41,-1.212378,1.5,1.0,0.4472,17.19,9.53,11.398,40.84,43.37
42,-1.272787,1.5,1.0,0.4238,18.75,8.0,12.762,43.42,43.44
43,-1.272787,1.5,1.0,0.4237,27.08,5.44,12.49,40.53,40.55
44,-1.294349,1.5,1.0,0.396,18.75,5.5,286.607,397.13,397.15
45,-1.314347,1.5,1.0,0.3712,21.88,8.59,271.848,11.22,11.24
46,-1.314347,1.5,1.0,0.3696,20.31,6.28,11.614,39.79,42.71
47,-1.333446,1.5,1.0,0.3427,25.0,6.72,13.024,41.52,41.53
48,-1.352515,1.5,1.0,0.3186,25.0,4.38,12.783,51.09,51.1
49,-1.352515,1.5,1.0,0.3176,23.44,6.94,380.47,524.3,524.32
50,-1.369993,1.5,1.0,0.2897,18.75,6.62,354.554,11.26,11.31
