round,cpu_usage,gpu_usage
1,12.71,8.12
2,15.3,8.12
3,15.61,8.12
4,16.03,8.12
5,13.81,8.12
6,14.86,8.12
7,13.75,8.12
8,14.05,8.12
9,15.04,8.12
10,17.51,8.12
11,20.64,8.12
12,13.6,8.12
13,12.56,8.12
14,16.64,8.12
15,16.74,8.12
16,16.36,8.12
17,15.86,8.12
18,16.3,8.12
19,16.31,8.12
20,13.94,8.12
21,14.91,8.12
22,19.98,8.12
23,14.54,8.12
24,16.46,8.12
25,13.66,8.12
26,14.64,8.12
27,14.95,8.12
28,15.98,8.12
29,12.81,8.12
30,15.62,8.12
31,15.99,8.12
32,15.94,8.12
33,16.15,8.12
34,13.45,8.12
35,15.2,8.12
36,14.22,8.12
37,16.09,8.12
38,16.01,8.12
39,14.29,8.12
40,17.05,8.12
41,13.78,8.12
42,14.8,8.12
43,17.79,8.12
44,17.21,8.12
45,16.27,8.12
46,16.17,8.12
47,15.49,8.12
48,16.34,8.12
49,16.24,8.12
50,14.22,8.12
