round,total_latency,train_time
1,82.83,0
2,76.02,0
3,74.76,0
4,77.18,0
5,78.4,0
6,77.59,0
7,78.64,0
8,78.62,0
9,72.91,0
10,74.61,0
11,190.66,0
12,199.25,0
13,194.65,0
14,197.1,0
15,192.34,0
16,193.58,0
17,198.88,0
18,196.2,0
19,195.83,0
20,194.4,0
21,199.22,0
22,195.14,0
23,192.66,0
24,196.57,0
25,196.22,0
26,199.16,0
27,197.98,0
28,194.43,0
29,198.52,0
30,196.87,0
31,198.62,0
32,191.48,0
33,198.23,0
34,198.13,0
35,194.39,0
36,195.68,0
37,196.14,0
38,196.33,0
39,201.21,0
40,195.69,0
41,199.74,0
42,194.32,0
43,200.33,0
44,195.24,0
45,196.57,0
46,196.98,0
47,196.7,0
48,200.43,0
49,195.53,0
50,198.79,0
