condition,robot_id,migration_event_id,timestamp,trigger_to_dump_ms,dump_to_transfer_ms,transfer_to_restore_ms,policy_load_ms,downtime_ms,total_MTT_ms,success_rate_pre,success_rate_post,regression_pct,fl_rounds_to_recover,replay_buffer_entries_restored,gpu_util_pre_migration,gpu_util_during_migration,gpu_util_post_migration,cpu_util_pre_migration,cpu_util_during_migration,cpu_util_post_migration,network_bytes_transferred,checkpoint_size_mb,criu_mode
docker_checkpoint,robot_000,1,1777426025.0025377,464.6028914413222,642.0619950401273,1030.1815590064507,0,2588.4208619972924,2588.4208619972924,0.2,0.4,-100.0,0,0,0.0,0.0,0.77,0.025,0.226,0.113,9651,245.0,docker_checkpoint
docker_checkpoint,robot_000,2,1777426030.1078122,431.41301876432084,627.3378042666972,1073.294440007885,0,2497.335676001967,2497.335676001967,0.6,0.5,16.67,0,0,0.29,0.01,0.08,0.057999999999999996,0.046,0.174,423271,259.5,docker_checkpoint
docker_checkpoint,robot_000,3,1777426035.2090034,456.3265918119054,594.7393107581486,992.094139000983,0,2994.453395003802,2994.453395003802,0.4,0.5,-25.0,0,0,0.0,0.0,0.28,0.0,0.004,0.344,7778,257.0,docker_checkpoint
docker_checkpoint,robot_002,4,1777426038.8427975,370.2087066283113,654.8118892349297,1159.5380320068216,0,2527.790755004389,2527.790755004389,0.6,0.4,33.33,0,0,0.28,0.28,0.11,0.33799999999999997,0.34299999999999997,0.33799999999999997,738016,259.4,docker_checkpoint
docker_checkpoint,robot_000,5,1777426043.5018423,453.34790995531796,657.1213266913106,1079.368306993274,0,2552.7027229982195,2552.7027229982195,0.5,0.3,40.0,0,0,0.16,0.16,0.07,0.175,0.175,0.354,181814,256.7,docker_checkpoint
docker_checkpoint,robot_002,6,1777426047.5791795,376.03515777261333,635.0708486561863,1079.384946002392,0,2470.5589249933837,2470.5589249933837,0.6,0.7,-16.67,0,0,0.07,0.07,0.07,0.33799999999999997,0.34,0.349,697300,258.6,docker_checkpoint
docker_checkpoint,robot_004,7,1777426051.9206457,446.5610703193029,693.7367989695737,839.027238995186,0,2234.2391580023104,2234.2391580023104,0.7,0.3,57.14,0,0,0.0,0.0,0.0,0.212,0.20800000000000002,0.344,477982,261.1,docker_checkpoint
docker_checkpoint,robot_000,8,1777426055.3563468,454.6848959036324,629.0204488675915,868.0158399947686,0,2331.103593998705,2331.103593998705,0.6,0.5,16.67,0,0,0.0,0.0,0.04,0.342,0.33299999999999996,0.215,208303,245.0,docker_checkpoint
docker_checkpoint,robot_002,9,1777426061.0326734,463.7431367094517,679.0809059528636,1134.2655760090565,0,4571.598201000597,4571.598201000597,0.3,0.6,-100.0,0,0,0.04,0.04,0.0,0.212,0.20800000000000002,0.18,571541,255.2,docker_checkpoint
docker_checkpoint,robot_006,10,1777426066.174416,414.5024848112656,619.0731308964731,1107.9760079883272,0,2532.7920519921463,2532.7920519921463,0.6,0.4,33.33,0,0,0.04,0.0,0.02,0.0,0.12,0.34700000000000003,99247,245.7,docker_checkpoint
docker_checkpoint,robot_002,11,1777426071.894858,456.09587436932276,620.8106033745332,946.438148006564,0,4614.53712900402,4614.53712900402,0.4,0.2,50.0,0,0,0.02,0.02,0.17,0.33899999999999997,0.335,0.508,479998,244.7,docker_checkpoint
docker_checkpoint,robot_001,12,1777426075.5445611,424.55906653838326,634.3951309023499,1105.0306420074776,0,2544.7031799994875,2544.7031799994875,0.4,0.5,-25.0,0,0,0.17,0.17,0.04,0.506,0.494,0.33799999999999997,281799,255.0,docker_checkpoint
docker_checkpoint,robot_004,13,1777426080.616611,355.7585355453818,664.4015877295732,1097.2142170066945,0,3464.9722799949814,3464.9722799949814,0.5,0.2,60.0,0,0,0.04,0.04,0.0,0.335,0.34700000000000003,0.34299999999999997,366018,248.9,docker_checkpoint
docker_checkpoint,robot_003,14,1777426084.1899188,348.2576577136751,664.5063175324472,983.7889640039066,0,2467.9607069992926,2467.9607069992926,0.5,0.4,20.0,0,0,0.0,0.0,0.03,0.361,0.34299999999999997,0.335,194586,245.1,docker_checkpoint
docker_checkpoint,robot_006,15,1777426088.5878208,452.0492067984179,686.3343754249571,926.7238710017409,0,2291.67657099606,2291.67657099606,0.4,0.2,50.0,0,0,0.04,0.04,0.06,0.192,0.359,0.254,615435,255.0,docker_checkpoint
docker_checkpoint,robot_001,16,1777426092.1297593,393.19811384479965,570.6877378591331,1030.0281469972106,0,2437.172350997571,2437.172350997571,0.6,0.6,0.0,0,0,0.06,0.06,0.05,0.205,0.18,0.344,195361,244.9,docker_checkpoint
docker_checkpoint,robot_005,17,1777426095.8017733,388.3630517891881,581.4686178779941,702.3856129962951,0,2066.0074930056,2066.0074930056,0.4,0.7,-75.0,0,0,0.14,0.14,0.0,0.34600000000000003,0.37799999999999995,0.183,232738,245.7,docker_checkpoint
docker_checkpoint,robot_007,18,1777426100.0742507,493.1068255692507,717.7625027458096,1059.4220280036097,0,3167.513306994806,3167.513306994806,0.7,0.3,57.14,0,0,0.0,0.0,0.01,0.38799999999999996,0.28,0.331,208690,265.4,docker_checkpoint
docker_checkpoint,robot_003,19,1777426103.5593667,415.301919487001,612.7446426086153,1023.5574450052809,0,2380.109284000355,2380.109284000355,0.6,0.5,16.67,0,0,0.03,0.03,0.16,0.325,0.19899999999999998,0.34,153055,245.1,docker_checkpoint
docker_checkpoint,robot_006,20,1777426108.0661473,395.5379495391454,632.0651659538809,1041.3407620071666,0,2401.2280289898627,2401.2280289898627,0.4,0.4,0.0,0,0,0.12,0.12,0.04,0.17600000000000002,0.183,0.16699999999999998,555103,245.7,docker_checkpoint
docker_checkpoint,robot_001,21,1777426111.9615018,375.4556852943597,620.4465175001145,1101.5983819961548,0,2789.636606001295,2789.636606001295,0.5,0.6,-20.0,0,0,0.03,0.03,0.0,0.16699999999999998,0.16699999999999998,0.33799999999999997,177075,244.9,docker_checkpoint
docker_checkpoint,robot_005,22,1777426115.5624304,362.1421797977031,643.1121665906201,1138.828338996973,0,2495.6042609992437,2495.6042609992437,0.2,0.1,50.0,0,0,0.0,0.17,0.0,0.33299999999999996,0.326,0.16699999999999998,180966,255.0,docker_checkpoint
docker_checkpoint,robot_004,23,1777426118.7889493,425.305256459518,675.903294604755,735.8251730038319,0,2120.8224720030557,2120.8224720030557,0.3,0.3,0.0,0,0,0.0,0.0,0.0,0.171,0.16699999999999998,0.33899999999999997,105504,261.6,docker_checkpoint
docker_checkpoint,robot_003,24,1777426122.9407291,429.80164003085906,662.677065473696,938.3298809989356,0,3046.870686011971,3046.870686011971,0.6,0.6,0.0,0,0,0.0,0.0,0.19,0.33799999999999997,0.33899999999999997,0.349,620870,256.9,docker_checkpoint
docker_checkpoint,robot_006,25,1777426127.5720649,391.67905788714063,693.8357786227318,937.1598050056491,0,2525.9562480059685,2525.9562480059685,0.6,0.4,33.33,0,0,0.21,0.21,0.07,0.335,0.336,0.172,589667,254.4,docker_checkpoint
docker_checkpoint,robot_001,26,1777426131.2915657,427.65394254400275,612.1666565145471,877.6816220051842,0,2614.775108988397,2614.775108988397,0.6,0.3,50.0,0,0,0.07,0.07,0.35,0.18,0.18100000000000002,0.16699999999999998,77321,259.7,docker_checkpoint
docker_checkpoint,robot_005,27,1777426134.9904416,448.47688571651764,624.695526956473,719.8847079998814,0,2090.0519260030705,2090.0519260030705,0.6,0.1,83.33,0,0,0.35,0.35,0.0,0.095,0.0,0.17,7790,258.7,docker_checkpoint
docker_checkpoint,robot_007,28,1777426139.147824,462.65636533848084,679.5706641949147,1123.4249120025197,0,2549.479221997899,2549.479221997899,0.4,0.5,-25.0,0,0,0.0,0.04,0.0,0.17,0.171,0.33799999999999997,603152,264.4,docker_checkpoint
docker_checkpoint,robot_001,29,1777426144.3186169,433.2255623782968,591.7269642159341,1068.7756389961578,0,3065.1245299959555,3065.1245299959555,0.4,0.5,-25.0,0,0,0.0,0.0,0.01,0.349,0.33799999999999997,0.071,185450,245.0,docker_checkpoint
docker_checkpoint,robot_004,30,1777426149.6626325,374.03221309083386,622.3912365584345,1011.6493559908122,0,3737.139267002931,3737.139267002931,0.6,0.4,33.33,0,0,0.01,0.01,0.0,0.0,0.0,0.17,498876,248.9,docker_checkpoint
docker_checkpoint,robot_003,31,1777426153.7787902,405.3955768561273,672.0721823915815,1108.3315659925574,0,3010.482701007277,3010.482701007277,0.5,0.7,-40.0,0,0,0.0,0.0,0.13,0.166,0.17,0.071,105837,257.7,docker_checkpoint
docker_checkpoint,robot_005,32,1777426160.4746122,450.2348011819842,554.7138700943858,946.7159710038686,0,4086.5385929937474,4086.5385929937474,0.7,0.5,28.57,0,0,0.0,0.0,0.0,0.004,0.0,0.17,483114,245.7,docker_checkpoint
docker_checkpoint,robot_007,33,1777426164.9077137,453.6945613708547,654.8622155253212,870.4893629910657,0,2825.7140230125515,2825.7140230125515,0.5,0.5,0.0,0,0,0.0,0.0,0.0,0.16699999999999998,0.171,0.171,75395,252.7,docker_checkpoint
